ID,PRODUCTO,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1,ACELGA,,,,,,Y,X,X,X,X,Y,Y
2,AGUACATE,,,,,,,,,,,,
3,AJO,,,,,,X,,,,,,
4,ALBARICOQUE,,,,,,,,,,,,
5,ALCACHOFA,,,,,,X,X,X,Y,Y,,
6,APIO,,,,,,,,,,,,
7,BATATA,,,,,,,,,,,,
8,BERENJENA,,,,,,,X,X,Y,Y,,
9,BR�COLI,,,,,,,,,,,,
10,CALABACIN,,,,,,Y,X,X,,,,
11,CALABAZA,,,,,,,,,X,X,,
12,CARDO,,,,,,,,,,,,
13,CAQU�,,,,,,,,,,,,
14,CEBOLLA,,,,,,,,,X,,,
15,CEREZA,,,,,Y,X,,,,,,
16,CHAMPI��N,,,,,,,,,,,,
17,COL CHINA,,,,,,,,,,,,
18,COL COM�N,,,,,,,,,,,,
19,COL DE BRUSELAS,,,,,,,,,,,,
20,COLIFLOR,,,,,,,,,,,,
21,END�BIA,,,,,,,,,,,,
22,ESP�RRAGO,,,,,,,,,,,,
23,ESPINACA,,,,,,,,,,,,
24,FRAMBUESA,,,,,,,,,,,,
25,FRESA,,,,,X,X,Y,Y,Y,,,
26,GUISANTE,,,,,,,,,,,,
27,HABA,,,,X,,,,,,,,
28,HIGO,,,,,,,,,,,,
29,JUD�A,,,,,,,,,,,,
30,KIWI,,,,,,,,,,,,
31,LECHUGA,,,X,X,X,X,X,X,X,,,
32,LIM�N,,,,,,,,,,,,
33,LIMA,,,,,,,,,,,,
34,MAIZ DULCE,,,,,,,,,,,,
35,MANDARINA,,,,,,,,,,,,
36,MANZANA,,,,,,X,,,X,,,
37,MELOCOT�N,,,,,,,,X,X,,,
38,MEL�N,,,,,,,,,,,,
39,MORA,,,,,,,,,,,,
40,NABO,,,,,,,,,,,,
41,NARANJA,,,,,,,,,,,,
42,NECTARINA,,,,,,,,,,,,
43,PAPAYA,,,,,,,,,,,,
44,PATATA,,,,,,,X,X,X,X,,
45,PEPINO,,,,,,X,X,X,,,,
46,PERA,,,,,,,,,,,,
47,PIMIENTO,,,,,,,X,X,X,,,
48,PI�A,,,,,,,,,,,,
49,PLATANO,,,,,,,,,,,,
50,POMELO,,,,,,,,,,,,
51,PUERRO,,,,,,,,,,,,
52,R�BANO,,,,,,,,,,,,
53,REMOLACHA,,,,,,,,,,,,
54,SAND�A,,,,,,,,X,,,,
55,TOMATE,,,,,,,,X,Y,Y,Y,
56,UVA,,,,,,,,,,,,
57,ZANAHORIA,,,,,,,,X,Y,,,
