name,photo,url
II Premios Digitales El Español,img/logo-media/elespañol.png,https://www.elespanol.com/economia/empresas/20181123/transformacion-digital-vive-ii-premios-digitales-espanol/355215591_0.html
Kantar Information is Beautiful,img/logo-media/infoisbeautiful.png,https://www.informationisbeautifulawards.com/showcase/2779-what-s-in-season
European Youth Award,img/logo-media/european_youth_award.png,https://eu-youthaward.org/wp-content/uploads/sites/2/2018/09/Finalists_PlanetFriendly.jpg
El Comidista,img/logo-media/el_comidista.png,https://elcomidista.elpais.com/elcomidista/2018/03/22/articulo/1521736026_845773.html
Premio Máshumano,img/logo-media/premio_mashumano.png,https://www.mashumano.org/blog-jovenes-mashumano/1182-seleccionados-los-equipos-finalistas-de-la-xiii-edici%C3%B3n-de-premio-j%C3%B3venes-m%C3%A1shumano.html
Xataka,img/logo-media/xataka.png,https://www.xataka.com/xataka/mejor-proyecto-xataka-live-citizen-participa-en-los-premios-xataka-2017
Radio M21,img/logo-media/radio_m21.png,https://www.m21radio.es/podcast/einstein-en-malasana/einstein-en-malasana-13122017
EJC,img/logo-media/EJC_datahandbook.png,https://twitter.com/ejcnet/status/983630687805890560
El País - Buena vida,img/logo-media/buena_vida.png,https://elpais.com/elpais/2018/03/07/buenavida/1520440308_049503.html
Mumumío,img/logo-media/mumumio.png,http://blog.mumumio.com/post/2017/10/23/flora-fosset-%F0%9F%8D%93%F0%9F%8D%87%F0%9F%8D%8B%F0%9F%8D%88%F0%9F%8D%85%F0%9F%8D%86%F0%9F%8D%8A%F0%9F%8D%8F/
Vitonica,img/logo-media/vitonica.png,https://www.vitonica.com/alimentos/soy-de-temporada-un-proyecto-para-cuidar-la-salud-el-bolsillo-y-el-medio-ambiente
AS,img/logo-media/as.png,https://as.com/deporteyvida/2018/04/08/portada/1523183493_185590.html
