PRODUCT;YEAR;MONTH;PROD.ES;AREA.ES;PROD.PROV;AREA.PROV;IMPORT;IMP.COU;EXPORT;EX.COU;PRICE.AG;PRICE.MER;PRICE.CONS
PATATA;2014;1;;;;;83414238.23;;;;;;
PATATA;2014;2;;;;;72346337.53;;;;;;
PATATA;2014;3;;;;;90592891.04;;;;;;
PATATA;2014;4;;;;;73243422.01;;;;;;
PATATA;2014;5;;;;;42761919.49;;;;;;
PATATA;2014;6;;;;;28521390.49;;;;;;
PATATA;2014;7;;;;;15636622.28;;;;;;
PATATA;2014;8;;;;;11765648.61;;;;;;
PATATA;2014;9;;;;;23738374.89;;;;;;
PATATA;2014;10;;;;;37886700.14;;;;;;
PATATA;2014;11;;;;;56522791.92;;;;;;
PATATA;2014;12;;;;;91567080.04;;;;;;
PATATA;2015;1;;;;;77069565.38;;;;;;
PATATA;2015;2;;;;;79225352.53;;;;;;
PATATA;2015;3;;;;;100244766.4;;;;;;
PATATA;2015;4;;;;;81090927.06;;;;;;
PATATA;2015;5;;;;;62342162.47;;;;;;
PATATA;2015;6;;;;;33721974.8;;;;;;
PATATA;2015;7;;;;;13513375.79;;;;;;
PATATA;2015;8;;;;;8895407.76;;;;;;
PATATA;2015;9;;;;;20425305.93;;;;;;
PATATA;2015;10;;;;;37336662.64;;;;;;
PATATA;2015;11;;;;;77268879.54;;;;;;
PATATA;2015;12;2284073;71.7;MURCIA;34140;93870218.67;;;;;;
PATATA;2016;1;;;;;82701097.33;;;;;;
PATATA;2016;2;;;;;90624995.63;;;;;;
PATATA;2016;3;;;;;103956531.1;;;;;;
PATATA;2016;4;;;;;82917675.31;;;;;;
PATATA;2016;5;;;;;55002222.5;;;;;;
PATATA;2016;6;;;;;30972539.99;;;;;;
PATATA;2016;7;;;;;10085208.6;;;;;;
PATATA;2016;8;;;;;12466793.5;;;;;;
PATATA;2016;9;;;;;35570247.81;;;;;;
PATATA;2016;10;;;;;45088903.29;;;;;;
PATATA;2016;11;;;;;74883145.84;;;;;;
PATATA;2016;12;2244334.5;73.2;MURCIA;34760;104666152.6;;;;;;
PATATA;2017;1;;;;;92442152.32;;;;;;
PATATA;2017;2;;;;;97577550.84;;;;;;
PATATA;2017;3;;;;;113399768.1;;;;;;
PATATA;2017;4;;;;;89689669.26;;;;;;
PATATA;2017;5;;;;;69617830.78;;;;;;
PATATA;2017;6;;;;;21780240.13;;;;;;
