ministerio,nuestro
acelga,acelga
ajo,ajo
alcachofa,alcachofa
apio,apio
berenjena,berenjena
calabacín,calabacin
calabaza,calabaza
cebolla,cebolla
coles,coles
endivia y escarola,envidia
espárrago,esparrago
espinaca,espinaca
guisante,guisante
judía,judia
lechuga,lechuga
maíz dulce,maiz
patata,patata
pepino,pepino
pimiento,pimiento
puerro,puerro
tomate,tomate
zanahoria y nabo,zanahoria
aguacate,aguacate
albaricoque,albaricoque
arándano,arandano
caqui,caqui
cereza y guinda,cereza
ciruela,ciruela
frambuesa,frambuesa
fresa,fresa
grosella,grosella
higo,higo
kiwi,kiwi
limón,limon
mandarina,mandarina
‘mango guayaba’,mango
'manzana’,manzana
’melocotón’,melocoton
'melón’,melon
‘mora’,mora
‘naranja’,naranja
'nectarina’,nectarina
'pera', pera
‘piña’,pina
'plátano’,platano
'pomelo’,pomelo
'sandía’,sandia
'uva de mesa’,uva
