TIPO DE PRODUCTO,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGO,SEP,OCT,NOV,DIC
ACELGA,X,X,X,X,X,X,X,X,X,X,X,X
AGUACATE,,,,,,,,,,,,
AJO,,,,,,,,,,,,
ALBARICOQUE,,,,,,,,,,,,
ALCACHOFA,,,,,,,,,,,,
APIO,,,,,,,,,,,,
BATATA,,,,,,,,,,,,
BERENJENA,,,,,,,,,,,,
BRÓCOLI,X,X,X,Y,,,,,,,,X
CALABACIN,,,,,,,X,,,,,
CALABAZA,,,,,,,,,,,,
CARDO,,,,,,,,,,,,
CAQUÍ,,,,,,,,,,,,
CEBOLLA,X,,,,,,,X,X,X,X,X
CEREZA,,,,,,,,,,,,
CHAMPIÑÓN,,,,,,,,,,,,
COL CHINA,,,,,,,,,,,,
COL COMÚN,,,,,,,,,,,,
COL DE BRUSELAS,,,,,,,,,,,,
COLIFLOR,X,X,X,Y,,,,,,,,X
ENDÍBIA,,,,,,,,,,,,
ESPÁRRAGO,,,,,,,,,,,,
ESPINACA,,,,,,,,,,,,
FRAMBUESA,,,,,,,,,,,,
FRESA,,,,,,,,,,,,
GUISANTES,,,,,,,,,,,,
HABAS,,,,,,,,,,,,
HIGOS,,,,,,,,,,,,
JUDÍAS,,,,,,,X,X,X,,,
KIWI,,,,,,,,,,,,
LECHUGA,,,,,,X,X,X,X,X,X,
LIMÓN,,,,,,,,,,,,
LIMA,,,,,,,,,,,,
MAIZ DULCE,,,,,,,,,,,,
MANDARINA,,,,,,,,,,,,
MANZANA,,,,,,,,,,,,
MELOCOTÓN,,,,,,,,,,,,
MELÓN,,,,,,,,,,,,
MORA,,,,,,,,,,,,
NABO,,,,,,,,,,,,
NARANJA,,,,,,,,,,,,
NECTARINA,,,,,,,,,,,,
PAPAYA,,,,,,,,,,,,
PATATA,,,,,,,,,,,,
PEPINO,,,,,,,X,,,,,
PERA,,,,,,,,,,,,
PIMIENTO,,,,,,X,X,X,X,Y,,
PIÑA,,,,,,,,,,,,
PLATANO,,,,,,,,,,,,
POMELO,,,,,,,,,,,,
PUERRO,X,X,X,Y,,,,,,,,X
RÁBANO,,,,,,,,,,,,
REMOLACHA,,,,,,,,,,,,
SANDÍA,,,,,,,,,,,,
TOMATE,,,,,,X,X,X,X,Y,,
UVA,,,,,,,,,,,,
ZANAHORIA,,,,,,,,,,,,
