ID,TIPO DE PRODUCTO,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGO,SEP,OCT,NOV,DIC
1,ACELGA,X,X,X,X,X,X,X,X,X,X,X,X
2,AGUACATE,,,,,,,,,,,,
3,AJO,,,,,,,,,,,,
4,ALBARICOQUE,,,,,,,,,,,,
5,ALCACHOFA,,,,,,,,,,,,
6,APIO,,,,,,,,,,,,
7,BATATA,,,,,,,,,,,,
8,BERENJENA,,,,,,,,,,,,
9,BRÓCOLI,X,X,X,Y,,,,,,,,X
10,CALABACIN,,,,,,,X,,,,,
11,CALABAZA,,,,,,,,,,,,
12,CARDO,,,,,,,,,,,,
13,CAQUÍ,,,,,,,,,,,,
14,CEBOLLA,X,,,,,,,X,X,X,X,X
15,CEREZA,,,,,,,,,,,,
16,CHAMPIÑÓN,,,,,,,,,,,,
17,COL CHINA,,,,,,,,,,,,
18,COL COMÚN,,,,,,,,,,,,
19,COL DE BRUSELAS,,,,,,,,,,,,
20,COLIFLOR,X,X,X,Y,,,,,,,,X
21,ENDÍBIA,,,,,,,,,,,,
22,ESPÁRRAGO,,,,,,,,,,,,
23,ESPINACA,,,,,,,,,,,,
24,FRAMBUESA,,,,,,,,,,,,
25,FRESA,,,,,,,,,,,,
26,GUISANTES,,,,,,,,,,,,
27,HABAS,,,,,,,,,,,,
28,HIGOS,,,,,,,,,,,,
29,JUDÍAS,,,,,,,X,X,X,,,
30,KIWI,,,,,,,,,,,,
31,LECHUGA,,,,,,X,X,X,X,X,X,
32,LIMÓN,,,,,,,,,,,,
33,LIMA,,,,,,,,,,,,
34,MAIZ DULCE,,,,,,,,,,,,
35,MANDARINA,,,,,,,,,,,,
36,MANZANA,,,,,,,,,,,,
37,MELOCOTÓN,,,,,,,,,,,,
38,MELÓN,,,,,,,,,,,,
39,MORA,,,,,,,,,,,,
40,NABO,,,,,,,,,,,,
41,NARANJA,,,,,,,,,,,,
42,NECTARINA,,,,,,,,,,,,
43,PAPAYA,,,,,,,,,,,,
44,PATATA,,,,,,,,,,,,
45,PEPINO,,,,,,,X,,,,,
46,PERA,,,,,,,,,,,,
47,PIMIENTO,,,,,,X,X,X,X,Y,,
48,PIÑA,,,,,,,,,,,,
49,PLATANO,,,,,,,,,,,,
50,POMELO,,,,,,,,,,,,
51,PUERRO,X,X,X,Y,,,,,,,,X
52,RÁBANO,,,,,,,,,,,,
53,REMOLACHA,,,,,,,,,,,,
54,SANDÍA,,,,,,,,,,,,
55,TOMATE,,,,,,X,X,X,X,Y,,
56,UVA,,,,,,,,,,,,
57,ZANAHORIA,,,,,,,,,,,,
