ID,TIPO DE PRODUCTO,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGO,SEP,OCT,NOV,DIC
1,ACELGA,x,x,,,,,,,,,x,x
2,AGUACATE,,,,,,,,,,,,
3,AJO,,,,,,,,,,,x,x
4,ALBARICOQUE,,,,,,x,,,,,,
5,ALCACHOFA,,,,,,,,,,x,x,x
6,APIO,x,x,,,,,,,,,,
7,BATATA,,,,,,,,,,x,x,
8,BERENJENA,,,,,,,x,x,,,,
9,BRÓCOLI,,,,,,,,,,x,,
10,CALABACIN,,,,,,,x,x,,,,
11,CALABAZA,,,,,,,,,,x,,
12,CARDO,,,,,,,,,,x,x,
13,CAQUÍ,,,,,,,,,,x,x,
14,CEBOLLA,,,,,,,,,x,x,,
15,CEREZA,,,,,x,,,,,,,
16,CHAMPIÑÓN,,,,,,,,,,,x,
17,COL CHINA,,,,,,,,,,,x,
18,COL COMÚN,,,,,,,,,,,x,
19,COL DE BRUSELAS,,,,,,,,,,,x,
20,COLIFLOR,,,,,,,,,,,x,
21,ENDÍBIA,,,,,,,,,,,,
22,ESPÁRRAGO,,,,x,,,,,,,,
23,ESPINACA,,,,,,,,,,,x,
24,FRAMBUESA,,,,,,,,,,,,
25,FRESA,,,,,,,,,,,,
26,GUISANTES,,,,,,,,,,x,x,
27,HABAS,,,x,x,,,,,,,,
28,HIGOS,,,,,,,,x,,,,
29,JUDÍAS,,,,,x,x,,,,,,
30,KIWI,,,,,,,,,,,,
31,LECHUGA,,,,,x,Y,,,,,,
32,LIMÓN,x,x,x,,,,,,,,x,x
33,LIMA,,,,,,,,,,,x,
34,MAIZ DULCE,,,,,,,,,x,,,
35,MANDARINA,,,,,,,,,,,x,
36,MANZANA,,,,,,,,,,,x,
37,MELOCOTÓN,,,,,,,,x,x,,,
38,MELÓN,,,,,,,x,x,Y,,,
39,MORA,,,,,,,,,,,,
40,NABO,,,,,,,,,x,,,
41,NARANJA,,,,,,,,,,,x,
42,NECTARINA,,,,,,,,x,x,,,
43,PAPAYA,,,,,,,,,,,,
44,PATATA,,,,,,x,,,,,,
45,PEPINO,,,,,,x,,,,,,
46,PERA,,,,,,,,,x,,,
47,PIMIENTO,,,,,,x,x,x,,,,
48,PIÑA,,,,,,,,,,,,
49,PLATANO,,,,,,,,,,,,
50,POMELO,,,,,,,,,,,,
51,PUERRO,,,,,,,,,x,x,,
52,RÁBANO,,,,,,,,,,x,x,
53,REMOLACHA,,,,,,,,,,x,,
54,SANDÍA,,,,,,x,x,Y,,,,
55,TOMATE,,,,,,x,x,x,Y,,,
56,UVA,,,,,,,,,x,,,
57,ZANAHORIA,,,,,x,x,,,,,,
