ID,TIPO DE PRODUCTO,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGO,SEP,OCT,NOV,DIC
1,ACELGA,,,,,X,X,,,,X,X,
2,AGUACATE,,,,,,,,,,,,
3,AJO,,,,,X,X,,,,,,
4,ALBARICOQUE,,,,,X,X,X,X,,,,
5,ALCACHOFA,,,,,,,,,,,,
6,APIO,,,,,,,,,,,,
7,BATATA,,,,,,,,,,,,
8,BERENJENA,,,,,,,X,X,X,X,Y,
9,BRÓCOLI,X,X,Y,,Y,X,,,,Y,X,X
10,CALABACIN,,,,,,X,X,,,,,
11,CALABAZA,,,,,,,X,X,,,,
12,CARDO,,,,,,,,,,,,
13,CAQUÍ,,,,,,,,,,,,
14,CEBOLLA,,,,,,X,X,X,X,X,X,X
15,CEREZA,,,,,X,X,X,,,,,
16,CHAMPIÑÓN,,,,,,,,,,,,
17,COL CHINA,,,,,,,,,,,,
18,COL COMÚN,,,,,,,,,,,,
19,COL DE BRUSELAS,,,,,,,,,,,,
20,COLIFLOR,X,X,Y,,,,,,,,,
21,ENDÍBIA,,,,,,,,,,,,
22,ESPÁRRAGO,,,X,X,Y,,,,,,,
23,ESPINACA,X,X,X,X,X,X,X,X,X,X,X,X
24,FRAMBUESA,,,,,,X,X,X,X,X,,
25,FRESA,,,,,X,X,,,,,,
26,GUISANTES,,,,,X,,,,,,,
27,HABAS,,,,,X,,,,,,,
28,HIGOS,,,,,,,X,X,X,,,
29,JUDÍAS,,,,,,,,,,,,
30,KIWI,,,,,,,,,,X,X,
31,LECHUGA,,,,,X,X,,,X,X,X,
32,LIMÓN,,,,,,,,,,,,
33,LIMA,,,,,,,,,,,,
34,MAIZ DULCE,,,,,,,,,,,,
35,MANDARINA,,,,,,,,,,,,
36,MANZANA,,,,,,,,X,X,,,
37,MELOCOTÓN,,,,,,X,X,X,,,,
38,MELÓN,,,,,,,X,X,X,,,
39,MORA,,,,,,X,X,X,X,X,,
40,NABO,,,,,,,,,,,,
41,NARANJA,,,,,,,,,,,,
42,NECTARINA,,,,,,X,X,,,,,
43,PAPAYA,,,,,,,,,,,,
44,PATATA,,,,,Y,X,Y,,,,,
45,PEPINO,,,,,,,,,,,,
46,PERA,,,,,,X,X,X,,,,
47,PIMIENTO,,,,,,,,X,X,X,,
48,PIÑA,,,,,,,,,,,,
49,PLATANO,,,,,,,,,,,,
50,POMELO,,,,,,,,,,,,
51,PUERRO,X,X,Y,,,,,,,,X,X
52,RÁBANO,,,,,,,,,,,,
53,REMOLACHA,,,,,,,,,,,,
54,SANDÍA,,,,,,X,X,X,,,,
55,TOMATE,,,,,,,X,Y,Y,,,
56,UVA,,,,,,,Y,X,X,,,
57,ZANAHORIA,,,,,,,,,,,,
