ID,TIPO DE PRODUCTO,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGO,SEP,OCT,NOV,DIC
1,ACELGA,,,,,,,,,,,,
2,AGUACATE,,,,,,,,,,,,
3,AJO,,,,,,,,,,,,
4,ALBARICOQUE,,,,,,,,,,,,
5,ALCACHOFA,,,,,,,,,,,,
6,APIO,,,,,,,,,,,,
7,BATATA,,,,,,,,,,,,
8,BERENJENA,,,,,,,,,,,,
9,BRÓCOLI,,,,,,,,,,,,
10,CALABACIN,,,,,,,,,,,,
11,CALABAZA,,,,,,,,,,,,
12,CARDO,,,,,,,,,,,,
13,CAQUÍ,,,,,,,,,,,,
14,CEBOLLA,,,,,,,,,,,,
15,CEREZA,,,,,,,,,,,,
16,CHAMPIÑÓN,,,,,,,,,,,,
17,COL CHINA,,,,,,,,,,,,
18,COL COMÚN,,,,,,,,,,,,
19,COL DE BRUSELAS,,,,,,,,,,,,
20,COLIFLOR,,,,,,,,,,,,
21,ENDÍBIA,,,,,,,,,,,,
22,ESPÁRRAGO,,,,,,,,,,,,
23,ESPINACA,,,,,,,,,,,,
24,FRAMBUESA,,,,,,,,,,,,
25,FRESA,,,,,,,,,,,,
26,GUISANTES,,,,,,,,,,,,
27,HABAS,,,,,,,,,,,,
28,HIGOS,,,,,,,,,,,,
29,JUDÍAS,,,,,,,,,,,,
30,KIWI,,,,,,,,,,,,
31,LECHUGA,,,,,,,,,,,,
32,LIMÓN,,,,,,,,,,,,
33,LIMA,,,,,,,,,,,,
34,MAIZ DULCE,,,,,,,,,,,,
35,MANDARINA,,,,,,,,,,,,
36,MANZANA,,,,,,,,,,,,
37,MELOCOTÓN,,,,,,,,,,,,
38,MELÓN,,,,,,,,,,,,
39,MORA,,,,,,,,,,,,
40,NABO,,,,,,,,,,,,
41,NARANJA,,,,,,,,,,,,
42,NECTARINA,,,,,,,,,,,,
43,PAPAYA,,,,,,,Y,X,X,Y,,
44,PATATA,,,,,,,,,,,,
45,PEPINO,,,,,,,,,,,,
46,PERA,,,,,,,,,,,,
47,PIMIENTO,,,,,,,,,,,,
48,PIÑA,,,,,,,Y,X,X,Y,,
49,PLATANO,,,,,,,,,,,,
50,POMELO,,,,,,,,,,,,
51,PUERRO,,,,,,,,,,,,
52,RÁBANO,,,,,,,,,,,,
53,REMOLACHA,,,,,,,,,,,,
54,SANDÍA,,,,,,,,,,,,
55,TOMATE,,,,,,,,,,,,
56,UVA,,,,,,,,,,,,
57,ZANAHORIA,,,,,,,,,,,,
