ID,TIPO DE PRODUCTO,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGO,SEP,OCT,NOV,DIC
1,ACELGA,x,x,x,x,x,x,x,x,x,x,x,x
2,AGUACATE,,,,,,,,,,,,
3,AJO,x,x,x,x,,,x,x,x,x,x,x
4,ALBARICOQUE,,,,,,,,,,,,
5,ALCACHOFA,,,x,x,x,x,,,,x,x,
6,APIO,x,x,x,x,x,x,x,x,x,x,x,x
7,BATATA,,,,,,,,,,,,
8,BERENJENA,,,,,,,x,x,x,,,
9,BRÓCOLI,x,x,x,x,,,,,,,x,x
10,CALABACIN,,,,,,x,x,x,x,,,
11,CALABAZA,,,,,,,,x,x,x,,
12,CARDO,x,,,,,,,,,,x,x
13,CAQUÍ,,,,,,,,,,,,
14,CEBOLLA,x,x,x,x,x,x,x,x,x,x,x,x
15,CEREZA,,,,,,,,,,,,
16,CHAMPIÑÓN,x,x,x,x,x,x,x,x,x,x,x,x
17,COL CHINA,,,,,,,,,,,,
18,COL COMÚN,x,x,x,x,,,,,x,x,x,x
19,COL DE BRUSELAS,,,,,,,,,,,,
20,COLIFLOR,x,x,x,x,,,,,,,x,x
21,ENDÍBIA,,,,,,,,,,,,
22,ESPÁRRAGO,,,x,x,x,x,x,x,x,x,,
23,ESPINACA,x,x,x,x,,,,,,x,x,x
24,FRAMBUESA,,,,,,,,,,,,
25,FRESA,,,,,,,,,,,,
26,GUISANTES,,,,x,x,,,,,,,
27,HABAS,,,,x,x,,,,,x,x,
28,HIGOS,,,,,,,,,,,,
29,JUDÍAS,,,,,x,x,x,x,x,x,,
30,KIWI,,,,,,,,,,,,
31,LECHUGA,x,x,x,x,x,x,x,x,x,x,x,x
32,LIMÓN,,,,,,,,,,,,
33,LIMA,,,,,,,,,,,,
34,MAIZ DULCE,,,,,,,,x,x,x,,
35,MANDARINA,,,,,,,,,,,,
X,MANZANA,,,,,,,,,,,,
37,MELOCOTÓN,,,,,,,,,,,,
38,MELÓN,,,,,,,x,x,x,,,
39,MORA,,,,,,x,x,x,x,x,,
40,NABO,x,x,,,,,,,,,x,x
41,NARANJA,,,,,,,,,,,,
42,NECTARINA,,,,,,,,,,,,
43,PAPAYA,,,,,,,,,,,,
44,PATATA,x,x,x,x,x,x,x,x,x,x,x,x
45,PEPINO,,,,,,,x,x,x,,,
46,PERA,,,,,,,,,,,,
47,PIMIENTO,,,,,,x,x,x,x,x,,
48,PIÑA,,,,,,,,,,,,
49,PLATANO,,,,,,,,,,,,
50,POMELO,,,,,,,,,,,,
51,PUERRO,x,x,x,x,x,x,x,x,x,x,x,x
52,RÁBANO,,,x,x,x,x,x,x,x,x,x,
53,REMOLACHA,,,,,,,,,,,,
54,SANDÍA,,,,,,,x,x,x,,,
55,TOMATE,,,,,,,x,x,x,x,,
56,UVA,,,,,,,,,,,,
57,ZANAHORIA,x,x,x,x,x,x,x,x,x,x,x,x
