ID,TIPO DE PRODUCTO,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGO,SEP,OCT,NOV,DIC
1,ACELGA,,,,,,,,,,,,
3,AJO,,,,,,,,,,,,
5,ALCACHOFA,,,,,,,,,,,,
6,APIO,,,,,,,,,,,,
7,BATATA,,,,,,,,,,,,
8,BERENJENA,,,,,,,,,,,,
9,BRÓCOLI,,,,,,,,,,,,
10,CALABACIN,,,,,X,X,X,X,X,X,X,
11,CALABAZA,,,,,,,,,,,,
14,CEBOLLA,,,,,,,,,,,,
16,CHAMPINON,,,,,,,,,,,,
18,COL,,,,,,,,,,,,
19,COL DE BRUSELAS,,,,,,,,,,,,
20,COLIFLOR,,,,,,,,,,,,
21,ENDIBIA,,,,,,,,,,,,
22,ESPARRAGO,,,,,,,,,,,,
23,ESPINACA,,,,,,,,,,,,
26,GUISANTE,,,,,,,,,,,,
27,HABAS,,,,,,,,,,,,
29,JUDIAS,,,,,X,X,X,X,X,X,X,
31,LECHUGA,,,,,,,,,,,,
34,MAIZ,,,,,,,,,,,,
40,NABO,,,,,,,,,,,,
44,PATATA,,,,,,,,,,,,
45,PEPINO,,,,,,,,,,,,
47,PIMIENTO,,,,,,,,,,,,
51,PUERRO,,,,,,,,,,,,
52,RABANO,,,,,,,,,,,,
53,REMOLACHA,,,,,,,,,,,,
55,TOMATE,,,,,X,X,X,X,X,X,X,
57,ZANAHORIA,,,,,,,,,,,,
