ID,TIPO DE PRODUCTO,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGO,SEP,OCT,NOV,DIC
1,ACELGA,X,X,X,,,,,,,,,
2,ACHICORIA,,,,,,,,,,,,
3,AJO,,,,,,,,,,,,
4,ALCACHOFA,X,X,X,,,,,,,,,
5,APIO,,,,,,,,,,,,
6,APIONABO,,,,,,,,,,,,
7,BATATA,,,,,,,,,,,,
8,BERENJENA,,,,,,,X,X,,,,
9,BERRO,,,,,,,,,,,,
10,BORRAJA,,,,,,,,,,,,
11,BRÓCOLI,,,,,,,,,,,,
12,CALABACIN,,,,,,,X,X,,,,
13,CALABAZA,,,,,,,,,X,,,
14,CANÓNIGO,,,,,,,,,,,,
15,CARDO,,,,,,,,,,,,
16,CEBOLLA,,,,,,,,,,,,
17,CEBOLLETA,,,,,,,,,,,,
18,CHAMPIÑÓN,,,,,,,,,,,,
19,CHIRIVÍA,,,,,,,,,,,,
20,COL,,,,,,,,,,,,
21,COL DE BRUSELAS,,,,,,,,,,,,
22,COLIFLOR,,,,,,,,,,,,
23,ENDÍBIA,,,,,,,,,,,,
24,ESPÁRRAGO,,,,,,,,,,,,
25,ESPINACA,,,,,,,,,,,,
26,GUISANTE,,,,,,,,,,,,
27,HABA,,,,,,,,,,,,
28,HINOJO,,,,,,,,,,,,
29,JUDÍA,,,,,,X,X,X,,,,
30,LECHUGA,,,,,,X,X,X,X,,,
31,MAIZ DULCE,,,,,,,,,,,,
32,NABO,,,,,,,,,,,,
33,PATATA,,,,,,,X,,,,,
34,PEPINO,,,,,,,,,,,,
35,PIMIENTO,,,,,,,X,X,,,,
36,PUERRO,,,,,,,,,,,,
37,RÁBANO,,,,,,,,,,,,
38,REMOLACHA,,,,,,,,,,,,
39,ROMANESCO,,,,,,,,,,,,
40,RÚCULA,,,,,,,,,,,,
41,TOMATE,,,,,,,X,X,,,,
42,ZANAHORIA,,,,,,,,,,,,
43,AGUACATE,,,,,,,,,,,,
44,ALBARICOQUE,,,,,,,,,,,,
45,ARÁNDANO,,,,,,,,,,,,
46,CAQUÍ,,,,,,,,,,,,
47,CEREZA,,,,,X,,,,,,,
48,CHIRIMOYA,,,,,,,,,,,,
49,CIRUELA,,,,,,,,,,,,
50,FRAMBUESA,,,,,,,,,,,,
51,FRESA,,,,X,,,,,,,,
52,GRANADA,,,,,,,,,X,,,
53,HIGO,,,,,,,,,X,,,
54,KIWI,,,,,,,,,,,,
55,LIMA,,,,,,,,,,,,
56,LIMÓN,,,,,,,,,,,,
57,MANDARINA,,,,,,,,,,,,
58,MANGO,,,,,,,,,,,,
59,MANZANA,,,,,,,,,,,,
60,MELOCOTÓN,,,,,,,X,X,,,,
61,MELÓN,,,,,,,,X,,,,
62,MEMBRILLO,,,,,,,,,,,,
63,MORA,,,,,,,,,X,,,
64,NARANJA,,,,,,,,,,,,
65,NECTARINA,,,,,,,,,,,,
66,NÍSPERO,,,,,,,,,,,,
67,PAPAYA,,,,,,,,,,,,
68,PERA,,,,,,,X,X,,,,
69,PIÑA,,,,,,,,,,,,
70,PLATANO,,,,,,,,,,,,
71,POMELO,,,,,,,,,,,,
72,SANDÍA,,,,,,,,,,,,
73,UVA,,,,,,,,,X,,,
