ID,TIPO DE PRODUCTO,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGO,SEP,OCT,NOV,DIC
1,ACELGA,,,,,,,,,,,,
2,AGUACATE,,,,,,,,,,,,
3,AJO,,X,X,X,X,,,,,,,
4,ALBARICOQUE,,,,,,,,,,,,
5,ALCACHOFA,,,,,,,,,,,,
6,APIO,X,X,X,X,X,X,X,X,X,X,X,X
7,BATATA,,,,,,,,,,,,
8,BERENJENA,,,,,,,X,X,X,,,
9,BRÓCOLI,,,,,,,,,,,,
10,CALABACIN,,,,,,,,,,,,
11,CALABAZA,,,,,,,,,,,,
12,CARDO,,,,,,,,,,,,
13,CAQUÍ,,,,,,,,,,,,
14,CEBOLLA,,,,,,,,,,,,
15,CEREZA,,,,X,X,X,,,,,,
16,CHAMPIÑÓN,,,,,,,,,,,,
17,COL CHINA,,,,,,,,,,,,
18,COL COMÚN,X,X,X,X,,X,X,X,X,X,X,X
19,COL DE BRUSELAS,,,,,,,,,,,,
20,COLIFLOR,,,,,,,,,,,,
21,ENDÍBIA,,,,,,,,,,,,
22,ESPÁRRAGO,,,,,,,,,,,,
23,ESPINACA,,,,,,,,,,,,
24,FRAMBUESA,,,,X,X,X,X,X,X,,,
25,FRESA,,,,X,X,X,X,X,X,,,
26,GUISANTES,,,,,,,,,,,,
27,HABAS,,,,,,,,,,,,
28,HIGOS,,,,,,,X,X,X,,,
29,JUDÍAS,,,,,,,,,,,,
30,KIWI,X,X,X,,,,,,,,,
31,LECHUGA,,,,,,,,,,,,
32,LIMÓN,,,,,,,,,,,,
33,LIMA,,,,,,,,,,,,
34,MAIZ DULCE,,,,,,,,,,,,
35,MANDARINA,,,,,,,,,,,,
36,MANZANA,X,X,X,,,,X,X,X,X,X,X
37,MELOCOTÓN,,,,,,,X,X,X,,,
38,MELÓN,,,,,,,,,,,,
39,MORA,,,,,,,X,X,X,,,
40,NABO,,,,,,,,,,,,
41,NARANJA,,,,,,,,,,,,
42,NECTARINA,,,,,,,,,,,,
43,PAPAYA,,,,,,,,,,,,
44,PATATA,,,,,X,X,X,X,X,,,
45,PEPINO,,,,,,,X,X,X,X,,
46,PERA,X,X,X,,,,X,X,X,X,X,X
47,PIMIENTO,,,,,,,,,X,X,X,
48,PIÑA,,,,,,,,,,,,
49,PLATANO,,,,,,,,,,,,
50,POMELO,,,,,,,,,,,,
51,PUERRO,X,X,X,X,,,X,X,X,X,X,X
52,RÁBANO,,,,,,,,,,,,
53,REMOLACHA,,,,,,,,,,,,
54,SANDÍA,,,,,,,,,,,,
55,TOMATE,,,,,,,X,X,X,X,,
56,UVA,,,,,,,,,,X,X,
57,ZANAHORIA,X,X,X,X,X,X,X,X,X,X,X,X
