TIPO DE PRODUCTO,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGO,SEP,OCT,NOV,DIC
ACELGA,,,,,,,,,,,,
ACHICORIA,,,,,,,,,,,,
AJO,,,,,,,,,,,,
ALCACHOFA,,,,,,,,,,,,
APIO,,,,,,,,,,,,
APIONABO,,,,,,,,,,,,
BATATA,,,,,,,,,,,,
BERENJENA,,,,,,,,,,,,
BERRO,,,,,,,,,,,,
BORRAJA,,,,,,,,,,,,
BRÓCOLI,,,,,,,,,,,,
CALABACIN,,,,,,,,,,,,
CALABAZA,,,,,,,,,,,,
CANÓNIGO,,,,,,,,,,,,
CARDO,,,,,,,,,,,,
CEBOLLA,,,,,,,,,,,,
CEBOLLETA,,,,,,,,,,,,
CHAMPIÑÓN,,,,,,,,,,,,
CHIRIVÍA,,,,,,,,,,,,
COL,,,,,,,,,,,,
COL DE BRUSELAS,,,,,,,,,,,,
COLIFLOR,,,,,,,,,,,,
ENDÍBIA,,,,,,,,,,,,
ESPÁRRAGO,,,,,,,,,,,,
ESPINACA,,,,,,,,,,,,
GUISANTE,,,,,,,,,,,,
HABA,,,,,,,,,,,,
HINOJO,,,,,,,,,,,,
JUDÍA,,,,,,,,,,,,
LECHUGA,,,,,,,,,,,,
MAIZ DULCE,,,,,,,,,,,,
NABO,,,,,,,,,,,,
PATATA,,,,,,,,,,,,
PEPINO,,,,,,,,,,,,
PIMIENTO,,,,,,,,,,,,
PUERRO,,,,,,,,,,,,
RÁBANO,,,,,,,,,,,,
REMOLACHA,,,,,,,,,,,,
ROMANESCO,,,,,,,,,,,,
RÚCULA,,,,,,,,,,,,
TOMATE,,,,,,,,,,,,
ZANAHORIA,,,,,,,,,,,,
AGUACATE,,,,,,,,,,,,
ALBARICOQUE,,,,,,,,,,,,
ARÁNDANO,,,,,,,,,,,,
CAQUÍ,,,,,,,,,,,,
CEREZA,,,,,,,,,,,,
CHIRIMOYA,,,,,,,,,,,,
CIRUELA,,,,,,,,,,,,
FRAMBUESA,,,,,,,,,,,,
FRESA,,,,,,,,,,,,
GRANADA,,,,,,,,,X,X,,
HIGO,,,,,,,,,,,,
KIWI,,,,,,,,,,,,
LIMA,,,,,,,,,,,,
LIMÓN,,,,,,,,,,,,
MANDARINA,,,,,,,,,,,,
MANGO,,,,,,,,,,,,
MANZANA,,,,,,,,,,,,
MELOCOTÓN,,,,,,,,,,,,
MELÓN,,,,,,,,,,,,
MEMBRILLO,,,,,,,,,,,,
MORA,,,,,,,,,,,,
NARANJA,,,,,,,,,,,,
NECTARINA,,,,,,,,,,,,
NÍSPERO,,,,,,,,,,,,
PAPAYA,,,,,,,,,,,,
PERA,,,,,,,,,,,,
PIÑA,,,,,,,,,,,,
PLATANO,,,,,,,,,,,,
POMELO,,,,,,,,,,,,
SANDÍA,,,,,,,,,,,,
UVA,,,,,,,,,,,,
