ID,TIPO DE PRODUCTO,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGO,SEP,OCT,NOV,DIC
1,ACELGA,,,,,,,,,,,,
2,ACHICORIA,,,,,,,,,,,,
3,AJO,,,,,,,,,,,,
4,ALCACHOFA,,,,,,,,,,,,
5,APIO,,,,,,,,,,,,
6,APIONABO,,,,,,,,,,,,
7,BATATA,,,,,,,,,,,,
8,BERENJENA,,,,,,,,,,,,
9,BERRO,,,,,,,,,,,,
10,BORRAJA,,,,,,,,,,,,
11,BRÓCOLI,,,,,,,,,,,,
12,CALABACIN,,,,,,,,,,,,
13,CALABAZA,,,,,,,,,,,,
14,CANÓNIGO,,,,,,,,,,,,
15,CARDO,,,,,,,,,,,,
16,CEBOLLA,,,,,,,,,,,,
17,CEBOLLETA,,,,,,,,,,,,
18,CHAMPIÑÓN,,,,,,,,,,,,
19,CHIRIVÍA,,,,,,,,,,,,
20,COL,,,,,,,,,,,,
21,COL DE BRUSELAS,,,,,,,,,,,,
22,COLIFLOR,,,,,,,,,,,,
23,ENDÍBIA,,,,,,,,,,,,
24,ESPÁRRAGO,,,,,,,,,,,,
25,ESPINACA,,,,,,,,,,,,
26,GUISANTE,,,,,,,,,,,,
27,HABA,,,,,,,,,,,,
28,HINOJO,,,,,,,,,,,,
29,JUDÍA,,,,,,,,,,,,
30,LECHUGA,,,,,,,,,,,,
31,MAIZ DULCE,,,,,,,,,,,,
32,NABO,,,,,,,,,,,,
33,PATATA,,,,,,,,,,,,
34,PEPINO,,,,,,,,,,,,
35,PIMIENTO,,,,,,,,,,,,
36,PUERRO,,,,,,,,,,,,
37,RÁBANO,,,,,,,,,,,,
38,REMOLACHA,,,,,,,,,,,,
39,ROMANESCO,,,,,,,,,,,,
40,RÚCULA,,,,,,,,,,,,
41,TOMATE,,,,,,,,,,,,
42,ZANAHORIA,,,,,,,,,,,,
43,AGUACATE,,,,,,,,,,,,
44,ALBARICOQUE,,,,,,,,,,,,
45,ARÁNDANO,,,,,,,,,,,,
46,CAQUÍ,,,,,,,,,,,,
47,CEREZA,,,,,,,,,,,,
48,CHIRIMOYA,,,,,,,,,,,,
49,CIRUELA,,,,,,,,,,,,
50,FRAMBUESA,,,,,,,,,,,,
51,FRESA,,,,,,,,,,,,
52,GRANADA,,,,,,,,,X,X,Y,
53,HIGO,,,,,,,,,,,,
54,KIWI,X,X,Y,,,,,,,,Y,X
55,LIMA,,,,,,,,,,,,
56,LIMÓN,,,,,,,,,,,,
57,MANDARINA,,,,,,,,,,,,
58,MANGO,,,,,,,,,,,,
59,MANZANA,,,,,,,,,,,,
60,MELOCOTÓN,,,,,,,,,,,,
61,MELÓN,,,,,,,,,,,,
62,MEMBRILLO,,,,,,,,,,,,
63,MORA,,,,,,,,,,,,
64,NARANJA,,,,,,,,,,,,
65,NECTARINA,,,,,,,,,,,,
66,NÍSPERO,,,,,,,,,,,,
67,PAPAYA,,,,,,,,,,,,
68,PERA,,,,,,,,,,,,
69,PIÑA,,,,,,,,,,,,
70,PLATANO,-,,,,,,,,,,,
71,POMELO,,,,,,,,,,,,
72,SANDÍA,,,,,,,,,,,,
73,UVA,,,,,,,,,,,,
