ID,TIPO DE PRODUCTO,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGO,SEP,OCT,NOV,DIC
1,ACELGA,X,X,X,X,X,X,X,X,X,X,X,X
2,AGUACATE,,,,,,,,,,,,
3,AJO,X,X,X,X,X,X,X,X,X,X,X,X
4,ALBARICOQUE,,,,,,,,,,,,
5,ALCACHOFA,,,,,X,X,,,,,,
6,APIO,X,X,X,X,,,X,X,X,X,X,X
7,BATATA,,,,,,,,,,,,
8,BERENJENA,,,,,,,X,X,X,X,,
9,BRÓCOLI,X,X,,,,,,,,X,X,X
10,CALABACIN,,,,,,X,X,X,X,X,,
11,CALABAZA,X,X,X,X,,,,,X,X,X,X
12,CARDO,,,,,,,,,,,,
13,CAQUÍ,,,,,,,,,,,,
14,CEBOLLA,X,X,X,X,X,X,X,X,X,X,X,X
15,CEREZA,,,,,,,,,,,,
16,CHAMPIÑÓN,,,,,,,,,,,,
17,COL CHINA,,,,,,,,,,,,
18,COL COMÚN,X,X,X,X,X,X,X,X,,X,X,X
19,COL DE BRUSELAS,X,X,X,X,,,,,,,,X
20,COLIFLOR,X,X,X,X,X,X,,,,,,X
21,ENDÍBIA,,,,,,,,,,,,
22,ESPÁRRAGO,,,,,,,,,,,,
23,ESPINACA,X,X,X,X,X,X,,,,,X,X
24,FRAMBUESA,,,,,,,,,,,,
25,FRESA,,,,,,,,,,,,
26,GUISANTES,,,,,,,,,,,,
27,HABAS,,,,,X,X,,,,,,
28,HIGOS,,,,,,,,,,,,
29,JUDÍAS,,,,,,,,,,,,
30,KIWI,,,,,,,,,,,,
31,LECHUGA,X,X,X,X,X,X,X,X,X,X,X,X
32,LIMÓN,,,,,,,,,,,,
33,LIMA,,,,,,,,,,,,
34,MAIZ DULCE,,,,,,X,X,X,X,X,X,
35,MANDARINA,,,,,,,,,,,,
36,MANZANA,,,,,,,,,,,,
37,MELOCOTÓN,,,,,,,,,,,,
38,MELÓN,,,,,,,,,,,,
39,MORA,,,,,,,,,,,,
40,NABO,X,X,X,X,X,,,,,X,X,X
41,NARANJA,,,,,,,,,,,,
42,NECTARINA,,,,,,,,,,,,
43,PAPAYA,,,,,,,,,,,,
44,PATATA,X,X,X,X,X,X,X,X,X,X,X,X
45,PEPINO,,,,,,X,X,X,X,X,,
46,PERA,,,,,,,X,X,X,X,,
47,PIMIENTO,,,,,,,,,,,,
48,PIÑA,,,,,,,,,,,,
49,PLATANO,,,,,,,,,,,,
50,POMELO,,,,,,,,,,,,
51,PUERRO,X,X,X,X,X,,,,X,X,X,X
52,RÁBANO,,,,,,,,,,,,
53,REMOLACHA,X,X,X,X,X,X,X,X,X,X,X,X
54,SANDÍA,,,,,,,,,,,,
55,TOMATE,,,,,,X,X,X,X,X,,
56,UVA,,,,,,,,,,,,
57,ZANAHORIA,X,X,X,X,X,X,X,X,X,X,X,X
