ID,TIPO DE PRODUCTO,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGO,SEP,OCT,NOV,DIC
9,acelga,,,,,X,X,X,X,,,,
1,aguacate,,,,,,,,,,,,
2,ajo,,,,,,,,,,,,
3,albaricoque,,,,,,,,,,,,
4,alcachofa,,,,,,,,,,,,
5,apio,,,,,,,,,,,,
6,batata,,,,,,,,,,,,
7,berenjena,,,,,,,,,,,,
8,BROCOLI,,,,,,X,X,X,X,,,
10,calabacin,,,,,,X,X,X,X,,,
11,calabaza,,,,,,,,,X,X,,
13,cardo,,,,,,,,,,,,
12,caqui,,,,,,,,,,,,
14,cebolla,,,,,,,,X,,,,
15,cereza,,,,,,,,,,,,
16,champinon,,,,,,,,,,,,
18,col-china,,,,,,,,,,,,
17,col,,,,,,,,,,,,
19,col-de-bruselas,,,,,,,,,,,,
20,coliflor,,,,,,,,,,,,
21,endibia,,,,,,,,,,,,
22,esparrago,,,,,,,,,,,,
23,espinaca,,,,,,,,X,X,,,
24,frambuesa,,,,,,,,,,,,
25,fresa,,,,,,,,,,,,
26,guisante,,,,,,,,,,,,
27,haba,,X,X,,,,,,,,,
28,higo,,,,,,,,,,,,
29,judia,,,,,,,X,X,X,,,
30,kiwi,,,,,,,,,,,,
31,lechuga,,,,,,,X,X,,,,
33,limon,,,,,,,,,,,,
32,lima,,,,,,,,,,,,
34,maiz,,,,,,,,,,,,
35,mandarina,,,,,,,,,,,,
36,manzana,,,,,,,,,,,,
37,melocoton,,,,,,,,,,,,
38,melon,,,,,,,,,,,,
39,mora,,,,,,,,,,,,
40,nabo,,,,,,,,,,,,
41,naranja,,,,,,,,,,,,
42,nectarina,,,,,,,,,,,,
43,papaya,,,,,,,,,,,,
44,patata,,,,,,,,X,,,,
45,pepino,,,,,,,X,X,,,,
46,pera,,,,,,,,,,,,
47,pimiento,,,,,,,X,X,X,,,
48,pina,,,,,,,,,,,,
49,platano,,,,,,,,,,,,
50,pomelo,,,,,,,,,,,,
51,puerro,,,,,,,,,,,,
52,rabano,,,,,,,,,,,,
53,remolacha,,,,,,,,,,,,
54,sandia,,,,,,,,,,,,
55,tomate,,,,,,,X,X,X,,,
56,uva,,,,,,,,,,,,
57,zanahoria,,,,,,,,,,,,
