ID,TIPO DE PRODUCTO,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGO,SEP,OCT,NOV,DIC
1,ACELGA,,,,,,,,,,,,
2,AGUACATE,,,,,,,,,,,,
3,AJO,,,,,,,,,,,,
4,ALBARICOQUE,,,,,X,X,,,,,,
5,ALCACHOFA,,,,,,,,,,,,
6,APIO,X,X,X,X,,,,,,X,X,X
7,BATATA,,,,,,,,,,,,
8,BERENJENA,,,,,,X,X,X,,,,
9,BRÓCOLI,X,X,X,X,X,,,,,X,X,X
10,CALABACIN,,,,,,X,X,X,,,,
11,CALABAZA,,,,,,X,X,X,,,,
12,CARDO,,,,,,,,,,,,
13,CAQUÍ,,,,,,,,,,,,
14,CEBOLLA,,,,,,,,,,,,
15,CEREZA,,,,,,,,,,,,
16,CHAMPIÑÓN,,,,,,,,,,,,
17,COL CHINA,,,,,,,,,,,,
18,COL COMÚN,,,,,,,,,,,,
19,COL DE BRUSELAS,,,,,,,,,,,,
20,COLIFLOR,X,X,X,X,X,,,,,X,X,X
21,ENDÍBIA,,,,,,,,,,,,
22,ESPÁRRAGO,,,,,,,,,,,,
23,ESPINACA,,,,,,,,,,,,
24,FRAMBUESA,,,,,,,,,,,,
25,FRESA,,,,,,,,,,,,
26,GUISANTES,,,,,,,,,,,,
27,HABAS,,,,,,,,,,,,
28,HIGOS,,,,,,,,,,,,
29,JUDÍAS,,,,,,,,,,,,
30,KIWI,,,,,,,,,,,,
31,LECHUGA,X,X,X,X,X,,,,,X,X,X
32,LIMÓN,X,,,,,,,,,,X,X
33,LIMA,,,,,,,,,,,,
34,MAIZ DULCE,,,,,,,,,,,,
35,MANDARINA,,,,,,,,,,,,
36,MANZANA,,,,,,,,,,,,
37,MELOCOTÓN,,,,,X,X,,,,,,
38,MELÓN,,,,,,X,X,X,X,,,
39,MORA,,,,,,,,,,,,
40,NABO,,,,,,,,,,,,
41,NARANJA,X,X,X,X,Y,,,,,,X,X
42,NECTARINA,,,,X,X,,,,,,,
43,PAPAYA,,,,,,,,,,,,
44,PATATA,,,,,,X,X,X,,,,
45,PEPINO,,,,,,X,X,X,,,,
46,PERA,,,,,,,,,,,,
47,PIMIENTO,,,,,,X,X,X,,,,
48,PIÑA,,,,,,,,,,,,
49,PLATANO,,,,,,,,,,,,
50,POMELO,,,,,,,,,,,,
51,PUERRO,X,X,,,,,,,,,,X
52,RÁBANO,,,,,,,,,,,,
53,REMOLACHA,,,,,,,,,,,,
54,SANDÍA,,,,,,X,X,X,,,,
55,TOMATE,,,,,,X,X,X,X,,,
56,UVA,,,,,,,,X,X,X,,Y
57,ZANAHORIA,,,,,,,,,,,,
