ID,TIPO DE PRODUCTO,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGO,SEP,OCT,NOV,DIC
1,ACELGA,,,,,,,,,,,,
2,AGUACATE,,,,,,,,,,,,
3,AJO,,,,,,,,,,,,
4,ALBARICOQUE,,,,,Y,X,Y,,,,,
5,ALCACHOFA,,,,,,,,,,,,
6,APIO,,,,,,,,,,,,
7,BATATA,,,,,,,,,,,,
8,BERENJENA,,,,,,,,,,,,
9,BRÓCOLI,,,,,,,,,,,,
10,CALABACIN,,,,,,,,,,,,
11,CABALAZA,,,,,,,,,,,,
12,CARDO,,,,,,,,,,,,
13,CAQUI,,,,,,,,,,,,X
14,CEBOLLA,,,,,,,,,,,,
15,CEREZA,,,,,Y,X,Y,,,,,
16,CHAMPINON,,,,,,,,,,,,
17,COL CHINA,,,,,,,,,,,,
18,COL COMUN,,,,,,,,,,,,
19,COL DE BRUSELAS,,,,,,,,,,,,
20,COLIFLOR,,,,,,,,,,,,
21,ENDIBIA,,,,,,,,,,,,
22,ESPARRAGO,,,,,,,,,,,,
23,ESPINACA,,,,,Y,X,Y,Y,Y,Y,,
24,FRAMBUESA,,,,,Y,X,X,Y,Y,Y,Y,
25,FRESA,,,,,,,,,,,,
26,GUISANTE,,,,,,,,,,,,
27,HABA,,,,,,,,,,,,
28,HIGO,,,,,,,,Y,X,Y,,
29,JUDIA,,,,,,,,,,,,
30,KIWI,,,,,,,,,,,,
31,LECHUGA,,,,,,,,,,,,
32,LIMON,,,,,,,,,,,,
33,LIMA,,,,,,,,,,,,
34,MAIZ DULCE,,,,,,,,,,,,
35,MANDARINA,,,,,,,,,,,,
36,MANZANA,,,,,,,,,,,,
37,MELOCOTON,,,,,,,,Y,X,,,
38,MELON,,,,,,,,,,,,
39,MORA,,,,,,Y,X,,,,,
40,NABO,,,,,,,,,,,,
41,NARANJA,,,,,,,,,,,,
42,NECTARINA,,,,,,,,,,,,
43,PAPAYA,,,,,,,,,,,,
44,PATATA,,,,,,,,,,,,
45,PEPINO,,,,,,,,,,,,
46,PERA,,,,,,,,,,,,
47,PIMIENTO,,,,,,,,,,,,
48,PINA,,,,,,,,,,,,
49,PLATANO,,,,,,,,,,,,
50,POMELO,,,,,,,,,,,,
51,PUERRO,,,,,,,,,,,,
52,RABANO,,,,,,,,,,,,
53,REMOLACHA,,,,,,,,,,,,
54,SANDIA,,,,,,,,,,,,
55,TOMATE,,,,,,,,,,,,
56,UVA,,,,,,,,,,,,
57,ZANAHORIA,,,,,,,,,,,,
