ID,TIPO DE PRODUCTO,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGO,SEP,OCT,NOV,DIC
1,ACELGA,X,X,X,X,Y,Y,Y,,,,,
2,AGUACATE,,,,,,,,,,,,
3,AJO,,,,,,,,,,,,
4,ALBARICOQUE,,,,,,,,,,,,
5,ALCACHOFA,,,,,,,,,,,,
6,APIO,,,,,,X,,,,,,
7,BATATA,,,,,,,,,,,,
8,BERENJENA,,,,,,,,,,,,
9,BRÓCOLI,,,,,,,,,,X,,
10,CALABACIN,,,,,,X,,,,,,
11,CALABAZA,,,,,,,,X,,,,
12,CARDO,,,,,,,,,,,,
13,CAQUÍ,,,,,,,,,,,,
14,CEBOLLA,,,,,,X,X,X,X,X,X,X
15,CEREZA,,,,,,X,X,,,,,
16,CHAMPIÑÓN,,,,,,,,,,,,
17,COL CHINA,,,,,,,,,,X,,
18,COL COMÚN,,,,,,,,,,,,
19,COL DE BRUSELAS,,,,,,,,,,,,
20,COLIFLOR,X,X,,,,,,,,X,X,X
21,ENDÍBIA,,,,,,,,,,,,
22,ESPÁRRAGO,,,,,,,,,,,,
23,ESPINACA,X,X,,,,,,,,,,X
24,FRAMBUESA,,,,,,X,X,,,,,
25,FRESA,,,,,,,X,X,X,X,,
26,GUISANTES,,,,X,X,,,,,,,
27,HABAS,,,,,,X,,,,,,
28,HIGOS,,,,,,,,,,,,
29,JUDÍAS,,,,,,,,,,,,
30,KIWI,,,,,,,,,,,,
31,LECHUGA,,,,,,,,,,,,
32,LIMÓN,,,,,,,,,,,,
33,LIMA,,,,,,,,,,,,
34,MAIZ DULCE,,,,,,,,,X,,,
35,MANDARINA,,,,,,,,,,,,
36,MANZANA,,,,,,,,,X,,,
37,MELOCOTÓN,,,,,,,,,,,,
38,MELÓN,,,,,,,,,,,,
39,MORA,,,,,,,,,,,,
40,NABO,,,,,,,,,,,,
41,NARANJA,,,,,,,,,,,,
42,NECTARINA,,,,,,,,,,,,
43,PAPAYA,,,,,,,,,,,,
44,PATATA,,,,,,,X,,,,,
45,PEPINO,,,,,,,,X,,,,
46,PERA,,,,,,,,,X,,,
47,PIMIENTO,,,,,,,X,X,,,,
48,PIÑA,,,,,,,,,,,,
49,PLATANO,,,,,,,,,,,,
50,POMELO,,,,,,,,,,,,
51,PUERRO,,,,,,,,X,,,,
52,RÁBANO,,,,,,,,,,,,
53,REMOLACHA,X,X,X,X,,,X,X,X,X,X,X
54,SANDÍA,,,,,,,,,,,,
55,TOMATE,,,,,,,,X,X,X,,
56,UVA,,,,,,,,,X,,,
57,ZANAHORIA,,,,,,,,,X,,,
