ID,TIPO DE PRODUCTO,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGO,SEP,OCT,NOV,DIC
1,ACELGA,,,,,,Y,X,X,X,X,Y,Y
3,AGUACATE,,,,,,,,,,,,
4,AJO,,,,,,X,,,,,,
5,ALBARICOQUE,,,,,,,,,,,,
6,ALCACHOFA,,,,,,X,X,X,Y,Y,,
7,APIO,,,,,,,,,,,,
9,BATATA,,,,,,,,,,,,
10,BERENJENA,,,,,,,X,X,Y,Y,,
12,BRÓCOLI,,,,,,,,,,,,
13,CALABACIN,,,,,,Y,X,X,,,,
14,CALABAZA,,,,,,,,,X,X,,
15,CARDO,,,,,,,,,,,,
16,CAQUÍ,,,,,,,,,,,,
17,CEBOLLA,,,,,,,,,X,,,
18,CEREZA,,,,,Y,X,,,,,,
19,CHAMPIÑÓN,,,,,,,,,,,,
20,COL CHINA,,,,,,,,,,,,
21,COL COMÚN,,,,,,,,,,,,
22,COL DE BRUSELAS,,,,,,,,,,,,
23,COLIFLOR,,,,,,,,,,,,
24,ENDÍBIA,,,,,,,,,,,,
25,ESPÁRRAGO,,,,,,,,,,,,
26,ESPINACA,,,,,,,,,,,,
27,FRAMBUESA,,,,,,,,,,,,
28,FRESA,,,,,X,X,Y,Y,Y,,,
29,GUISANTES,,,,,,,,,,,,
30,HABAS,,,,X,,,,,,,,
31,HIGOS,,,,,,,,,,,,
32,JUDÍAS,,,,,,,,,,,,
33,KIWI,,,,,,,,,,,,
34,LECHUGA,,,X,X,X,X,X,X,X,,,
35,LIMÓN,,,,,,,,,,,,
36,LIMA,,,,,,,,,,,,
37,MAIZ DULCE,,,,,,,,,,,,
38,MANDARINA,,,,,,,,,,,,
39,MANZANA,,,,,,X,,,X,,,
40,MELOCOTÓN,,,,,,,,X,X,,,
41,MELÓN,,,,,,,,,,,,
42,MORA,,,,,,,,,,,,
43,NABO,,,,,,,,,,,,
44,NARANJA,,,,,,,,,,,,
45,NECTARINA,,,,,,,,,,,,
46,PAPAYA,,,,,,,,,,,,
47,PATATA,,,,,,,X,X,X,X,,
48,PEPINO,,,,,,X,X,X,,,,
49,PERA,,,,,,,,,,,,
50,PIMIENTO,,,,,,,X,X,X,,,
51,PIÑA,,,,,,,,,,,,
52,PLATANO,,,,,,,,,,,,
53,POMELO,,,,,,,,,,,,
54,PUERRO,,,,,,,,,,,,
55,RÁBANO,,,,,,,,,,,,
56,REMOLACHA,,,,,,,,,,,,
57,SANDÍA,,,,,,,,X,,,,
,TOMATE,,,,,,,,X,Y,Y,Y,
,UVA,,,,,,,,,,,,
,ZANAHORIA,,,,,,,,X,Y,,,
