ID,TIPO DE PRODUCTO,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGO,SEP,OCT,NOV,DIC
1,ACELGA,,,,,,Y,X,X,X,X,Y,Y
2,AGUACATE,,,,,,,,,,,,
3,AJO,,,,,,X,,,,,,
4,ALBARICOQUE,,,,,,,,,,,,
5,ALCACHOFA,,,,,,X,X,X,Y,Y,,
6,APIO,,,,,,,,,,,,
7,BATATA,,,,,,,,,,,,
8,BERENJENA,,,,,,,X,X,Y,Y,,
9,BRÓCOLI,,,,,,,,,,,,
10,CALABACIN,,,,,,Y,X,X,,,,
11,CALABAZA,,,,,,,,,X,X,,
12,CARDO,,,,,,,,,,,,
13,CAQUÍ,,,,,,,,,,,,
14,CEBOLLA,,,,,,,,,X,,,
15,CEREZA,,,,,Y,X,,,,,,
16,CHAMPIÑÓN,,,,,,,,,,,,
17,COL CHINA,,,,,,,,,,,,
18,COL COMÚN,,,,,,,,,,,,
19,COL DE BRUSELAS,,,,,,,,,,,,
20,COLIFLOR,,,,,,,,,,,,
21,ENDÍBIA,,,,,,,,,,,,
22,ESPÁRRAGO,,,,,,,,,,,,
23,ESPINACA,,,,,,,,,,,,
24,FRAMBUESA,,,,,,,,,,,,
25,FRESA,,,,,X,X,Y,Y,Y,,,
26,GUISANTES,,,,,,,,,,,,
27,HABAS,,,,X,,,,,,,,
28,HIGOS,,,,,,,,,,,,
29,JUDÍAS,,,,,,,,,,,,
30,KIWI,,,,,,,,,,,,
31,LECHUGA,,,X,X,X,X,X,X,X,,,
32,LIMÓN,,,,,,,,,,,,
33,LIMA,,,,,,,,,,,,
34,MAIZ DULCE,,,,,,,,,,,,
35,MANDARINA,,,,,,,,,,,,
36,MANZANA,,,,,,X,,,X,,,
37,MELOCOTÓN,,,,,,,,X,X,,,
38,MELÓN,,,,,,,,,,,,
39,MORA,,,,,,,,,,,,
40,NABO,,,,,,,,,,,,
41,NARANJA,,,,,,,,,,,,
42,NECTARINA,,,,,,,,,,,,
43,PAPAYA,,,,,,,,,,,,
44,PATATA,,,,,,,X,X,X,X,,
45,PEPINO,,,,,,X,X,X,,,,
46,PERA,,,,,,,,,,,,
47,PIMIENTO,,,,,,,X,X,X,,,
48,PIÑA,,,,,,,,,,,,
49,PLATANO,,,,,,,,,,,,
50,POMELO,,,,,,,,,,,,
51,PUERRO,,,,,,,,,,,,
52,RÁBANO,,,,,,,,,,,,
53,REMOLACHA,,,,,,,,,,,,
54,SANDÍA,,,,,,,,X,,,,
55,TOMATE,,,,,,,,X,Y,Y,Y,
56,UVA,,,,,,,,,,,,
57,ZANAHORIA,,,,,,,,X,Y,,,
