TIPO DE PRODUCTO,1,2,3,4,5,6,7,8,9,10,11,12,SCORE
ACELGA,0.75,0.83,0.67,0.67,0.58,0.67,0.75,0.67,0.67,0.67,0.67,0.58,8.17
AGUACATE,1.0,1.0,1.0,1.0,0.5,0.0,0.0,0.0,0.0,0.5,1.0,1.0,7.0
AJO,0.17,0.33,0.33,0.33,0.42,0.58,0.33,0.17,0.17,0.17,0.33,0.33,3.67
ALBARICOQUE,0.0,0.0,0.0,0.25,0.5,1.0,0.5,0.5,0.25,0.0,0.0,0.0,3.0
ALCACHOFA,0.1,0.1,0.2,0.4,0.6,0.5,0.2,0.2,0.1,0.4,0.4,0.3,3.5
APIO,0.6,0.6,0.4,0.4,0.2,0.4,0.4,0.5,0.5,0.4,0.4,0.4,5.2
BATATA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.75,0.0,1.5
BERENJENA,0.0,0.0,0.0,0.0,0.0,0.17,1.0,1.0,0.75,0.5,0.08,0.0,3.5
BRÓCOLI,0.3,0.2,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.7,0.6,0.5,2.7
CALABACIN,0.0,0.0,0.0,0.0,0.08,0.67,0.83,0.75,0.33,0.17,0.0,0.0,2.83
CALABAZA,0.17,0.17,0.17,0.17,0.0,0.0,0.0,0.25,0.5,0.67,0.25,0.25,2.58
CAQUÍ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,1.0,1.0,0.25,2.5
CARDO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0
CEBOLLA,0.17,0.17,0.33,0.33,0.33,0.58,0.5,0.67,0.92,0.67,0.42,0.33,5.42
CEREZA,0.0,0.0,0.0,0.3,0.7,0.8,0.3,0.0,0.0,0.0,0.0,0.0,2.1
CHAMPIÑÓN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
COL CHINA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,1.0
COL COMÚN,0.5,0.5,0.5,0.5,0.25,0.5,0.5,0.5,0.25,0.62,1.0,0.62,6.25
COL DE BRUSELAS,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,3.0
COLIFLOR,0.6,0.6,0.4,0.4,0.3,0.2,0.0,0.0,0.0,0.4,0.8,0.7,4.4
ESPINACA,0.6,0.6,0.5,0.6,0.5,0.4,0.0,0.2,0.2,0.2,0.6,0.6,5.0
ESPÁRRAGO,0.0,0.0,0.33,1.0,0.5,0.17,0.0,0.0,0.0,0.0,0.0,0.0,2.0
FRAMBUESA,0.0,0.0,0.0,0.5,0.5,1.0,1.0,0.5,0.5,0.0,0.0,0.0,4.0
FRESA,0.0,0.0,0.12,0.5,0.62,0.5,0.62,0.62,0.62,0.25,0.0,0.0,3.88
GUISANTES,0.0,0.0,0.12,0.75,0.62,0.25,0.0,0.0,0.0,0.25,0.25,0.0,2.25
HABAS,0.0,0.0,0.17,0.42,0.5,0.42,0.0,0.0,0.0,0.0,0.0,0.0,1.5
HIGOS,0.0,0.0,0.0,0.0,0.0,0.17,0.67,1.0,0.67,0.17,0.0,0.0,2.67
JUDÍAS,0.0,0.0,0.0,0.0,0.5,0.83,0.67,0.5,0.33,0.17,0.0,0.0,3.0
KIWI,1.0,1.0,1.0,0.25,0.0,0.0,0.0,0.0,0.25,0.5,0.5,0.5,5.0
LECHUGA,0.4,0.4,0.7,0.8,0.9,0.7,0.6,0.6,0.6,0.4,0.4,0.4,6.9
LIMA,0.25,0.25,0.25,0.25,0.25,0.0,0.0,0.5,0.5,0.5,1.0,0.5,4.25
LIMÓN,1.0,1.0,1.0,0.5,0.5,0.25,0.0,0.0,0.0,0.25,1.0,1.0,6.5
MAIZ DULCE,0.0,0.0,0.0,0.0,0.0,0.33,0.33,0.33,1.0,0.33,0.33,0.0,2.67
MANDARINA,0.5,0.5,0.5,0.25,0.0,0.0,0.0,0.0,0.0,0.25,1.0,0.5,3.5
MANZANA,0.4,0.3,0.2,0.0,0.0,0.2,0.3,0.4,0.8,0.4,0.6,0.4,4.0
MELOCOTÓN,0.0,0.0,0.0,0.0,0.12,0.25,0.5,1.0,1.0,0.12,0.0,0.0,3.0
MELÓN,0.0,0.0,0.0,0.0,0.17,0.33,0.67,0.83,0.83,0.17,0.0,0.0,3.0
MORA,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,3.0
NABO,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.5,0.5,0.5,0.5,4.5
NARANJA,0.5,0.5,0.5,0.5,0.25,0.0,0.0,0.0,0.0,0.25,1.0,0.5,4.0
NECTARINA,0.0,0.0,0.0,0.25,0.5,0.5,0.5,1.0,1.0,0.25,0.0,0.0,4.0
PATATA,0.14,0.14,0.14,0.14,0.57,0.71,0.57,0.57,0.57,0.29,0.14,0.14,4.14
PEPINO,0.0,0.0,0.0,0.0,0.14,0.71,0.71,0.86,0.5,0.36,0.0,0.0,3.29
PERA,0.2,0.2,0.2,0.0,0.0,0.1,0.6,0.6,1.0,0.6,0.4,0.3,4.2
PIMIENTO,0.0,0.0,0.0,0.0,0.08,0.5,0.83,0.83,0.58,0.33,0.25,0.0,3.42
POMELO,1.0,1.0,1.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,1.0,6.0
PUERRO,0.5,0.42,0.33,0.33,0.25,0.17,0.33,0.5,0.58,0.5,0.33,0.5,4.75
REMOLACHA,0.5,0.5,0.5,0.5,0.25,0.25,0.5,0.5,0.5,1.0,0.62,0.5,6.12
RÁBANO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0
SANDÍA,0.0,0.0,0.0,0.0,0.12,0.5,0.5,0.75,0.38,0.0,0.0,0.0,2.25
TOMATE,0.0,0.0,0.0,0.0,0.07,0.57,0.71,1.0,0.86,0.79,0.21,0.0,4.21
UVA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.75,0.5,0.5,0.12,2.0
ZANAHORIA,0.43,0.43,0.43,0.36,0.57,0.57,0.57,0.71,0.71,0.43,0.43,0.43,6.07
