ID,PRODUCTO,MESES
1,ACELGA,4
2,AGUACATE,12
3,AJO,4
4,ALBARICOQUE,12
5,ALCACHOFA,12
6,APIO,4
7,BATATA,4
8,BERENJENA,5
9,BROCOLI,6
10,CALABACIN,4
11,CALABAZA,5
12,CARDO,NA
13,CAQUI,NA
14,CEBOLLA,4
15,CEREZA,NA
16,CHAMPINON,1
17,COL CHINA,NA
18,COL COMUN,6
19,COL DE BRUSELAS,NA
20,COLIFLOR,7
21,ENDIBIA,NA
22,ESPARRAGO,12
23,ESPINACA,2
24,FRAMBUESA,NA
25,FRESA,NA
26,GUISANTE,4
27,HABA,3
28,HIGO,NA
29,JUDIA,3
30,KIWI,NA
31,LECHUGA,2
32,LIMON,NA
33,LIMA,NA
34,MAIZ,5
35,MANDARINA,NA
36,MANZANA,NA
37,MELOCOTON,NA
38,MELON,3
39,MORA,NA
40,NABO,3
41,NARANJA,NA
42,NECTARINA,NA
43,PAPAYA,NA
44,PATATA,4
45,PEPINO,2
46,PERA,NA
47,PIMIENTO,5
48,PINA,NA
49,PLATANO,NA
50,POMELO,NA
51,PUERRO,5
52,RABANO,1
53,REMOLACHA,3
54,SANDIA,5
55,TOMATE,6
56,UVA,NA
57,ZANAHORIA,4
