fila,subfila,columna,subcolumna,valor
"0541 PATATAS, FRESCAS O REFRIGERADA",Total seleccionado,Total Mundo,Total modo transporte,"133560286,72"
"0541 PATATAS, FRESCAS O REFRIGERADA",Enero de 2014,Total Mundo,Total modo transporte,"16071848,69"
"0541 PATATAS, FRESCAS O REFRIGERADA",Febrero de 2014,Total Mundo,Total modo transporte,"7759573,06"
"0541 PATATAS, FRESCAS O REFRIGERADA",Marzo de 2014,Total Mundo,Total modo transporte,"8340698,67"
"0541 PATATAS, FRESCAS O REFRIGERADA",Abril de 2014,Total Mundo,Total modo transporte,"14268400,84"
"0541 PATATAS, FRESCAS O REFRIGERADA",Mayo de 2014,Total Mundo,Total modo transporte,"40033961,22"
"0541 PATATAS, FRESCAS O REFRIGERADA",Junio de 2014,Total Mundo,Total modo transporte,"47085804,24"
"0541 PATATAS, FRESCAS O REFRIGERADA",Total seleccionado,Total Mundo,1  Marítimo,"8765039,00"
"0541 PATATAS, FRESCAS O REFRIGERADA",Enero de 2014,Total Mundo,1  Marítimo,"102013,00"
"0541 PATATAS, FRESCAS O REFRIGERADA",Febrero de 2014,Total Mundo,1  Marítimo,"33450,00"
"0541 PATATAS, FRESCAS O REFRIGERADA",Marzo de 2014,Total Mundo,1  Marítimo,"129515,00"
"0541 PATATAS, FRESCAS O REFRIGERADA",Abril de 2014,Total Mundo,1  Marítimo,"1128871,00"
"0541 PATATAS, FRESCAS O REFRIGERADA",Mayo de 2014,Total Mundo,1  Marítimo,"4720571,00"
"0541 PATATAS, FRESCAS O REFRIGERADA",Junio de 2014,Total Mundo,1  Marítimo,"2650619,00"
"0541 PATATAS, FRESCAS O REFRIGERADA",Total seleccionado,Total Mundo,2  Ferrocarril,"4800,00"
"0541 PATATAS, FRESCAS O REFRIGERADA",Enero de 2014,Total Mundo,2  Ferrocarril,
"0541 PATATAS, FRESCAS O REFRIGERADA",Febrero de 2014,Total Mundo,2  Ferrocarril,
"0541 PATATAS, FRESCAS O REFRIGERADA",Marzo de 2014,Total Mundo,2  Ferrocarril,
"0541 PATATAS, FRESCAS O REFRIGERADA",Abril de 2014,Total Mundo,2  Ferrocarril,"4800,00"
"0541 PATATAS, FRESCAS O REFRIGERADA",Mayo de 2014,Total Mundo,2  Ferrocarril,
"0541 PATATAS, FRESCAS O REFRIGERADA",Junio de 2014,Total Mundo,2  Ferrocarril,
"0541 PATATAS, FRESCAS O REFRIGERADA",Total seleccionado,Total Mundo,3  Carretera,"124788525,74"
"0541 PATATAS, FRESCAS O REFRIGERADA",Enero de 2014,Total Mundo,3  Carretera,"15969671,89"
"0541 PATATAS, FRESCAS O REFRIGERADA",Febrero de 2014,Total Mundo,3  Carretera,"7725755,11"
"0541 PATATAS, FRESCAS O REFRIGERADA",Marzo de 2014,Total Mundo,3  Carretera,"8210827,69"
"0541 PATATAS, FRESCAS O REFRIGERADA",Abril de 2014,Total Mundo,3  Carretera,"13134352,74"
"0541 PATATAS, FRESCAS O REFRIGERADA",Mayo de 2014,Total Mundo,3  Carretera,"35312997,82"
"0541 PATATAS, FRESCAS O REFRIGERADA",Junio de 2014,Total Mundo,3  Carretera,"44434920,49"
"0541 PATATAS, FRESCAS O REFRIGERADA",Total seleccionado,Total Mundo,4  Aire,"1921,98"
