fila,subfila,columna,subcolumna,valor
"0541 PATATAS, FRESCAS O REFRIGERADA",Total seleccionado,Total Mundo,Total modo transporte,"251309850,33"
"0541 PATATAS, FRESCAS O REFRIGERADA",Diciembre de 2015,Total Mundo,Total modo transporte,"93870218,67"
"0541 PATATAS, FRESCAS O REFRIGERADA",Noviembre de 2015,Total Mundo,Total modo transporte,"77268879,54"
"0541 PATATAS, FRESCAS O REFRIGERADA",Octubre de 2015,Total Mundo,Total modo transporte,"37336662,64"
"0541 PATATAS, FRESCAS O REFRIGERADA",Septiembre de 2015,Total Mundo,Total modo transporte,"20425305,93"
"0541 PATATAS, FRESCAS O REFRIGERADA",Agosto de 2015,Total Mundo,Total modo transporte,"8895407,76"
"0541 PATATAS, FRESCAS O REFRIGERADA",Julio de 2015,Total Mundo,Total modo transporte,"13513375,79"
"0541 PATATAS, FRESCAS O REFRIGERADA",Total seleccionado,Total Mundo,1  Marítimo,"41525755,61"
"0541 PATATAS, FRESCAS O REFRIGERADA",Diciembre de 2015,Total Mundo,1  Marítimo,"10069034,18"
"0541 PATATAS, FRESCAS O REFRIGERADA",Noviembre de 2015,Total Mundo,1  Marítimo,"12935811,00"
"0541 PATATAS, FRESCAS O REFRIGERADA",Octubre de 2015,Total Mundo,1  Marítimo,"11205356,43"
"0541 PATATAS, FRESCAS O REFRIGERADA",Septiembre de 2015,Total Mundo,1  Marítimo,"6455541,00"
"0541 PATATAS, FRESCAS O REFRIGERADA",Agosto de 2015,Total Mundo,1  Marítimo,"604353,00"
"0541 PATATAS, FRESCAS O REFRIGERADA",Julio de 2015,Total Mundo,1  Marítimo,"255660,00"
"0541 PATATAS, FRESCAS O REFRIGERADA",Total seleccionado,Total Mundo,3  Carretera,"209784089,72"
"0541 PATATAS, FRESCAS O REFRIGERADA",Diciembre de 2015,Total Mundo,3  Carretera,"83801184,49"
"0541 PATATAS, FRESCAS O REFRIGERADA",Noviembre de 2015,Total Mundo,3  Carretera,"64333068,54"
"0541 PATATAS, FRESCAS O REFRIGERADA",Octubre de 2015,Total Mundo,3  Carretera,"26131306,21"
"0541 PATATAS, FRESCAS O REFRIGERADA",Septiembre de 2015,Total Mundo,3  Carretera,"13969764,93"
"0541 PATATAS, FRESCAS O REFRIGERADA",Agosto de 2015,Total Mundo,3  Carretera,"8291054,76"
"0541 PATATAS, FRESCAS O REFRIGERADA",Julio de 2015,Total Mundo,3  Carretera,"13257710,79"
"0541 PATATAS, FRESCAS O REFRIGERADA",Total seleccionado,Total Mundo,4  Aire,"5,00"
"0541 PATATAS, FRESCAS O REFRIGERADA",Diciembre de 2015,Total Mundo,4  Aire,
"0541 PATATAS, FRESCAS O REFRIGERADA",Noviembre de 2015,Total Mundo,4  Aire,
"0541 PATATAS, FRESCAS O REFRIGERADA",Octubre de 2015,Total Mundo,4  Aire,
"0541 PATATAS, FRESCAS O REFRIGERADA",Septiembre de 2015,Total Mundo,4  Aire,
"0541 PATATAS, FRESCAS O REFRIGERADA",Agosto de 2015,Total Mundo,4  Aire,
"0541 PATATAS, FRESCAS O REFRIGERADA",Julio de 2015,Total Mundo,4  Aire,"5,00"
"0541 PATATAS, FRESCAS O REFRIGERADA",Total seleccionado,001 Francia,Total modo transporte,"166896114,23"
"0541 PATATAS, FRESCAS O REFRIGERADA",Diciembre de 2015,001 Francia,Total modo transporte,"64467854,55"
"0541 PATATAS, FRESCAS O REFRIGERADA",Noviembre de 2015,001 Francia,Total modo transporte,"54564279,57"
"0541 PATATAS, FRESCAS O REFRIGERADA",Octubre de 2015,001 Francia,Total modo transporte,"22549736,00"
"0541 PATATAS, FRESCAS O REFRIGERADA",Septiembre de 2015,001 Francia,Total modo transporte,"12376266,94"
"0541 PATATAS, FRESCAS O REFRIGERADA",Agosto de 2015,001 Francia,Total modo transporte,"6024376,50"
"0541 PATATAS, FRESCAS O REFRIGERADA",Julio de 2015,001 Francia,Total modo transporte,"6913600,67"
"0541 PATATAS, FRESCAS O REFRIGERADA",Total seleccionado,001 Francia,3  Carretera,"166896114,23"
"0541 PATATAS, FRESCAS O REFRIGERADA",Diciembre de 2015,001 Francia,3  Carretera,"64467854,55"
"0541 PATATAS, FRESCAS O REFRIGERADA",Noviembre de 2015,001 Francia,3  Carretera,"54564279,57"
"0541 PATATAS, FRESCAS O REFRIGERADA",Octubre de 2015,001 Francia,3  Carretera,"22549736,00"
"0541 PATATAS, FRESCAS O REFRIGERADA",Septiembre de 2015,001 Francia,3  Carretera,"12376266,94"
"0541 PATATAS, FRESCAS O REFRIGERADA",Agosto de 2015,001 Francia,3  Carretera,"6024376,50"
"0541 PATATAS, FRESCAS O REFRIGERADA",Julio de 2015,001 Francia,3  Carretera,"6913600,67"
"0541 PATATAS, FRESCAS O REFRIGERADA",Total seleccionado,003 Países Bajos,Total modo transporte,"23514439,15"
"0541 PATATAS, FRESCAS O REFRIGERADA",Diciembre de 2015,003 Países Bajos,Total modo transporte,"13245647,26"
"0541 PATATAS, FRESCAS O REFRIGERADA",Noviembre de 2015,003 Países Bajos,Total modo transporte,"6349465,97"
"0541 PATATAS, FRESCAS O REFRIGERADA",Octubre de 2015,003 Países Bajos,Total modo transporte,"1274249,11"
"0541 PATATAS, FRESCAS O REFRIGERADA",Septiembre de 2015,003 Países Bajos,Total modo transporte,"344394,94"
"0541 PATATAS, FRESCAS O REFRIGERADA",Agosto de 2015,003 Países Bajos,Total modo transporte,"375050,00"
"0541 PATATAS, FRESCAS O REFRIGERADA",Julio de 2015,003 Países Bajos,Total modo transporte,"1925631,87"
"0541 PATATAS, FRESCAS O REFRIGERADA",Total seleccionado,003 Países Bajos,1  Marítimo,"257805,00"
"0541 PATATAS, FRESCAS O REFRIGERADA",Diciembre de 2015,003 Países Bajos,1  Marítimo,"66250,00"
"0541 PATATAS, FRESCAS O REFRIGERADA",Noviembre de 2015,003 Países Bajos,1  Marítimo,"95250,00"
"0541 PATATAS, FRESCAS O REFRIGERADA",Octubre de 2015,003 Países Bajos,1  Marítimo,"96305,00"
"0541 PATATAS, FRESCAS O REFRIGERADA",Septiembre de 2015,003 Países Bajos,1  Marítimo,
"0541 PATATAS, FRESCAS O REFRIGERADA",Agosto de 2015,003 Países Bajos,1  Marítimo,
"0541 PATATAS, FRESCAS O REFRIGERADA",Julio de 2015,003 Países Bajos,1  Marítimo,
"0541 PATATAS, FRESCAS O REFRIGERADA",Total seleccionado,003 Países Bajos,3  Carretera,"23256634,15"
"0541 PATATAS, FRESCAS O REFRIGERADA",Diciembre de 2015,003 Países Bajos,3  Carretera,"13179397,26"
