,Provincia,S-ha_15/12-15/4,P-t_15/12-15/4,S-ha_15/4-15/6,P-t_15/4-15/6,S-ha_15/6-15/9,P-t_15/6-15/9,S-ha_15/9-15/1,P-t_15/9-15/1,ID,INE
0,A CORUÑA,31,520,598,11787,5160,112952,52,1026,15,15
1,LUGO,–,–,147,2608,3506,71978,619,11619,27,27
2,OURENSE,–,–,86,2085,5562,211653,618,11964,32,32
3,PONTEVEDRA,37,648,701,12919,2209,53054,22,369,36,36
10,ALAVA,–,–,–,–,380,16720,853,34459,1,1
11,GUIPÚZCOA,–,–,25,513,140,3314,–,–,20,20
12,VIZCAYA,–,–,80,1680,120,3132,10,243,48,48
19,HUESCA,–,–,55,1271,–,–,–,–,22,22
20,TERUEL,–,–,–,–,5,110,234,4398,44,44
21,ZARAGOZA,–,–,21,451,217,8304,52,1547,50,50
24,BARCELONA,–,–,125,2534,206,3654,52,1069,8,8
25,GIRONA,10,200,13,298,132,4085,95,1955,17,17
26,LLEIDA,–,–,–,–,362,7325,6,120,25,25
27,TARRAGONA,–,–,39,780,180,3600,–,–,43,43
32,AVILA,–,–,8,240,245,10290,1038,54495,5,5
33,BURGOS,–,–,–,–,688,28000,1578,59964,9,9
34,LEÓN,–,–,–,–,49,1568,1478,51730,24,24
35,PALENCIA,–,–,–,–,–,–,962,39507,34,34
36,SALAMANCA,–,–,–,–,2430,102060,1710,82080,37,37
37,SEGOVIA,–,–,–,–,500,22500,1630,65200,40,40
38,SORIA,–,–,–,–,–,–,457,17138,42,42
39,VALLADOLID,–,–,–,–,1498,67410,3595,168965,47,47
40,ZAMORA,–,–,–,–,451,22550,493,24650,49,49
45,ALBACETE,–,–,–,–,885,26108,200,5600,2,2
46,CIUDAD REAL,–,–,12,360,160,4800,301,9030,13,13
47,CUENCA,–,–,–,–,75,1072,90,1203,16,16
48,GUADALAJARA,–,–,–,–,22,500,–,–,19,19
49,TOLEDO,–,–,145,4060,44,1100,134,2881,45,45
52,ALICANTE,–,–,215,5160,249,6972,286,6864,3,3
53,CASTELLÓN,–,–,120,3840,194,4421,107,1433,12,12
54,VALENCIA,21,168,828,26496,101,4848,74,2775,46,46
59,BADAJOZ,–,–,–,–,579,24608,–,–,6,6
60,CÁCERES,–,–,–,–,300,12000,–,–,10,10
63,ALMERÍA,45,945,150,3542,238,6209,77,1713,4,4
64,CÁDIZ,527,8432,450,11250,640,16320,305,7690,11,11
65,CÓRDOBA,–,–,98,3430,382,15280,70,2450,14,14
66,GRANADA,117,5060,60,1176,645,16378,92,2253,18,18
67,HUELVA,30,915,220,9300,150,4500,80,1760,21,21
68,JAÉN,–,–,6,126,77,1807,37,694,23,23
69,MÁLAGA,367,10093,439,11984,291,7828,248,4764,29,29
70,SEVILLA,250,4000,3000,104990,600,17996,100,3000,41,41
73,LAS PALMAS,827,15800,695,17208,228,3628,303,4077,35,35
74,S.C. DE TENERIFE,835,14484,1982,34529,79,1598,562,9642,38,38
