,Provincia,S-ha_15/12-15/4,P-t_15/12-15/4,S-ha_15/4-15/6,P-t_15/4-15/6,S-ha_15/6-15/9,P-t_15/6-15/9,S-ha_15/9-15/1,P-t_15/9-15/1
0,A Coruña,32,587,612,11615,5319,116539,54,1066
1,Lugo,–,–,142,2517,3450,70856,609,11436
2,Ourense,–,–,89,2158,6114,232702,679,14443
3,Pontevedra,40,699,762,14051,2333,56032,24,465
10,Alava,–,–,–,–,385,13955,890,30259
11,Guipúzcoa,–,–,25,565,140,3080,–,–
12,Vizcaya,–,–,80,1710,120,2700,10,280
19,Huesca,–,–,–,–,–,–,–,–
20,Teruel,–,–,–,–,5,40,235,6860
21,Zaragoza,–,–,–,–,89,3454,–,–
24,Barcelona,–,–,119,2383,147,2713,91,1544
25,Girona,13,260,28,570,138,4402,73,1420
26,Lleida,–,–,9,177,254,6292,62,1260
27,Tarragona,–,–,86,1720,157,3140,–,–
32,Avila,–,–,8,244,250,11750,1005,59883
33,Burgos,–,–,–,–,850,32300,1588,55580
34,León,–,–,–,–,60,1920,1700,82450
35,Palencia,–,–,–,–,–,–,944,40831
36,Salamanca,–,–,–,–,1200,52200,3600,156600
37,Segovia,–,–,–,–,500,22500,1786,97330
38,Soria,–,–,–,–,–,–,518,20720
39,Valladolid,–,–,–,–,1725,77625,4054,219561
40,Zamora,–,–,–,–,364,15050,547,26910
45,Albacete,–,–,–,–,1000,30000,270,7830
46,Ciudad Real,–,–,8,240,168,5040,286,8580
47,Cuenca,–,–,–,–,59,859,80,1059
48,Guadalajara,–,–,–,–,11,264,–,–
49,Toledo,–,–,210,5880,108,2700,194,3996
52,Alicante,–,–,191,5157,227,6129,274,6028
53,Castellón,–,–,168,4032,232,4042,144,1632
54,Valencia,21,501,736,26521,100,4200,67,2804
59,Badajoz,–,–,–,–,602,24389,–,–
60,Cáceres,–,–,–,–,380,14524,–,–
63,Almería,53,1113,177,3970,224,5394,81,1538
64,Cádiz,529,12716,465,10712,529,10838,218,4122
65,Córdoba,–,–,140,4900,485,19400,70,2450
66,Granada,114,4497,70,1631,762,18562,130,1988
67,Huelva,25,450,225,7650,136,4012,80,1920
68,Jaén,–,–,17,356,116,2590,80,1682
69,Málaga,316,8216,355,10314,492,14772,366,6344
70,Sevilla,324,7290,3701,134940,498,14478,67,1273
73,Las Palmas,810,15959,734,18875,224,3763,313,4436
74,S.C. de Tenerife,832,14791,1860,33864,154,3113,533,9921
