,producto,fecha,pais,transporte,kg
36,"0541 PATATAS, FRESCAS O REFRIGERADA",2015-12-01 00:00:00, Francia, Carretera,64467854.55
37,"0541 PATATAS, FRESCAS O REFRIGERADA",2015-11-01 00:00:00, Francia, Carretera,54564279.57
38,"0541 PATATAS, FRESCAS O REFRIGERADA",2015-10-01 00:00:00, Francia, Carretera,22549736.0
39,"0541 PATATAS, FRESCAS O REFRIGERADA",2015-09-01 00:00:00, Francia, Carretera,12376266.94
40,"0541 PATATAS, FRESCAS O REFRIGERADA",2015-08-01 00:00:00, Francia, Carretera,6024376.5
41,"0541 PATATAS, FRESCAS O REFRIGERADA",2015-07-01 00:00:00, Francia, Carretera,6913600.67
50,"0541 PATATAS, FRESCAS O REFRIGERADA",2015-12-01 00:00:00, Países Bajos, Marítimo,66250.0
51,"0541 PATATAS, FRESCAS O REFRIGERADA",2015-11-01 00:00:00, Países Bajos, Marítimo,95250.0
52,"0541 PATATAS, FRESCAS O REFRIGERADA",2015-10-01 00:00:00, Países Bajos, Marítimo,96305.0
53,"0541 PATATAS, FRESCAS O REFRIGERADA",2015-09-01 00:00:00, Países Bajos, Marítimo,0.0
54,"0541 PATATAS, FRESCAS O REFRIGERADA",2015-08-01 00:00:00, Países Bajos, Marítimo,0.0
55,"0541 PATATAS, FRESCAS O REFRIGERADA",2015-07-01 00:00:00, Países Bajos, Marítimo,0.0
57,"0541 PATATAS, FRESCAS O REFRIGERADA",2015-12-01 00:00:00, Países Bajos, Carretera,13179397.26
58,"0541 PATATAS, FRESCAS O REFRIGERADA",2015-11-01 00:00:00, Países Bajos, Carretera,6254215.97
59,"0541 PATATAS, FRESCAS O REFRIGERADA",2015-10-01 00:00:00, Países Bajos, Carretera,1177944.11
60,"0541 PATATAS, FRESCAS O REFRIGERADA",2015-09-01 00:00:00, Países Bajos, Carretera,344394.94
61,"0541 PATATAS, FRESCAS O REFRIGERADA",2015-08-01 00:00:00, Países Bajos, Carretera,375050.0
