,index,Artículo,Unidades,Precio máximo semana actual,Precio frecuente semana actual,Precio mínimo semana actual,Precio frecuente semana anterior,Var. % semana anterior,Precio medio acumulado mes actual,Precio medio acumulado mes anterior,Var. %,Fecha
0,0,Aguacates,kg,6.87,5.18,3.81,5.12,1.12,5.18,4.99,3.91,2017-09-10
1,1,Albaricoques,kg,3.28,2.59,1.99,,,2.59,,,2017-09-10
2,2,Bananas,kg,1.54,1.28,1.02,1.28,0.72,1.28,1.27,1.09,2017-09-10
3,3,Cerezas comunes,kg,7.28,4.99,3.36,4.7,5.68,4.99,4.41,13.07,2017-09-10
4,4,Cerezas picotas,kg,4.68,4.16,3.73,4.3,-3.29,4.16,4.3,-3.15,2017-09-10
5,5,Chirimoyas,kg,5.0,4.24,3.62,4.31,-1.76,4.24,4.28,-1.0,2017-09-10
6,6,Ciruelas claudias,kg,4.22,2.94,1.74,3.01,-2.13,2.94,3.11,-5.45,2017-09-10
7,7,Ciruelas comunes,kg,3.47,1.95,1.15,1.97,-1.16,1.95,2.04,-4.24,2017-09-10
8,8,Fresón,kg,7.18,5.26,3.81,5.08,3.49,5.26,5.19,1.4,2017-09-10
9,9,Higos,kg,5.38,4.32,3.39,4.36,-0.99,4.32,4.59,-5.81,2017-09-10
10,10,Kiwis,kg,5.68,3.77,2.13,3.74,0.88,3.77,3.64,3.64,2017-09-10
11,11,Limones,kg,3.07,2.34,1.57,2.33,0.09,2.34,2.26,3.25,2017-09-10
12,12,Mandarinas Clementinas,kg,3.26,2.67,2.12,2.48,6.9,2.67,2.43,9.69,2017-09-10
13,13,Mandarinas comunes,kg,3.52,2.83,2.34,,,2.83,3.0,-5.67,2017-09-10
14,14,Manzanas comunes,kg,2.95,1.92,1.22,1.88,1.77,1.92,1.9,1.02,2017-09-10
15,15,Manzanas Golden,kg,2.86,1.79,0.9,1.78,0.46,1.79,1.78,0.17,2017-09-10
16,16,Manzanas roja,kg,2.97,2.01,1.15,2.03,-0.75,2.01,2.07,-2.8,2017-09-10
17,17,Melocotones comunes,kg,2.38,1.61,1.09,1.61,-0.47,1.61,1.76,-8.56,2017-09-10
18,18,Melocotones de carne blanda,kg,2.76,1.72,1.09,1.75,-1.51,1.72,1.8,-4.61,2017-09-10
19,19,Melocotones de carne dura,kg,4.2,2.3,1.33,2.31,-0.37,2.3,2.32,-1.05,2017-09-10
20,20,Melones comunes,kg,2.42,1.3,0.49,1.26,3.2,1.3,1.27,2.68,2017-09-10
21,21,Naranjas tipo Navel,kg,2.92,1.81,0.95,1.76,3.05,1.81,1.68,7.84,2017-09-10
22,22,Nectarinas,kg,2.58,1.65,1.05,1.7,-3.21,1.65,1.73,-4.98,2017-09-10
23,23,Paraguayas,kg,2.63,1.66,1.03,1.71,-2.57,1.66,1.79,-7.21,2017-09-10
24,24,Peras agua o blanquilla,kg,2.76,2.1,1.55,2.05,2.21,2.1,2.01,4.3,2017-09-10
