Aguacates	kg	6,78	5,12	3,95	5,18	-1,20	5,15	4,99	3,29
Albaricoques	kg	3,24	2,71	2,24	2,59	4,30	2,65		
Bananas	kg	1,51	1,21	0,93	1,28	-5,75	1,25	1,27	-1,66
Cerezas comunes	kg	6,71	4,95	3,82	4,99	-0,81	4,97	4,41	12,62
Chirimoyas	kg	4,79	3,77	3,00	4,24	-12,28	4,01	4,28	-6,41
Ciruelas claudias	kg	4,01	2,81	1,70	2,94	-4,70	2,88	3,11	-7,57
Ciruelas comunes	kg	3,42	1,95	1,12	1,95	-0,06	1,95	2,04	-4,27
Fresón	kg	7,24	5,35	4,04	5,26	1,75	5,31	5,19	2,31
Higos	kg	5,49	4,40	3,51	4,32	1,91	4,36	4,59	-4,89
Kiwis	kg	5,73	3,79	2,17	3,77	0,53	3,78	3,64	3,91
Limones	kg	3,06	2,31	1,58	2,34	-0,97	2,32	2,26	2,75
Mandarinas Clementinas	kg	3,43	2,70	2,12	2,67	1,25	2,68	2,43	10,39
Mandarinas comunes	kg	3,51	2,70	2,07	2,83	-4,72	2,77	3,00	-7,80
Manzanas comunes	kg	2,99	1,92	1,20	1,92	0,00	1,92	1,90	1,02
Manzanas Golden	kg	2,87	1,79	0,91	1,79	0,35	1,79	1,78	0,34
Manzanas roja	kg	2,99	2,02	1,16	2,01	0,32	2,01	2,07	-2,65
Melocotones comunes	kg	2,39	1,61	1,10	1,61	0,12	1,61	1,76	-8,50
Melocotones de carne blanda	kg	2,82	1,76	1,05	1,72	2,06	1,74	1,80	-3,61
Melocotones de carne dura	kg	4,19	2,35	1,35	2,30	2,45	2,33	2,32	0,19
Melones comunes	kg	2,47	1,32	0,52	1,30	1,69	1,31	1,27	3,56
Naranjas tipo Navel	kg	2,87	1,84	0,96	1,81	1,26	1,83	1,68	8,53
Nectarinas	kg	2,57	1,65	1,07	1,65	0,46	1,65	1,73	-4,76
Paraguayas	kg	2,62	1,66	1,05	1,66	-0,29	1,66	1,79	-7,34
Peras agua o blanquilla	kg	2,82	2,03	1,39	2,10	-3,18	2,07	2,01	2,69
Peras comunes	kg	2,50	1,71	1,13	1,73	-1,37	1,72	1,86	-7,69
Peras conferencia	kg	2,90	2,01	1,18	2,03	-0,62	2,02	2,03	-0,75
Peras Ercolina	kg	3,58	2,30	1,56	2,30	0,21	2,30	2,42	-5,19
Peras Limonera	kg	3,06	1,83	1,33	1,87	-2,61	1,85	1,91	-3,40
Piñas	kg	3,42	1,97	1,26	1,93	1,72	1,95	1,91	1,97
Platanos de Canarias	kg	2,81	2,01	1,20	1,99	0,80	2,00	2,02	-0,82
Pomelos	kg	2,85	2,17	1,65	2,16	0,08	2,16	2,17	-0,07
Sandías	kg	1,52	0,78	0,38	0,79	-0,33	0,79	0,78	0,42
Uvas comunes	kg	4,14	2,66	1,43	2,74	-3,23	2,70	3,21	-15,92
Uvas Moscatel	kg	3,95	3,22	2,43	3,53	-9,51	3,37	3,46	-2,50
