Acelgas	kg	3,17	2,08	1,10	2,10	-1,15	2,09	2,12	-1,22
Ajos	kg	8,00	5,59	3,44	5,63	-0,87	5,61	5,63	-0,38
Alcachofas	kg	6,97	2,85	1,78	3,02	-5,86	2,94	3,55	-17,18
Berenjenas	kg	3,76	2,09	1,20	2,35	-12,18	2,22	3,20	-30,56
Calabacines	kg	3,34	1,97	1,27	2,11	-6,87	2,04	3,08	-33,63
Cebollas	kg	1,83	1,08	0,55	1,10	-2,48	1,09	1,10	-0,99
Champiñones	kg	5,11	3,62	2,29	3,62	-0,08	3,62	3,63	-0,43
Coles de Bruselas	kg	5,15	3,83	2,98	3,44	10,23	3,64	3,42	6,28
Coliflor	kg	2,59	1,65	0,97	1,66	-1,06	1,65	1,84	-10,16
Endibias	bandeja 4	2,20	1,59	1,03	1,60	-0,30	1,60	1,60	-0,19
Escarola	unidad	2,15	1,71	1,31	1,70	0,52	1,70	1,69	0,83
Espárragos blancos	manojo	6,92	6,08	5,29	6,00	1,35	6,04	6,19	-2,44
Espárragos verdes	manojo	4,51	3,13	2,17	3,24	-3,65	3,19	3,39	-5,96
Espinacas	kg	4,37	2,90	1,76	2,92	-0,68	2,91	2,93	-0,74
Guisantes verdes	kg	8,05	6,07	4,74	5,96	1,88	6,02	6,24	-3,65
Judías verdes	kg	7,83	4,38	2,58	4,33	1,20	4,35	4,45	-2,06
Lechugas	unidad	1,49	1,01	0,63	1,04	-2,36	1,02	1,05	-2,38
Lombardas	Kg.	1,74	1,36	0,99	1,36	-0,18	1,36	1,36	-0,04
Pepinos	kg	2,92	2,09	1,37	2,01	3,69	2,05	2,00	2,38
Pimientos rojos	kg	3,92	2,78	1,98	2,82	-1,35	2,80	2,79	0,36
Pimientos verdes	kg	3,72	2,45	1,70	2,46	-0,11	2,45	2,44	0,54
Puerros	manojo	3,09	1,80	0,93	1,82	-0,63	1,81	1,85	-2,27
Repollo	kg	1,78	1,26	0,83	1,25	0,02	1,26	1,28	-1,98
Tomate para ensalada	kg	4,34	2,19	1,29	2,20	-0,71	2,19	2,33	-6,03
Tomates para freir	kg	2,18	1,49	0,96	1,49	-0,07	1,49	1,53	-2,28
Zanahorias	kg	1,69	1,00	0,50	1,01	-1,20	1,01	1,02	-1,53
