,Provincia,P-t,INE
62,Cádiz,7590,11
13,Navarra,4738,31
50,Alacant/Alicante,4290,3
52,Valencia/València,3690,46
41,Madrid,3650,28
55,Murcia,3238,30
15,La Rioja,2534,26
0,Ourense,2160,32
22,Barcelona,2136,8
51,Castellón/Castelló,2063,12
10,Bizkaia,1885,48
19,Zaragoza,1875,50
67,Málaga,1804,29
1,Pontevedra,1500,36
25,Tarragona,1480,43
37,Valladolid,1288,47
63,Córdoba,1200,14
64,Granada,917,18
9,Gipuzkoa,691,20
24,Lleida,537,25
61,Almería,532,4
23,Girona,395,17
66,Jaén,390,23
28,Illes Balears,355,7
8,Araba/Álava,310,1
35,Segovia,270,40
34,Salamanca,176,37
43,Albacete,170,2
58,Cáceres,95,10
4,Asturias,60,33
57,Badajoz,54,6
47,Toledo,51,45
44,Ciudad Real,45,13
65,Huelva,45,21
68,Sevilla,27,41
6,Cantabria,26,39
18,Teruel,25,44
17,Huesca,25,22
46,Guadalajara,0,19
45,Cuenca,0,16
38,Zamora,0,49
33,Palencia,0,34
32,León,0,24
31,Burgos,0,9
30,Ávila,0,5
36,Soria,0,42
