,Provincia,P-t,INE
43,Albacete,54274,2
45,Cuenca,25598,16
44,Ciudad Real,19649,13
63,Córdoba,19431,14
37,Valladolid,9449,47
64,Granada,9036,18
68,Sevilla,7800,41
41,Madrid,6630,28
67,Málaga,6180,29
66,Jaén,4180,23
57,Badajoz,3742,6
35,Segovia,3000,40
47,Toledo,1678,45
38,Zamora,1557,49
62,Cádiz,750,11
46,Guadalajara,484,19
23,Girona,475,17
22,Barcelona,461,8
55,Murcia,450,30
33,Palencia,400,34
32,León,300,24
61,Almería,263,4
28,Illes Balears,226,7
31,Burgos,212,9
10,Bizkaia,174,48
19,Zaragoza,129,50
25,Tarragona,124,43
50,Alacant/Alicante,112,3
4,Asturias,96,33
17,Huesca,95,22
9,Gipuzkoa,83,20
0,Ourense,80,32
30,Ávila,78,5
65,Huelva,76,21
8,Araba/Álava,76,1
34,Salamanca,60,37
24,Lleida,57,25
13,Navarra,52,31
15,La Rioja,45,26
6,Cantabria,41,39
1,Pontevedra,38,36
36,Soria,14,42
51,Castellón/Castelló,0,12
52,Valencia/València,0,46
58,Cáceres,0,10
18,Teruel,0,44
