fila,subfila,columna,subcolumna,valor
"080910 Albaricoques, frescos",,Total Mundo,IMPORT,"1705,45"
"080910 Albaricoques, frescos",,001 Francia,IMPORT,"952,75"
"080910 Albaricoques, frescos",,002 Bélgica y Luxemburgo (h.31/12/98),IMPORT,
"080910 Albaricoques, frescos",,003 Países Bajos,IMPORT,"11,27"
"080910 Albaricoques, frescos",,004 Alemania,IMPORT,"201,16"
"080910 Albaricoques, frescos",,005 Italia,IMPORT,"127,83"
"080910 Albaricoques, frescos",,006 Reino Unido,IMPORT,"96,75"
"080910 Albaricoques, frescos",,007 Irlanda,IMPORT,
"080910 Albaricoques, frescos",,008 Dinamarca,IMPORT,
"080910 Albaricoques, frescos",,009 Grecia,IMPORT,"1,80"
"080910 Albaricoques, frescos",,010 Portugal (d.01/01/86),IMPORT,"93,66"
"080910 Albaricoques, frescos",,011 España (excp.Ceuta y Melilla)(d.01/01/86),IMPORT,
"080910 Albaricoques, frescos",,017 Bélgica (d.01/01/99),IMPORT,
"080910 Albaricoques, frescos",,018 Luxemburgo (d.01/01/99),IMPORT,
"080910 Albaricoques, frescos",,021 Ceuta (d.01/01/99); Islas Canarias (h.31/12/96),IMPORT,
"080910 Albaricoques, frescos",,022 Ceuta y Melilla (h. 1998),IMPORT,
"080910 Albaricoques, frescos",,023 Melilla (d.01/01/99),IMPORT,
"080910 Albaricoques, frescos",,024 Islandia,IMPORT,
"080910 Albaricoques, frescos",,025 Islas Feroe (h.31/12/92),IMPORT,
"080910 Albaricoques, frescos",,027 Svalbard (archipiélago) (h.31/12/00),IMPORT,
"080910 Albaricoques, frescos",,028 Noruega,IMPORT,
"080910 Albaricoques, frescos",,030 Suecia,IMPORT,
"080910 Albaricoques, frescos",,032 Finlandia,IMPORT,
"080910 Albaricoques, frescos",,036 Suiza (h.31/12/94),IMPORT,
"080910 Albaricoques, frescos",,037 Liechtenstein,IMPORT,
"080910 Albaricoques, frescos",,038 Austria,IMPORT,
"080910 Albaricoques, frescos",,039 Suiza (d.01/01/95),IMPORT,
"080910 Albaricoques, frescos",,040 Portugal (h. 1985),IMPORT,
"080910 Albaricoques, frescos",,041 Islas Feroe (d.01/01/93),IMPORT,
"080910 Albaricoques, frescos",,043 Andorra,IMPORT,
"080910 Albaricoques, frescos",,044 Gibraltar,IMPORT,
"080910 Albaricoques, frescos",,045 Ciudad del Vaticano,IMPORT,
"080910 Albaricoques, frescos",,046 Malta,IMPORT,
"080910 Albaricoques, frescos",,047 San Marino,IMPORT,
"080910 Albaricoques, frescos",,048 Yugoslavia (h.31/12/91),IMPORT,
"080910 Albaricoques, frescos",,052 Turquía,IMPORT,
"080910 Albaricoques, frescos",,053 Estonia (d.01/01/92),IMPORT,
"080910 Albaricoques, frescos",,054 Letonia (d.01/01/92),IMPORT,
"080910 Albaricoques, frescos",,055 Lituania (d.01/01/92),IMPORT,
"080910 Albaricoques, frescos",,056 Unión Soviética (h.31/05/92),IMPORT,
"080910 Albaricoques, frescos",,058 R.D. Alemania (h.31/12/90),IMPORT,
"080910 Albaricoques, frescos",,060 Polonia,IMPORT,
"080910 Albaricoques, frescos",,061 República Checa (d.01/01/93),IMPORT,
"080910 Albaricoques, frescos",,062 Checoslovaquia (h.31/12/92),IMPORT,
"080910 Albaricoques, frescos",,063 Eslovaquia (d.01/01/93),IMPORT,
"080910 Albaricoques, frescos",,064 Hungría,IMPORT,
"080910 Albaricoques, frescos",,066 Rumanía,IMPORT,
"080910 Albaricoques, frescos",,068 Bulgaria,IMPORT,
"080910 Albaricoques, frescos",,070 Albania,IMPORT,
"080910 Albaricoques, frescos",,072 Ucrania (d.01/01/92),IMPORT,
"080910 Albaricoques, frescos",,073 Bielorrusia (d.01/01/92),IMPORT,
"080910 Albaricoques, frescos",,074 Moldavia (d.01/01/92),IMPORT,
"080910 Albaricoques, frescos",,075 Rusia (d.01/01/92),IMPORT,
"080910 Albaricoques, frescos",,076 Georgia (d.01/01/92),IMPORT,
"080910 Albaricoques, frescos",,077 Armenia (d.01/01/92),IMPORT,
"080910 Albaricoques, frescos",,078 Azerbaiján (d.01/01/92),IMPORT,
"080910 Albaricoques, frescos",,079 Kazajstán (d.01/01/92),IMPORT,
"080910 Albaricoques, frescos",,080 Turkmenistán (d.01/01/92),IMPORT,
"080910 Albaricoques, frescos",,081 Uzbekistán (d.01/01/92),IMPORT,
"080910 Albaricoques, frescos",,082 Tajikistán (d.01/01/92),IMPORT,
"080910 Albaricoques, frescos",,083 Kirguizistán (d.01/01/92),IMPORT,
"080910 Albaricoques, frescos",,090 Yugoslavia (h.31/12/92),IMPORT,
"080910 Albaricoques, frescos",,091 Eslovenia (d.01/01/92),IMPORT,"11,68"
"080910 Albaricoques, frescos",,092 Croacia (d.01/01/92),IMPORT,
"080910 Albaricoques, frescos",,093 Bosnia-Herzegovina (d.01/01/92),IMPORT,
"080910 Albaricoques, frescos",,094 Serbia y Montenegro(h.31/05/05);Yug.(h.31/12/98),IMPORT,
"080910 Albaricoques, frescos",,095 Kosovo (d.01/06/05),IMPORT,
"080910 Albaricoques, frescos",,096 Macedonia (d.01/01/00); R.Yug.Macedonia (h.31/12/99),IMPORT,
"080910 Albaricoques, frescos",,097 Montenegro (d.01/06/05),IMPORT,
"080910 Albaricoques, frescos",,098 Serbia (d.01/06/05),IMPORT,
"080910 Albaricoques, frescos",,099 Kosovo (sólo Noviembre-2000),IMPORT,
"080910 Albaricoques, frescos",,204 Marruecos,IMPORT,"187,06"
"080910 Albaricoques, frescos",,208 Argelia,IMPORT,
"080910 Albaricoques, frescos",,212 Túnez,IMPORT,
"080910 Albaricoques, frescos",,216 Libia,IMPORT,
"080910 Albaricoques, frescos",,220 Egipto,IMPORT,
"080910 Albaricoques, frescos",,224 Sudán,IMPORT,
"080910 Albaricoques, frescos",,225 Sudán del Sur,IMPORT,
"080910 Albaricoques, frescos",,228 Mauritania,IMPORT,
"080910 Albaricoques, frescos",,229 Sáhara Occidental,IMPORT,
"080910 Albaricoques, frescos",,232 Mali,IMPORT,
"080910 Albaricoques, frescos",,236 Burkina Faso (ant. Alto Volta),IMPORT,
"080910 Albaricoques, frescos",,240 Níger,IMPORT,
"080910 Albaricoques, frescos",,244 Chad,IMPORT,
"080910 Albaricoques, frescos",,247 Cabo Verde,IMPORT,
"080910 Albaricoques, frescos",,248 Senegal,IMPORT,
"080910 Albaricoques, frescos",,252 Gambia,IMPORT,
"080910 Albaricoques, frescos",,257 Guinea Bissau,IMPORT,
"080910 Albaricoques, frescos",,260 Guinea,IMPORT,
"080910 Albaricoques, frescos",,264 Sierra Leona,IMPORT,
"080910 Albaricoques, frescos",,268 Liberia,IMPORT,
"080910 Albaricoques, frescos",,272 Costa de Marfil,IMPORT,
"080910 Albaricoques, frescos",,276 Ghana,IMPORT,
"080910 Albaricoques, frescos",,280 Togo,IMPORT,
"080910 Albaricoques, frescos",,284 Benin,IMPORT,
"080910 Albaricoques, frescos",,288 Nigeria,IMPORT,
"080910 Albaricoques, frescos",,302 Camerún,IMPORT,
"080910 Albaricoques, frescos",,306 República Centroafricana,IMPORT,
"080910 Albaricoques, frescos",,310 Guinea Ecuatorial,IMPORT,
"080910 Albaricoques, frescos",,311 Santo Tomé y Príncipe,IMPORT,
"080910 Albaricoques, frescos",,314 Gabón,IMPORT,
"080910 Albaricoques, frescos",,318 Congo,IMPORT,
"080910 Albaricoques, frescos",,322 Rep.Democrática Congo; (Zaire h.31/12/97),IMPORT,
"080910 Albaricoques, frescos",,324 Ruanda,IMPORT,
"080910 Albaricoques, frescos",,328 Burundi,IMPORT,
"080910 Albaricoques, frescos",,329 Santa Elena,IMPORT,
"080910 Albaricoques, frescos",,330 Angola,IMPORT,
"080910 Albaricoques, frescos",,334 Etiopía,IMPORT,
"080910 Albaricoques, frescos",,336 Eritrea,IMPORT,
"080910 Albaricoques, frescos",,338 Djibouti,IMPORT,
"080910 Albaricoques, frescos",,342 Somalia,IMPORT,
"080910 Albaricoques, frescos",,346 Kenia,IMPORT,
"080910 Albaricoques, frescos",,350 Uganda,IMPORT,
"080910 Albaricoques, frescos",,352 Tanzania,IMPORT,
"080910 Albaricoques, frescos",,355 Seychelles,IMPORT,
"080910 Albaricoques, frescos",,357 Territorio Británico Indico,IMPORT,
"080910 Albaricoques, frescos",,366 Mozambique,IMPORT,
"080910 Albaricoques, frescos",,370 Madagascar,IMPORT,
"080910 Albaricoques, frescos",,372 Reunión (h.31/12/96),IMPORT,
"080910 Albaricoques, frescos",,373 Mauricio,IMPORT,
"080910 Albaricoques, frescos",,375 Comoras,IMPORT,
"080910 Albaricoques, frescos",,377 Mayotte (h.31/12/94),IMPORT,
"080910 Albaricoques, frescos",,378 Zambia,IMPORT,
"080910 Albaricoques, frescos",,382 Zimbabwe,IMPORT,
"080910 Albaricoques, frescos",,386 Malawi,IMPORT,
"080910 Albaricoques, frescos",,388 Sudáfrica (d.01/01/90),IMPORT,"13,94"
"080910 Albaricoques, frescos",,389 Namibia (d.01/01/90),IMPORT,
"080910 Albaricoques, frescos",,390 Sudáfrica (incl.Namibia)(h.31/12/89),IMPORT,
"080910 Albaricoques, frescos",,391 Botswana,IMPORT,
"080910 Albaricoques, frescos",,393 Swazilandia,IMPORT,
"080910 Albaricoques, frescos",,395 Lesotho,IMPORT,
"080910 Albaricoques, frescos",,400 Estados Unidos,IMPORT,
"080910 Albaricoques, frescos",,404 Canadá,IMPORT,
"080910 Albaricoques, frescos",,406 Groenlandia,IMPORT,
"080910 Albaricoques, frescos",,408 San Pedro y Miquelón,IMPORT,
"080910 Albaricoques, frescos",,412 México,IMPORT,
"080910 Albaricoques, frescos",,413 Bermudas,IMPORT,
"080910 Albaricoques, frescos",,416 Guatemala,IMPORT,
"080910 Albaricoques, frescos",,421 Belice,IMPORT,
"080910 Albaricoques, frescos",,424 Honduras,IMPORT,
"080910 Albaricoques, frescos",,428 El Salvador,IMPORT,
"080910 Albaricoques, frescos",,432 Nicaragua,IMPORT,
"080910 Albaricoques, frescos",,436 Costa Rica,IMPORT,
"080910 Albaricoques, frescos",,440 Panamá (h.31/12/80),IMPORT,
"080910 Albaricoques, frescos",,442 Panamá (d.01/01/81),IMPORT,
"080910 Albaricoques, frescos",,444 Canal de Panamá (h.31/12/80),IMPORT,
"080910 Albaricoques, frescos",,446 Anguilla,IMPORT,
"080910 Albaricoques, frescos",,448 Cuba,IMPORT,
"080910 Albaricoques, frescos",,449 San Cristóbal y Nieves,IMPORT,
"080910 Albaricoques, frescos",,450 Indias Occidentales (h.31/12/85),IMPORT,
