,Provincia,P-t,INE
57,Murcia,93410,30
54,Valencia,10100,46
21,Zaragoza,8788,50
45,Albacete,8525,2
19,Huesca,7570,22
26,Lleida,7168,25
52,Alicante,3203,3
70,Sevilla,2900,41
59,Badajoz,2357,6
20,Teruel,1530,44
53,Castellón,1043,12
60,Cáceres,810,10
27,Tarragona,659,43
0,A Coruña,462,15
66,Granada,402,18
25,Girona,347,17
24,Barcelona,330,8
69,Málaga,329,29
65,Córdoba,310,14
30,Islas Baleares,294,7
68,Jaén,278,23
3,Pontevedra,256,36
63,Almería,198,4
67,Huelva,180,21
15,Navarra,145,31
17,La Rioja,121,26
49,Toledo,95,45
1,Lugo,79,27
2,Ourense,77,32
47,Cuenca,27,16
32,Ávila,24,5
46,Ciudad Real,20,13
11,Gipuzkoa,14,20
39,Valladolid,9,47
43,Madrid,8,28
36,Salamanca,8,37
64,Cádiz,4,11
40,Zamora,2,49
12,Vizcaya,2,48
10,Álava,1,1
8,Cantabria,0,39
6,Asturias,0,33
38,Soria,0,42
35,Palencia,0,34
34,León,0,24
33,Burgos,0,9
48,Guadalajara,0,19
37,Segovia,0,40
