,Provincia,P-t,INE
0,Ourense,0,32
1,Pontevedra,0,36
4,Asturias,10,33
6,Cantabria,30,39
8,Araba/Álava,11,1
9,Gipuzkoa,0,20
10,Bizkaia,0,48
13,Navarra,14898,31
15,La Rioja,2313,26
17,Huesca,54,22
18,Teruel,0,44
19,Zaragoza,675,50
22,Barcelona,2768,8
23,Girona,163,17
24,Lleida,128,25
25,Tarragona,7320,43
28,Illes Balears,995,7
30,Ávila,0,5
31,Burgos,15,9
32,León,0,24
33,Palencia,0,34
34,Salamanca,0,37
35,Segovia,50,40
36,Soria,0,42
37,Valladolid,0,47
38,Zamora,0,49
41,Madrid,336,28
43,Albacete,2592,2
44,Ciudad Real,140,13
45,Cuenca,0,16
46,Guadalajara,51,19
47,Toledo,252,45
50,Alacant/Alicante,27426,3
51,Castellón/Castelló,14803,12
52,Valencia/València,14799,46
55,Murcia,90029,30
57,Badajoz,0,6
58,Cáceres,0,10
61,Almería,2963,4
62,Cádiz,3087,11
63,Córdoba,1161,14
64,Granada,9173,18
65,Huelva,188,21
66,Jaén,616,23
67,Málaga,4467,29
68,Sevilla,2550,41
