,Provincia,P-t,INE
0,Ourense,0,32
1,Pontevedra,0,36
4,Asturias,10,33
6,Cantabria,7,39
8,Araba/Álava,0,1
9,Gipuzkoa,0,20
10,Bizkaia,0,48
13,Navarra,5449,31
15,La Rioja,294,26
17,Huesca,0,22
18,Teruel,0,44
19,Zaragoza,819,50
22,Barcelona,1358,8
23,Girona,338,17
24,Lleida,779,25
25,Tarragona,1632,43
28,Illes Balears,538,7
30,Ávila,0,5
31,Burgos,0,9
32,León,0,24
33,Palencia,0,34
34,Salamanca,0,37
35,Segovia,150,40
36,Soria,0,42
37,Valladolid,0,47
38,Zamora,0,49
41,Madrid,30,28
43,Albacete,405,2
44,Ciudad Real,1600,13
45,Cuenca,0,16
46,Guadalajara,0,19
47,Toledo,234,45
50,Alacant/Alicante,4010,3
51,Castellón/Castelló,2002,12
52,Valencia/València,4835,46
55,Murcia,1866,30
57,Badajoz,5250,6
58,Cáceres,60,10
61,Almería,188300,4
62,Cádiz,4300,11
63,Córdoba,1815,14
64,Granada,4041,18
65,Huelva,270,21
66,Jaén,1402,23
67,Málaga,7923,29
68,Sevilla,975,41
71,Las Palmas,2003,35
72,S.C de Tenerife,1776,38
