,Provincia,P-t,INE
0,Ourense,1100,32
1,Pontevedra,1419,36
4,Asturias,425,33
6,Cantabria,0,39
8,Araba/Álava,101,1
9,Gipuzkoa,102,20
10,Bizkaia,786,48
13,Navarra,9301,31
15,La Rioja,980,26
17,Huesca,0,22
18,Teruel,0,44
19,Zaragoza,0,50
22,Barcelona,3984,8
23,Girona,700,17
24,Lleida,295,25
25,Tarragona,5512,43
28,Illes Balears,2669,7
30,Ávila,21,5
31,Burgos,0,9
32,León,150,24
33,Palencia,0,34
34,Salamanca,0,37
35,Segovia,600,40
36,Soria,495,42
37,Valladolid,276,47
38,Zamora,0,49
41,Madrid,360,28
43,Albacete,0,2
44,Ciudad Real,975,13
45,Cuenca,0,16
46,Guadalajara,40,19
47,Toledo,1125,45
50,Alacant/Alicante,6085,3
51,Castellón/Castelló,2230,12
52,Valencia/València,5900,46
55,Murcia,6922,30
57,Badajoz,3960,6
58,Cáceres,381,10
61,Almería,416388,4
62,Cádiz,8775,11
63,Córdoba,4272,14
64,Granada,17244,18
65,Huelva,540,21
66,Jaén,768,23
67,Málaga,10000,29
68,Sevilla,1850,41
71,Las Palmas,10523,35
72,S.C de Tenerife,11184,38
