,Provincia,P-t,INE
47,Cuenca,110500,16
17,La Rioja,67452,26
45,Albacete,18850,2
15,Navarra,2745,31
30,Islas Baleares,1426,7
66,Granada,500,18
54,Valencia,225,46
0,A Coruña,0,15
43,Madrid,0,28
46,Ciudad Real,0,13
48,Guadalajara,0,19
49,Toledo,0,45
52,Alicante,0,3
53,Castellón,0,12
59,Badajoz,0,6
57,Murcia,0,30
39,Valladolid,0,47
60,Cáceres,0,10
63,Almería,0,4
64,Cádiz,0,11
65,Córdoba,0,14
67,Huelva,0,21
68,Jaén,0,23
69,Málaga,0,29
40,Zamora,0,49
37,Segovia,0,40
38,Soria,0,42
1,Lugo,0,27
2,Ourense,0,32
3,Pontevedra,0,36
6,Asturias,0,33
8,Cantabria,0,39
10,Álava,0,1
11,Gipuzkoa,0,20
12,Vizcaya,0,48
19,Huesca,0,22
20,Teruel,0,44
21,Zaragoza,0,50
24,Barcelona,0,8
25,Girona,0,17
26,Lleida,0,25
27,Tarragona,0,43
32,Ávila,0,5
33,Burgos,0,9
34,León,0,24
35,Palencia,0,34
36,Salamanca,0,37
70,Sevilla,0,41
