,Provincia,P-t,INE
54,Valencia,21000,46
0,A Coruña,20542,15
2,Ourense,19781,32
21,Zaragoza,13000,50
1,Lugo,11157,27
3,Pontevedra,8734,36
52,Alicante,8505,3
66,Granada,7183,18
27,Tarragona,6100,43
64,Cádiz,5980,11
69,Málaga,5720,29
57,Murcia,5328,30
53,Castellón,4135,12
24,Barcelona,3819,8
63,Almería,3647,4
17,La Rioja,3600,26
15,Navarra,3500,31
43,Madrid,2688,28
34,León,2280,24
30,Islas Baleares,2050,7
65,Córdoba,1972,14
33,Burgos,1500,9
36,Salamanca,1456,37
49,Toledo,1375,45
37,Segovia,1280,40
12,Vizcaya,1239,48
70,Sevilla,1050,41
10,Álava,851,1
25,Girona,849,17
26,Lleida,736,25
20,Teruel,429,44
11,Gipuzkoa,404,20
39,Valladolid,400,47
68,Jaén,382,23
45,Albacete,375,2
60,Cáceres,280,10
35,Palencia,240,34
8,Cantabria,184,39
46,Ciudad Real,170,13
59,Badajoz,124,6
40,Zamora,105,49
6,Asturias,100,33
32,Ávila,72,5
38,Soria,20,42
19,Huesca,14,22
67,Huelva,0,21
48,Guadalajara,0,19
47,Cuenca,0,16
