,Provincia,P-t,INE
15,Navarra,21807,31
57,Murcia,20877,30
66,Granada,15948,18
21,Zaragoza,12300,50
17,La Rioja,9518,26
54,Valencia/València,8150,46
53,Castellón/Castelló,8109,12
64,Cádiz,7514,11
52,Alacant/Alicante,7350,3
70,Sevilla,7196,41
27,Tarragona,5220,43
49,Toledo,3105,45
69,Málaga,2470,29
63,Almería,2274,4
65,Córdoba,1875,14
46,Ciudad Real,1855,13
24,Barcelona,1468,8
34,León,1330,24
30,Illes Balears,1179,7
68,Jaén,1166,23
0,A Coruña,899,15
25,Girona,883,17
37,Segovia,750,40
3,Pontevedra,682,36
67,Huelva,632,21
33,Burgos,500,9
26,Lleida,405,25
39,Valladolid,400,47
45,Albacete,324,2
12,Bizkaia,281,48
11,Gipuzkoa,245,20
40,Zamora,220,49
10,Araba/Álava,183,1
8,Cantabria,170,39
1,Lugo,142,27
36,Salamanca,115,37
2,Ourense,95,32
35,Palencia,80,34
48,Guadalajara,66,19
43,Madrid,40,28
47,Cuenca,38,16
20,Teruel,36,44
6,Asturias,15,33
19,Huesca,0,22
59,Badajoz,0,6
60,Cáceres,0,10
32,Ávila,0,5
38,Soria,0,42
