,Provincia,P-t,INE
67,Huelva,388891,21
24,Barcelona,1883,8
0,A Coruña,1211,15
37,Segovia,1088,40
3,Pontevedra,614,36
25,Girona,479,17
64,Cádiz,345,11
30,Illes Balears,289,7
2,Ourense,284,32
66,Granada,268,18
32,Ávila,248,5
70,Sevilla,225,41
43,Madrid,210,28
1,Lugo,192,27
60,Cáceres,145,10
38,Soria,140,42
54,Valencia/València,116,46
69,Málaga,90,29
59,Badajoz,80,6
36,Salamanca,52,37
68,Jaén,42,23
26,Lleida,36,25
6,Asturias,16,33
12,Bizkaia,10,48
10,Araba/Álava,6,1
17,La Rioja,3,26
35,Palencia,0,34
21,Zaragoza,0,50
11,Gipuzkoa,0,20
15,Navarra,0,31
65,Córdoba,0,14
63,Almería,0,4
19,Huesca,0,22
20,Teruel,0,44
57,Murcia,0,30
53,Castellón/Castelló,0,12
34,León,0,24
52,Alacant/Alicante,0,3
49,Toledo,0,45
48,Guadalajara,0,19
47,Cuenca,0,16
46,Ciudad Real,0,13
45,Albacete,0,2
27,Tarragona,0,43
40,Zamora,0,49
8,Cantabria,0,39
33,Burgos,0,9
39,Valladolid,0,47
