,Provincia,P-t,INE
57,Murcia,378618,30
63,Almería,155862,4
66,Granada,113937,18
45,Albacete,83300,2
52,Alacant/Alicante,27606,3
53,Castellón/Castelló,17280,12
15,Navarra,15944,31
54,Valencia/València,14700,46
27,Tarragona,7825,43
69,Málaga,6774,29
0,A Coruña,6651,15
3,Pontevedra,6324,36
65,Córdoba,5970,14
24,Barcelona,5776,8
12,Bizkaia,4986,48
37,Segovia,4720,40
38,Soria,4573,42
30,Illes Balears,4324,7
25,Girona,3807,17
11,Gipuzkoa,3716,20
26,Lleida,3662,25
2,Ourense,3602,32
70,Sevilla,3600,41
1,Lugo,3325,27
10,Araba/Álava,3117,1
64,Cádiz,3085,11
17,La Rioja,2790,26
49,Toledo,2214,45
6,Asturias,2180,33
67,Huelva,2000,21
39,Valladolid,1800,47
33,Burgos,1650,9
68,Jaén,1300,23
36,Salamanca,1052,37
43,Madrid,887,28
21,Zaragoza,720,50
34,León,700,24
35,Palencia,385,34
47,Cuenca,320,16
32,Ávila,287,5
8,Cantabria,160,39
59,Badajoz,153,6
40,Zamora,108,49
19,Huesca,80,22
60,Cáceres,49,10
20,Teruel,0,44
46,Ciudad Real,0,13
48,Guadalajara,0,19
