,Provincia,P-t,INE
57,Murcia,270931,30.0
26,Lleida,186666,25.0
19,Huesca,137083,22.0
21,Zaragoza,84645,50.0
59,Badajoz,64610,6.0
70,Sevilla,41000,41.0
45,Albacete,31527,2.0
27,Tarragona,26850,43.0
20,Teruel,23929,44.0
15,Navarra,12610,31.0
66,Granada,11439,18.0
17,La Rioja,10888,26.0
67,Huelva,10062,21.0
60,Cáceres,9399,10.0
54,Valencia/València,7861,46.0
24,Barcelona,6059,8.0
0,A Coruña,5995,15.0
52,Alacant/Alicante,3567,3.0
65,Córdoba,3510,14.0
53,Castellón/Castelló,2145,12.0
2,Ourense,1921,32.0
68,Jaén,1848,23.0
3,Pontevedra,1684,36.0
25,Girona,1643,17.0
69,Málaga,1157,29.0
1,Lugo,1026,27.0
49,Toledo,828,45.0
30,Illes Balears,268,7.0
32,Ávila,240,5.0
63,Almería,188,4.0
6,Asturias,175,33.0
46,Ciudad Real,165,13.0
64,Cádiz,147,11.0
12,Bizkaia,61,48.0
36,Salamanca,55,37.0
11,Gipuzkoa,54,20.0
34,León,50,24.0
47,Cuenca,47,16.0
40,Zamora,46,49.0
10,Araba/Álava,22,1.0
43,Madrid,18,28.0
37,Segovia,0,40.0
48,Guadalajara,0,19.0
39,Valladolid,0,47.0
38,Soria,0,42.0
35,Palencia,0,34.0
33,Burgos,0,9.0
8,Cantabria,0,39.0
78,,0,
