,Provincia,P-t,INE
57,Murcia,189013,30
46,Ciudad Real,187500,13
63,Almería,114855,4
59,Badajoz,36790,6
52,Alicante,29071,3
49,Toledo,24631,45
69,Málaga,15798,29
45,Albacete,11571,2
53,Castellón,11471,12
70,Sevilla,9000,41
65,Córdoba,8064,14
66,Granada,7548,18
64,Cádiz,6551,11
67,Huelva,5800,21
60,Cáceres,5302,10
43,Madrid,5160,28
30,Islas Baleares,4685,7
54,Valencia,3244,46
27,Tarragona,2420,43
68,Jaén,1660,23
26,Lleida,1496,25
37,Segovia,1050,40
47,Cuenca,824,16
24,Barcelona,753,8
21,Zaragoza,631,50
40,Zamora,419,49
48,Guadalajara,295,19
19,Huesca,270,22
36,Salamanca,264,37
39,Valladolid,253,47
32,Ávila,219,5
15,Navarra,201,31
25,Girona,154,17
17,La Rioja,120,26
20,Teruel,20,44
3,Pontevedra,0,36
6,Asturias,0,33
8,Cantabria,0,39
11,Gipuzkoa,0,20
2,Ourense,0,32
10,Álava,0,1
35,Palencia,0,34
12,Vizcaya,0,48
33,Burgos,0,9
34,León,0,24
38,Soria,0,42
1,Lugo,0,27
0,A Coruña,0,15
