,Provincia,P-t,INE
21,Valencia,1177788.0,46
37,Sevilla,614693.0,41
19,Alicante,267023.0,3
34,Huelva,262021.0,21
32,Córdoba,215761.0,14
24,Murcia,136206.0,30
20,Castellón,110380.0,12
30,Almería,101346.0,4
36,Málaga,77842.0,29
31,Cádiz,46778.0,11
10,Tarragona,38501.0,43
33,Granada,11485.0,18
13,Islas Baleares,9450.0,7
0,A Coruña,1037.0,15
3,Pontevedra,414.0,36
26,Badajoz,380.0,6
16,Salamanca,75.0,37
9,Barcelona,70.0,8
2,Ourense,52.0,32
35,Jaén,46.0,23
27,Cáceres,36.0,10
1,Lugo,28.0,27
15,Ávila,6.0,5
6,Vizcaya,4.0,48
