fila,subfila,columna,subcolumna,valor
"0541 PATATAS, FRESCAS O REFRIGERADA",Total seleccionado,Total Mundo,Total modo transporte,"137764945,35"
"0541 PATATAS, FRESCAS O REFRIGERADA",Enero de 2015,Total Mundo,Total modo transporte,"17626370,79"
"0541 PATATAS, FRESCAS O REFRIGERADA",Marzo de 2015,Total Mundo,Total modo transporte,"9936150,19"
"0541 PATATAS, FRESCAS O REFRIGERADA",Febrero de 2015,Total Mundo,Total modo transporte,"11550373,80"
"0541 PATATAS, FRESCAS O REFRIGERADA",Abril de 2015,Total Mundo,Total modo transporte,"12468851,72"
"0541 PATATAS, FRESCAS O REFRIGERADA",Mayo de 2015,Total Mundo,Total modo transporte,"32907302,03"
"0541 PATATAS, FRESCAS O REFRIGERADA",Junio de 2015,Total Mundo,Total modo transporte,"53275896,82"
"0541 PATATAS, FRESCAS O REFRIGERADA",Total seleccionado,Total Mundo,1  Marítimo,"8587874,60"
"0541 PATATAS, FRESCAS O REFRIGERADA",Enero de 2015,Total Mundo,1  Marítimo,"58271,00"
"0541 PATATAS, FRESCAS O REFRIGERADA",Marzo de 2015,Total Mundo,1  Marítimo,"425022,00"
"0541 PATATAS, FRESCAS O REFRIGERADA",Febrero de 2015,Total Mundo,1  Marítimo,"279908,00"
"0541 PATATAS, FRESCAS O REFRIGERADA",Abril de 2015,Total Mundo,1  Marítimo,"1431346,00"
"0541 PATATAS, FRESCAS O REFRIGERADA",Mayo de 2015,Total Mundo,1  Marítimo,"3281473,00"
"0541 PATATAS, FRESCAS O REFRIGERADA",Junio de 2015,Total Mundo,1  Marítimo,"3111854,60"
"0541 PATATAS, FRESCAS O REFRIGERADA",Total seleccionado,Total Mundo,3  Carretera,"129175003,85"
"0541 PATATAS, FRESCAS O REFRIGERADA",Enero de 2015,Total Mundo,3  Carretera,"17567414,99"
"0541 PATATAS, FRESCAS O REFRIGERADA",Marzo de 2015,Total Mundo,3  Carretera,"9510864,59"
"0541 PATATAS, FRESCAS O REFRIGERADA",Febrero de 2015,Total Mundo,3  Carretera,"11270266,60"
"0541 PATATAS, FRESCAS O REFRIGERADA",Abril de 2015,Total Mundo,3  Carretera,"11037240,00"
"0541 PATATAS, FRESCAS O REFRIGERADA",Mayo de 2015,Total Mundo,3  Carretera,"29625521,45"
"0541 PATATAS, FRESCAS O REFRIGERADA",Junio de 2015,Total Mundo,3  Carretera,"50163696,22"
"0541 PATATAS, FRESCAS O REFRIGERADA",Total seleccionado,Total Mundo,4  Aire,"2066,90"
"0541 PATATAS, FRESCAS O REFRIGERADA",Enero de 2015,Total Mundo,4  Aire,"684,80"
"0541 PATATAS, FRESCAS O REFRIGERADA",Marzo de 2015,Total Mundo,4  Aire,"263,60"
"0541 PATATAS, FRESCAS O REFRIGERADA",Febrero de 2015,Total Mundo,4  Aire,"199,20"
"0541 PATATAS, FRESCAS O REFRIGERADA",Abril de 2015,Total Mundo,4  Aire,"265,72"
"0541 PATATAS, FRESCAS O REFRIGERADA",Mayo de 2015,Total Mundo,4  Aire,"307,58"
"0541 PATATAS, FRESCAS O REFRIGERADA",Junio de 2015,Total Mundo,4  Aire,"346,00"
"0541 PATATAS, FRESCAS O REFRIGERADA",Total seleccionado,001 Francia,Total modo transporte,"3779477,27"
"0541 PATATAS, FRESCAS O REFRIGERADA",Enero de 2015,001 Francia,Total modo transporte,"704723,81"
"0541 PATATAS, FRESCAS O REFRIGERADA",Marzo de 2015,001 Francia,Total modo transporte,"561140,40"
"0541 PATATAS, FRESCAS O REFRIGERADA",Febrero de 2015,001 Francia,Total modo transporte,"716221,07"
"0541 PATATAS, FRESCAS O REFRIGERADA",Abril de 2015,001 Francia,Total modo transporte,"563483,02"
"0541 PATATAS, FRESCAS O REFRIGERADA",Mayo de 2015,001 Francia,Total modo transporte,"578573,20"
"0541 PATATAS, FRESCAS O REFRIGERADA",Junio de 2015,001 Francia,Total modo transporte,"655335,79"
"0541 PATATAS, FRESCAS O REFRIGERADA",Total seleccionado,001 Francia,3  Carretera,"3779477,27"
"0541 PATATAS, FRESCAS O REFRIGERADA",Enero de 2015,001 Francia,3  Carretera,"704723,81"
"0541 PATATAS, FRESCAS O REFRIGERADA",Marzo de 2015,001 Francia,3  Carretera,"561140,40"
"0541 PATATAS, FRESCAS O REFRIGERADA",Febrero de 2015,001 Francia,3  Carretera,"716221,07"
"0541 PATATAS, FRESCAS O REFRIGERADA",Abril de 2015,001 Francia,3  Carretera,"563483,02"
"0541 PATATAS, FRESCAS O REFRIGERADA",Mayo de 2015,001 Francia,3  Carretera,"578573,20"
"0541 PATATAS, FRESCAS O REFRIGERADA",Junio de 2015,001 Francia,3  Carretera,"655335,79"
"0541 PATATAS, FRESCAS O REFRIGERADA",Total seleccionado,003 Países Bajos,Total modo transporte,"4055055,71"
"0541 PATATAS, FRESCAS O REFRIGERADA",Enero de 2015,003 Países Bajos,Total modo transporte,"367242,32"
"0541 PATATAS, FRESCAS O REFRIGERADA",Marzo de 2015,003 Países Bajos,Total modo transporte,"138083,87"
"0541 PATATAS, FRESCAS O REFRIGERADA",Febrero de 2015,003 Países Bajos,Total modo transporte,"318112,48"
"0541 PATATAS, FRESCAS O REFRIGERADA",Abril de 2015,003 Países Bajos,Total modo transporte,"271334,28"
"0541 PATATAS, FRESCAS O REFRIGERADA",Mayo de 2015,003 Países Bajos,Total modo transporte,"1534811,00"
"0541 PATATAS, FRESCAS O REFRIGERADA",Junio de 2015,003 Países Bajos,Total modo transporte,"1425471,76"
"0541 PATATAS, FRESCAS O REFRIGERADA",Total seleccionado,003 Países Bajos,1  Marítimo,"20932,00"
