fila,subfila,columna,subcolumna,valor
"0541 PATATAS, FRESCAS O REFRIGERADA",Total seleccionado,Total Mundo,Total modo transporte,"433694748,63"
"0541 PATATAS, FRESCAS O REFRIGERADA",Enero de 2015,Total Mundo,Total modo transporte,"77069565,38"
"0541 PATATAS, FRESCAS O REFRIGERADA",Febrero de 2015,Total Mundo,Total modo transporte,"79225352,53"
"0541 PATATAS, FRESCAS O REFRIGERADA",Marzo de 2015,Total Mundo,Total modo transporte,"100244766,38"
"0541 PATATAS, FRESCAS O REFRIGERADA",Abril de 2015,Total Mundo,Total modo transporte,"81090927,06"
"0541 PATATAS, FRESCAS O REFRIGERADA",Mayo de 2015,Total Mundo,Total modo transporte,"62342162,47"
"0541 PATATAS, FRESCAS O REFRIGERADA",Junio de 2015,Total Mundo,Total modo transporte,"33721974,80"
"0541 PATATAS, FRESCAS O REFRIGERADA",Total seleccionado,Total Mundo,1  Marítimo,"33202277,00"
"0541 PATATAS, FRESCAS O REFRIGERADA",Enero de 2015,Total Mundo,1  Marítimo,"6262879,00"
"0541 PATATAS, FRESCAS O REFRIGERADA",Febrero de 2015,Total Mundo,1  Marítimo,"7620842,00"
"0541 PATATAS, FRESCAS O REFRIGERADA",Marzo de 2015,Total Mundo,1  Marítimo,"9647085,00"
"0541 PATATAS, FRESCAS O REFRIGERADA",Abril de 2015,Total Mundo,1  Marítimo,"6231594,00"
"0541 PATATAS, FRESCAS O REFRIGERADA",Mayo de 2015,Total Mundo,1  Marítimo,"2798205,00"
"0541 PATATAS, FRESCAS O REFRIGERADA",Junio de 2015,Total Mundo,1  Marítimo,"641672,00"
"0541 PATATAS, FRESCAS O REFRIGERADA",Total seleccionado,Total Mundo,2  Ferrocarril,"65946,00"
"0541 PATATAS, FRESCAS O REFRIGERADA",Enero de 2015,Total Mundo,2  Ferrocarril,
"0541 PATATAS, FRESCAS O REFRIGERADA",Febrero de 2015,Total Mundo,2  Ferrocarril,
"0541 PATATAS, FRESCAS O REFRIGERADA",Marzo de 2015,Total Mundo,2  Ferrocarril,"65946,00"
"0541 PATATAS, FRESCAS O REFRIGERADA",Abril de 2015,Total Mundo,2  Ferrocarril,
"0541 PATATAS, FRESCAS O REFRIGERADA",Mayo de 2015,Total Mundo,2  Ferrocarril,
"0541 PATATAS, FRESCAS O REFRIGERADA",Junio de 2015,Total Mundo,2  Ferrocarril,
"0541 PATATAS, FRESCAS O REFRIGERADA",Total seleccionado,Total Mundo,3  Carretera,"400426525,63"
"0541 PATATAS, FRESCAS O REFRIGERADA",Enero de 2015,Total Mundo,3  Carretera,"70806686,38"
"0541 PATATAS, FRESCAS O REFRIGERADA",Febrero de 2015,Total Mundo,3  Carretera,"71604510,53"
"0541 PATATAS, FRESCAS O REFRIGERADA",Marzo de 2015,Total Mundo,3  Carretera,"90531735,38"
"0541 PATATAS, FRESCAS O REFRIGERADA",Abril de 2015,Total Mundo,3  Carretera,"74859333,06"
"0541 PATATAS, FRESCAS O REFRIGERADA",Mayo de 2015,Total Mundo,3  Carretera,"59543957,47"
"0541 PATATAS, FRESCAS O REFRIGERADA",Junio de 2015,Total Mundo,3  Carretera,"33080302,80"
"0541 PATATAS, FRESCAS O REFRIGERADA",Total seleccionado,001 Francia,Total modo transporte,"338121703,16"
"0541 PATATAS, FRESCAS O REFRIGERADA",Enero de 2015,001 Francia,Total modo transporte,"61531910,65"
"0541 PATATAS, FRESCAS O REFRIGERADA",Febrero de 2015,001 Francia,Total modo transporte,"63984721,55"
"0541 PATATAS, FRESCAS O REFRIGERADA",Marzo de 2015,001 Francia,Total modo transporte,"73361105,12"
"0541 PATATAS, FRESCAS O REFRIGERADA",Abril de 2015,001 Francia,Total modo transporte,"62481630,07"
"0541 PATATAS, FRESCAS O REFRIGERADA",Mayo de 2015,001 Francia,Total modo transporte,"52502775,29"
"0541 PATATAS, FRESCAS O REFRIGERADA",Junio de 2015,001 Francia,Total modo transporte,"24259560,47"
"0541 PATATAS, FRESCAS O REFRIGERADA",Total seleccionado,001 Francia,2  Ferrocarril,"65946,00"
"0541 PATATAS, FRESCAS O REFRIGERADA",Enero de 2015,001 Francia,2  Ferrocarril,
"0541 PATATAS, FRESCAS O REFRIGERADA",Febrero de 2015,001 Francia,2  Ferrocarril,
"0541 PATATAS, FRESCAS O REFRIGERADA",Marzo de 2015,001 Francia,2  Ferrocarril,"65946,00"
"0541 PATATAS, FRESCAS O REFRIGERADA",Abril de 2015,001 Francia,2  Ferrocarril,
"0541 PATATAS, FRESCAS O REFRIGERADA",Mayo de 2015,001 Francia,2  Ferrocarril,
"0541 PATATAS, FRESCAS O REFRIGERADA",Junio de 2015,001 Francia,2  Ferrocarril,
"0541 PATATAS, FRESCAS O REFRIGERADA",Total seleccionado,001 Francia,3  Carretera,"338055757,16"
"0541 PATATAS, FRESCAS O REFRIGERADA",Enero de 2015,001 Francia,3  Carretera,"61531910,65"
