,Provincia,P-t,INE
63,Almería,630769,4
57,Murcia,124176,30
66,Granada,50989,18
52,Alicante,31665,3
46,Ciudad Real,30040,13
15,Navarra,29628,31
0,A Coruña,24463,15
3,Pontevedra,23316,36
69,Málaga,19755,29
54,Valencia,15244,46
64,Cádiz,15100,11
2,Ourense,13766,32
59,Badajoz,12021,6
1,Lugo,8766,27
70,Sevilla,7200,41
17,La Rioja,4785,26
60,Cáceres,4560,10
65,Córdoba,4320,14
45,Albacete,4210,2
68,Jaén,3750,23
27,Tarragona,3476,43
12,Vizcaya,3395,48
49,Toledo,3298,45
53,Castellón,3226,12
67,Huelva,2640,21
24,Barcelona,1956,8
30,Islas Baleares,1824,7
21,Zaragoza,1646,50
34,León,1320,24
10,Álava,832,1
40,Zamora,702,49
11,Gipuzkoa,625,20
26,Lleida,579,25
25,Girona,531,17
6,Asturias,346,33
48,Guadalajara,325,19
37,Segovia,320,40
43,Madrid,250,28
39,Valladolid,193,47
32,Ávila,182,5
33,Burgos,150,9
35,Palencia,148,34
36,Salamanca,144,37
19,Huesca,141,22
47,Cuenca,133,16
8,Cantabria,112,39
20,Teruel,0,44
38,Soria,0,42
