,Provincia,P-t,INE
37,Segovia,37700,40
39,Valladolid,6920,47
64,Cádiz,5600,11
52,Alicante,4750,3
21,Zaragoza,3855,50
67,Huelva,3240,21
27,Tarragona,2645,43
24,Barcelona,2207,8
32,Ávila,1802,5
3,Pontevedra,1747,36
12,Vizcaya,1732,48
70,Sevilla,1680,41
15,Navarra,1529,31
10,Álava,1155,1
11,Gipuzkoa,1107,20
57,Murcia,1084,30
69,Málaga,999,29
54,Valencia,908,46
49,Toledo,870,45
30,Islas Baleares,862,7
2,Ourense,819,32
66,Granada,808,18
17,La Rioja,784,26
34,León,774,24
0,A Coruña,748,15
60,Cáceres,480,10
53,Castellón,450,12
1,Lugo,375,27
25,Girona,323,17
36,Salamanca,250,37
33,Burgos,210,9
40,Zamora,150,49
46,Ciudad Real,144,13
63,Almería,112,4
8,Cantabria,106,39
6,Asturias,105,33
65,Córdoba,100,14
48,Guadalajara,85,19
68,Jaén,61,23
43,Madrid,54,28
19,Huesca,24,22
26,Lleida,21,25
20,Teruel,20,44
47,Cuenca,0,16
45,Albacete,0,2
59,Badajoz,0,6
38,Soria,0,42
35,Palencia,0,34
