,Provincia,P-t,INE
52,Alicante,980,3
37,Segovia,780,40
54,Valencia,530,46
69,Málaga,460,29
24,Barcelona,441,8
64,Cádiz,400,11
63,Almería,275,4
65,Córdoba,255,14
70,Sevilla,168,41
57,Murcia,110,30
68,Jaén,82,23
67,Huelva,60,21
30,Islas Baleares,56,7
66,Granada,20,18
21,Zaragoza,19,50
25,Girona,17,17
27,Tarragona,12,43
26,Lleida,10,25
38,Soria,10,42
15,Navarra,0,31
59,Badajoz,0,6
11,Gipuzkoa,0,20
53,Castellón,0,12
10,Álava,0,1
3,Pontevedra,0,36
60,Cáceres,0,10
8,Cantabria,0,39
6,Asturias,0,33
48,Guadalajara,0,19
2,Ourense,0,32
49,Toledo,0,45
43,Madrid,0,28
47,Cuenca,0,16
46,Ciudad Real,0,13
45,Albacete,0,2
17,La Rioja,0,26
40,Zamora,0,49
39,Valladolid,0,47
1,Lugo,0,27
36,Salamanca,0,37
35,Palencia,0,34
34,León,0,24
33,Burgos,0,9
32,Ávila,0,5
12,Vizcaya,0,48
20,Teruel,0,44
19,Huesca,0,22
0,A Coruña,0,15
