,Provincia,P-t,INE
63,Almería,525671,4
57,Murcia,172010,30
46,Ciudad Real,77600,13
70,Sevilla,60000,41
54,Valencia,40843,46
49,Toledo,31374,45
66,Granada,17075,18
59,Badajoz,15091,6
53,Castellón,13590,12
52,Alicante,11415,3
65,Córdoba,11152,14
30,Islas Baleares,10877,7
67,Huelva,8750,21
64,Cádiz,7360,11
27,Tarragona,5970,43
60,Cáceres,5327,10
69,Málaga,5325,29
45,Albacete,2800,2
68,Jaén,1800,23
43,Madrid,1750,28
26,Lleida,638,25
21,Zaragoza,488,50
37,Segovia,450,40
24,Barcelona,417,8
32,Ávila,344,5
36,Salamanca,225,37
25,Girona,210,17
47,Cuenca,201,16
19,Huesca,120,22
40,Zamora,85,49
39,Valladolid,61,47
34,León,36,24
17,La Rioja,36,26
33,Burgos,0,9
11,Gipuzkoa,0,20
2,Ourense,0,32
3,Pontevedra,0,36
6,Asturias,0,33
8,Cantabria,0,39
10,Álava,0,1
15,Navarra,0,31
12,Vizcaya,0,48
48,Guadalajara,0,19
35,Palencia,0,34
20,Teruel,0,44
1,Lugo,0,27
38,Soria,0,42
0,A Coruña,0,15
