fila,subfila,columna,subcolumna,valor
0702 Tomates frescos o refrigerados,Total seleccionado,Total Mundo,Total modo transporte,"12901,89"
0702 Tomates frescos o refrigerados,Enero de 2016,Total Mundo,Total modo transporte,"7247,45"
0702 Tomates frescos o refrigerados,Febrero de 2016,Total Mundo,Total modo transporte,"5654,43"
0702 Tomates frescos o refrigerados,Total seleccionado,Total Mundo,1  Marítimo,"9790,29"
0702 Tomates frescos o refrigerados,Enero de 2016,Total Mundo,1  Marítimo,"5519,82"
0702 Tomates frescos o refrigerados,Febrero de 2016,Total Mundo,1  Marítimo,"4270,48"
0702 Tomates frescos o refrigerados,Total seleccionado,Total Mundo,3  Carretera,"3111,59"
0702 Tomates frescos o refrigerados,Enero de 2016,Total Mundo,3  Carretera,"1727,63"
0702 Tomates frescos o refrigerados,Febrero de 2016,Total Mundo,3  Carretera,"1383,96"
0702 Tomates frescos o refrigerados,Total seleccionado,001 Francia,Total modo transporte,"1640,11"
0702 Tomates frescos o refrigerados,Enero de 2016,001 Francia,Total modo transporte,"962,73"
0702 Tomates frescos o refrigerados,Febrero de 2016,001 Francia,Total modo transporte,"677,39"
0702 Tomates frescos o refrigerados,Total seleccionado,001 Francia,3  Carretera,"1640,11"
0702 Tomates frescos o refrigerados,Enero de 2016,001 Francia,3  Carretera,"962,73"
0702 Tomates frescos o refrigerados,Febrero de 2016,001 Francia,3  Carretera,"677,39"
0702 Tomates frescos o refrigerados,Total seleccionado,003 Países Bajos,Total modo transporte,"400,96"
0702 Tomates frescos o refrigerados,Enero de 2016,003 Países Bajos,Total modo transporte,"119,85"
0702 Tomates frescos o refrigerados,Febrero de 2016,003 Países Bajos,Total modo transporte,"281,11"
0702 Tomates frescos o refrigerados,Total seleccionado,003 Países Bajos,3  Carretera,"400,96"
0702 Tomates frescos o refrigerados,Enero de 2016,003 Países Bajos,3  Carretera,"119,85"
0702 Tomates frescos o refrigerados,Febrero de 2016,003 Países Bajos,3  Carretera,"281,11"
0702 Tomates frescos o refrigerados,Total seleccionado,004 Alemania,Total modo transporte,"4,23"
0702 Tomates frescos o refrigerados,Enero de 2016,004 Alemania,Total modo transporte,"2,11"
0702 Tomates frescos o refrigerados,Febrero de 2016,004 Alemania,Total modo transporte,"2,12"
0702 Tomates frescos o refrigerados,Total seleccionado,004 Alemania,3  Carretera,"4,23"
0702 Tomates frescos o refrigerados,Enero de 2016,004 Alemania,3  Carretera,"2,11"
0702 Tomates frescos o refrigerados,Febrero de 2016,004 Alemania,3  Carretera,"2,12"
0702 Tomates frescos o refrigerados,Total seleccionado,005 Italia,Total modo transporte,"25,43"
0702 Tomates frescos o refrigerados,Enero de 2016,005 Italia,Total modo transporte,"18,67"
0702 Tomates frescos o refrigerados,Febrero de 2016,005 Italia,Total modo transporte,"6,76"
0702 Tomates frescos o refrigerados,Total seleccionado,005 Italia,1  Marítimo,"0,59"
0702 Tomates frescos o refrigerados,Enero de 2016,005 Italia,1  Marítimo,
0702 Tomates frescos o refrigerados,Febrero de 2016,005 Italia,1  Marítimo,"0,59"
0702 Tomates frescos o refrigerados,Total seleccionado,005 Italia,3  Carretera,"24,83"
0702 Tomates frescos o refrigerados,Enero de 2016,005 Italia,3  Carretera,"18,67"
0702 Tomates frescos o refrigerados,Febrero de 2016,005 Italia,3  Carretera,"6,17"
0702 Tomates frescos o refrigerados,Total seleccionado,006 Reino Unido,Total modo transporte,"11,43"
0702 Tomates frescos o refrigerados,Enero de 2016,006 Reino Unido,Total modo transporte,"0,41"
0702 Tomates frescos o refrigerados,Febrero de 2016,006 Reino Unido,Total modo transporte,"11,02"
0702 Tomates frescos o refrigerados,Total seleccionado,006 Reino Unido,3  Carretera,"11,43"
0702 Tomates frescos o refrigerados,Enero de 2016,006 Reino Unido,3  Carretera,"0,41"
0702 Tomates frescos o refrigerados,Febrero de 2016,006 Reino Unido,3  Carretera,"11,02"
