,producto,fecha,pais,transporte,Ton,tipo
7,0702 Tomates frescos o refrigerados,2017-07-01 00:00:00, Francia,Carretera,504.9,import
8,0702 Tomates frescos o refrigerados,2017-06-01 00:00:00, Francia,Carretera,397.89,import
9,0702 Tomates frescos o refrigerados,2017-05-01 00:00:00, Francia,Carretera,471.56,import
10,0702 Tomates frescos o refrigerados,2017-04-01 00:00:00, Francia,Carretera,746.73,import
11,0702 Tomates frescos o refrigerados,2017-03-01 00:00:00, Francia,Carretera,886.98,import
19,0702 Tomates frescos o refrigerados,2017-07-01 00:00:00, Países Bajos,Marítimo,6.31,import
25,0702 Tomates frescos o refrigerados,2017-07-01 00:00:00, Países Bajos,Carretera,4903.62,import
26,0702 Tomates frescos o refrigerados,2017-06-01 00:00:00, Países Bajos,Carretera,5951.62,import
27,0702 Tomates frescos o refrigerados,2017-05-01 00:00:00, Países Bajos,Carretera,1707.47,import
28,0702 Tomates frescos o refrigerados,2017-04-01 00:00:00, Países Bajos,Carretera,123.7,import
29,0702 Tomates frescos o refrigerados,2017-03-01 00:00:00, Países Bajos,Carretera,100.83,import
37,0702 Tomates frescos o refrigerados,2017-07-01 00:00:00, Alemania,Carretera,125.57,import
38,0702 Tomates frescos o refrigerados,2017-06-01 00:00:00, Alemania,Carretera,89.75,import
39,0702 Tomates frescos o refrigerados,2017-05-01 00:00:00, Alemania,Carretera,5.4,import
40,0702 Tomates frescos o refrigerados,2017-04-01 00:00:00, Alemania,Carretera,16.99,import
41,0702 Tomates frescos o refrigerados,2017-03-01 00:00:00, Alemania,Carretera,10.11,import
43,0702 Tomates frescos o refrigerados,2017-07-01 00:00:00, Alemania,Aire,0.08,import
44,0702 Tomates frescos o refrigerados,2017-06-01 00:00:00, Alemania,Aire,0.11,import
55,0702 Tomates frescos o refrigerados,2017-07-01 00:00:00, Italia,Marítimo,0.87,import
56,0702 Tomates frescos o refrigerados,2017-06-01 00:00:00, Italia,Marítimo,1.1,import
57,0702 Tomates frescos o refrigerados,2017-05-01 00:00:00, Italia,Marítimo,2.67,import
58,0702 Tomates frescos o refrigerados,2017-04-01 00:00:00, Italia,Marítimo,1.85,import
59,0702 Tomates frescos o refrigerados,2017-03-01 00:00:00, Italia,Marítimo,2.48,import
61,0702 Tomates frescos o refrigerados,2017-07-01 00:00:00, Italia,Carretera,27.26,import
62,0702 Tomates frescos o refrigerados,2017-06-01 00:00:00, Italia,Carretera,30.05,import
63,0702 Tomates frescos o refrigerados,2017-05-01 00:00:00, Italia,Carretera,6.92,import
64,0702 Tomates frescos o refrigerados,2017-04-01 00:00:00, Italia,Carretera,10.97,import
65,0702 Tomates frescos o refrigerados,2017-03-01 00:00:00, Italia,Carretera,20.61,import
73,0702 Tomates frescos o refrigerados,2017-07-01 00:00:00, Reino Unido,Carretera,14.98,import
74,0702 Tomates frescos o refrigerados,2017-06-01 00:00:00, Reino Unido,Carretera,0.52,import
75,0702 Tomates frescos o refrigerados,2017-05-01 00:00:00, Reino Unido,Carretera,0.59,import
76,0702 Tomates frescos o refrigerados,2017-04-01 00:00:00, Reino Unido,Carretera,0.96,import
77,0702 Tomates frescos o refrigerados,2017-03-01 00:00:00, Reino Unido,Carretera,5.09,import
85,0702 Tomates frescos o refrigerados,2017-07-01 00:00:00, Irlanda,Carretera,1.87,import
86,0702 Tomates frescos o refrigerados,2017-06-01 00:00:00, Irlanda,Carretera,0.36,import
100,0702 Tomates frescos o refrigerados,2017-04-01 00:00:00, Dinamarca,Carretera,7.92,import
111,0702 Tomates frescos o refrigerados,2017-05-01 00:00:00, Grecia,Carretera,1.43,import
121,0702 Tomates frescos o refrigerados,2017-07-01 00:00:00, Portugal,Carretera,3604.26,import
122,0702 Tomates frescos o refrigerados,2017-06-01 00:00:00, Portugal,Carretera,3698.44,import
123,0702 Tomates frescos o refrigerados,2017-05-01 00:00:00, Portugal,Carretera,1774.66,import
124,0702 Tomates frescos o refrigerados,2017-04-01 00:00:00, Portugal,Carretera,470.68,import
125,0702 Tomates frescos o refrigerados,2017-03-01 00:00:00, Portugal,Carretera,486.92,import
133,0702 Tomates frescos o refrigerados,2017-07-01 00:00:00, Bélgica,Carretera,1074.68,import
134,0702 Tomates frescos o refrigerados,2017-06-01 00:00:00, Bélgica,Carretera,1016.33,import
135,0702 Tomates frescos o refrigerados,2017-05-01 00:00:00, Bélgica,Carretera,268.15,import
136,0702 Tomates frescos o refrigerados,2017-04-01 00:00:00, Bélgica,Carretera,101.59,import
137,0702 Tomates frescos o refrigerados,2017-03-01 00:00:00, Bélgica,Carretera,3.83,import
145,0702 Tomates frescos o refrigerados,2017-07-01 00:00:00, Luxemburgo,Carretera,22.32,import
146,0702 Tomates frescos o refrigerados,2017-06-01 00:00:00, Luxemburgo,Carretera,163.32,import
161,0702 Tomates frescos o refrigerados,2017-03-01 00:00:00, Suecia,Carretera,1.84,import
173,0702 Tomates frescos o refrigerados,2017-03-01 00:00:00, Austria,Carretera,0.67,import
185,0702 Tomates frescos o refrigerados,2017-03-01 00:00:00, Estonia,Carretera,13.5,import
195,0702 Tomates frescos o refrigerados,2017-05-01 00:00:00, Lituania,Carretera,1.2,import
197,0702 Tomates frescos o refrigerados,2017-03-01 00:00:00, Lituania,Carretera,3.0,import
205,0702 Tomates frescos o refrigerados,2017-07-01 00:00:00, Polonia,Carretera,1319.92,import
206,0702 Tomates frescos o refrigerados,2017-06-01 00:00:00, Polonia,Carretera,466.72,import
207,0702 Tomates frescos o refrigerados,2017-05-01 00:00:00, Polonia,Carretera,38.06,import
217,0702 Tomates frescos o refrigerados,2017-07-01 00:00:00, Eslovaquia,Carretera,1.95,import
221,0702 Tomates frescos o refrigerados,2017-03-01 00:00:00, Eslovaquia,Carretera,2.7,import
229,0702 Tomates frescos o refrigerados,2017-07-01 00:00:00, Rumanía,Carretera,20.74,import
230,0702 Tomates frescos o refrigerados,2017-06-01 00:00:00, Rumanía,Carretera,38.55,import
233,0702 Tomates frescos o refrigerados,2017-03-01 00:00:00, Rumanía,Carretera,3.6,import
241,0702 Tomates frescos o refrigerados,2017-07-01 00:00:00, Eslovenia,Carretera,2.42,import
245,0702 Tomates frescos o refrigerados,2017-03-01 00:00:00, Eslovenia,Carretera,7.97,import
253,0702 Tomates frescos o refrigerados,2017-07-01 00:00:00, Macedonia (d.01/01/00); R.Yug.Macedonia (h.31/12/99),Carretera,20.55,import
265,0702 Tomates frescos o refrigerados,2017-07-01 00:00:00, Marruecos,Marítimo,1064.87,import
266,0702 Tomates frescos o refrigerados,2017-06-01 00:00:00, Marruecos,Marítimo,1113.21,import
267,0702 Tomates frescos o refrigerados,2017-05-01 00:00:00, Marruecos,Marítimo,1768.8,import
268,0702 Tomates frescos o refrigerados,2017-04-01 00:00:00, Marruecos,Marítimo,5335.19,import
269,0702 Tomates frescos o refrigerados,2017-03-01 00:00:00, Marruecos,Marítimo,7326.4,import
271,0702 Tomates frescos o refrigerados,2017-07-01 00:00:00, Marruecos,Carretera,57.2,import
272,0702 Tomates frescos o refrigerados,2017-06-01 00:00:00, Marruecos,Carretera,68.77,import
273,0702 Tomates frescos o refrigerados,2017-05-01 00:00:00, Marruecos,Carretera,49.51,import
274,0702 Tomates frescos o refrigerados,2017-04-01 00:00:00, Marruecos,Carretera,284.32,import
275,0702 Tomates frescos o refrigerados,2017-03-01 00:00:00, Marruecos,Carretera,328.38,import
287,0702 Tomates frescos o refrigerados,2017-03-01 00:00:00, Egipto,Carretera,15.12,import
295,0702 Tomates frescos o refrigerados,2017-07-01 00:00:00, Costa de Marfil,Carretera,158.32,import
297,0702 Tomates frescos o refrigerados,2017-05-01 00:00:00, Costa de Marfil,Carretera,95.4,import
307,0702 Tomates frescos o refrigerados,2017-07-01 00:00:00, Sudáfrica,Carretera,19.8,import
