fecha,pais,Ton,tipo
2016-01-01, Marruecos,5519.82,import
2016-02-01, Marruecos,4269.88,import
2016-03-01, Marruecos,5080.41,import
2016-04-01, Marruecos,2144.47,import
2016-05-01, Países Bajos,3028.88,import
2016-06-01, Países Bajos,7056.96,import
2016-07-01, Países Bajos,5921.32,import
2016-08-01, Portugal,16098.15,import
2016-09-01, Portugal,10029.21,import
2016-10-01, Portugal,13882.71,import
2016-11-01, Marruecos,4254.8,import
2016-12-01, Marruecos,5261.77,import
2017-01-01, Marruecos,6251.97,import
2017-02-01, Marruecos,5702.66,import
2017-03-01, Marruecos,7326.4,import
2017-04-01, Marruecos,5335.19,import
2017-05-01, Portugal,1774.66,import
2017-06-01, Países Bajos,5951.62,import
2017-07-01, Países Bajos,4903.62,import
