,Provincia,P-t,INE
59,Badajoz,1727297,6
63,Almería,984757,4
70,Sevilla,506373,41
66,Granada,389295,18
60,Cáceres,226633,10
57,Murcia,190484,30
15,Navarra,163305,31
69,Málaga,61011,29
64,Cádiz,54110,11
52,Alicante,50540,3
21,Zaragoza,47452,50
49,Toledo,44190,45
3,Pontevedra,31681,36
45,Albacete,24955,2
0,A Coruña,22848,15
2,Ourense,22630,32
46,Ciudad Real,22350,13
53,Castellón,19215,12
24,Barcelona,18893,8
1,Lugo,15351,27
27,Tarragona,14385,43
17,La Rioja,12986,26
30,Islas Baleares,10689,7
65,Córdoba,10483,14
25,Girona,9735,17
68,Jaén,7500,23
67,Huelva,7316,21
26,Lleida,7064,25
54,Valencia,7038,46
43,Madrid,5180,28
12,Vizcaya,4047,48
19,Huesca,3701,22
6,Asturias,2360,33
11,Gipuzkoa,1949,20
37,Segovia,1600,40
10,Álava,1560,1
34,León,1250,24
36,Salamanca,1120,37
32,Ávila,1040,5
39,Valladolid,561,47
40,Zamora,522,49
35,Palencia,450,34
47,Cuenca,405,16
20,Teruel,390,44
8,Cantabria,324,39
33,Burgos,150,9
48,Guadalajara,85,19
38,Soria,0,42
