,Provincia,Variable,Cantidad,Unit
0,A Coruña,1-I a 31-V,121,S-ha
1,Lugo,1-I a 31-V,4,S-ha
2,Ourense,1-I a 31-V,4,S-ha
3,Pontevedra,1-I a 31-V,16,S-ha
4,Asturias,1-I a 31-V,0,S-ha
5,Cantabria,1-I a 31-V,0,S-ha
6,Araba/Álava,1-I a 31-V,1,S-ha
7,Gipuzkoa,1-I a 31-V,5,S-ha
8,Bizkaia,1-I a 31-V,0,S-ha
9,Navarra,1-I a 31-V,0,S-ha
10,La Rioja,1-I a 31-V,0,S-ha
11,Huesca,1-I a 31-V,0,S-ha
12,Teruel,1-I a 31-V,0,S-ha
13,Zaragoza,1-I a 31-V,0,S-ha
14,Barcelona,1-I a 31-V,30,S-ha
15,Girona,1-I a 31-V,29,S-ha
16,Lleida,1-I a 31-V,0,S-ha
17,Tarragona,1-I a 31-V,8,S-ha
18,Illes Balears,1-I a 31-V,43,S-ha
19,Ávila,1-I a 31-V,0,S-ha
20,Burgos,1-I a 31-V,0,S-ha
21,León,1-I a 31-V,0,S-ha
22,Palencia,1-I a 31-V,0,S-ha
23,Salamanca,1-I a 31-V,0,S-ha
24,Segovia,1-I a 31-V,0,S-ha
25,Soria,1-I a 31-V,0,S-ha
26,Valladolid,1-I a 31-V,0,S-ha
27,Zamora,1-I a 31-V,0,S-ha
28,Madrid,1-I a 31-V,1,S-ha
29,Albacete,1-I a 31-V,0,S-ha
30,Ciudad Real,1-I a 31-V,0,S-ha
31,Cuenca,1-I a 31-V,0,S-ha
32,Guadalajara,1-I a 31-V,0,S-ha
33,Toledo,1-I a 31-V,0,S-ha
34,Alacant/Alicante,1-I a 31-V,141,S-ha
35,Castellón/Castelló,1-I a 31-V,60,S-ha
36,Valencia/València,1-I a 31-V,10,S-ha
37,Murcia,1-I a 31-V,921,S-ha
38,Badajoz,1-I a 31-V,0,S-ha
39,Cáceres,1-I a 31-V,0,S-ha
40,Almería,1-I a 31-V,7000,S-ha
41,Cádiz,1-I a 31-V,370,S-ha
42,Córdoba,1-I a 31-V,0,S-ha
43,Granada,1-I a 31-V,1324,S-ha
44,Huelva,1-I a 31-V,15,S-ha
45,Jaén,1-I a 31-V,0,S-ha
46,Málaga,1-I a 31-V,372,S-ha
47,Sevilla,1-I a 31-V,45,S-ha
48,Ceuta,1-I a 31-V,0,S-ha
49,Melilla,1-I a 31-V,0,S-ha
50,A Coruña,1-I a 31-V,1397,P-t
51,Lugo,1-I a 31-V,357,P-t
52,Ourense,1-I a 31-V,401,P-t
53,Pontevedra,1-I a 31-V,1254,P-t
54,Asturias,1-I a 31-V,0,P-t
55,Cantabria,1-I a 31-V,0,P-t
56,Araba/Álava,1-I a 31-V,50,P-t
57,Gipuzkoa,1-I a 31-V,286,P-t
58,Bizkaia,1-I a 31-V,0,P-t
59,Navarra,1-I a 31-V,0,P-t
60,La Rioja,1-I a 31-V,0,P-t
61,Huesca,1-I a 31-V,0,P-t
62,Teruel,1-I a 31-V,0,P-t
63,Zaragoza,1-I a 31-V,0,P-t
64,Barcelona,1-I a 31-V,1667,P-t
65,Girona,1-I a 31-V,1049,P-t
66,Lleida,1-I a 31-V,0,P-t
67,Tarragona,1-I a 31-V,560,P-t
68,Illes Balears,1-I a 31-V,1603,P-t
69,Ávila,1-I a 31-V,0,P-t
70,Burgos,1-I a 31-V,0,P-t
71,León,1-I a 31-V,0,P-t
72,Palencia,1-I a 31-V,0,P-t
73,Salamanca,1-I a 31-V,0,P-t
74,Segovia,1-I a 31-V,0,P-t
75,Soria,1-I a 31-V,0,P-t
76,Valladolid,1-I a 31-V,0,P-t
77,Zamora,1-I a 31-V,0,P-t
78,Madrid,1-I a 31-V,93,P-t
79,Albacete,1-I a 31-V,0,P-t
80,Ciudad Real,1-I a 31-V,0,P-t
81,Cuenca,1-I a 31-V,0,P-t
82,Guadalajara,1-I a 31-V,0,P-t
83,Toledo,1-I a 31-V,0,P-t
84,Alacant/Alicante,1-I a 31-V,11280,P-t
85,Castellón/Castelló,1-I a 31-V,1882,P-t
86,Valencia/València,1-I a 31-V,590,P-t
87,Murcia,1-I a 31-V,115052,P-t
88,Badajoz,1-I a 31-V,0,P-t
89,Cáceres,1-I a 31-V,0,P-t
90,Almería,1-I a 31-V,659787,P-t
91,Cádiz,1-I a 31-V,13323,P-t
92,Córdoba,1-I a 31-V,0,P-t
93,Granada,1-I a 31-V,134337,P-t
94,Huelva,1-I a 31-V,525,P-t
95,Jaén,1-I a 31-V,0,P-t
96,Málaga,1-I a 31-V,25015,P-t
97,Sevilla,1-I a 31-V,3823,P-t
98,Ceuta,1-I a 31-V,0,P-t
99,Melilla,1-I a 31-V,0,P-t
