,Provincia,P-t,INE
64,Cádiz,117000,11
39,Valladolid,95550,47
37,Segovia,69030,40
70,Sevilla,41800,41
32,Ávila,16940,5
17,La Rioja,10606,26
52,Alicante,9106,3
45,Albacete,9100,2
65,Córdoba,6840,14
49,Toledo,4617,45
67,Huelva,3360,21
33,Burgos,2550,9
38,Soria,2332,42
69,Málaga,1560,29
30,Islas Baleares,1284,7
24,Barcelona,1180,8
3,Pontevedra,1127,36
40,Zamora,1105,49
15,Navarra,1029,31
10,Álava,1025,1
0,A Coruña,814,15
57,Murcia,809,30
1,Lugo,604,27
54,Valencia,600,46
2,Ourense,551,32
66,Granada,360,18
53,Castellón,300,12
11,Gipuzkoa,292,20
27,Tarragona,256,43
12,Vizcaya,222,48
43,Madrid,210,28
68,Jaén,200,23
46,Ciudad Real,160,13
36,Salamanca,147,37
25,Girona,137,17
47,Cuenca,120,16
26,Lleida,80,25
6,Asturias,30,33
8,Cantabria,24,39
19,Huesca,0,22
34,León,0,24
63,Almería,0,4
60,Cáceres,0,10
59,Badajoz,0,6
35,Palencia,0,34
21,Zaragoza,0,50
48,Guadalajara,0,19
20,Teruel,0,44
