,Provincia,P-t,INE
64,Cádiz,7590,11
15,Navarra,4738,31
52,Alicante,4290,3
54,Valencia,3690,46
43,Madrid,3650,28
57,Murcia,3238,30
17,La Rioja,2534,26
0,A Coruña,2328,15
2,Ourense,2160,32
24,Barcelona,2136,8
53,Castellón,2063,12
12,Vizcaya,1885,48
21,Zaragoza,1875,50
69,Málaga,1804,29
3,Pontevedra,1500,36
27,Tarragona,1480,43
39,Valladolid,1288,47
65,Córdoba,1200,14
1,Lugo,1146,27
66,Granada,917,18
11,Gipuzkoa,691,20
26,Lleida,537,25
63,Almería,532,4
25,Girona,395,17
68,Jaén,390,23
30,Islas Baleares,355,7
10,Álava,310,1
37,Segovia,270,40
36,Salamanca,176,37
45,Albacete,170,2
60,Cáceres,95,10
6,Asturias,60,33
59,Badajoz,54,6
49,Toledo,51,45
46,Ciudad Real,45,13
67,Huelva,45,21
70,Sevilla,27,41
8,Cantabria,26,39
20,Teruel,25,44
19,Huesca,25,22
34,León,0,24
35,Palencia,0,34
38,Soria,0,42
33,Burgos,0,9
32,Ávila,0,5
48,Guadalajara,0,19
47,Cuenca,0,16
40,Zamora,0,49
