fila,subfila,columna,subcolumna,valor
"070320 Ajos,  frescos o refrigerados",,Total Mundo,IMPORT,"5496,05"
"070320 Ajos,  frescos o refrigerados",,001 Francia,IMPORT,"1177,69"
"070320 Ajos,  frescos o refrigerados",,002 Bélgica y Luxemburgo (h.31/12/98),IMPORT,
"070320 Ajos,  frescos o refrigerados",,003 Países Bajos,IMPORT,"178,16"
"070320 Ajos,  frescos o refrigerados",,004 Alemania,IMPORT,"127,99"
"070320 Ajos,  frescos o refrigerados",,005 Italia,IMPORT,"57,25"
"070320 Ajos,  frescos o refrigerados",,006 Reino Unido,IMPORT,"127,92"
"070320 Ajos,  frescos o refrigerados",,007 Irlanda,IMPORT,"0,12"
"070320 Ajos,  frescos o refrigerados",,008 Dinamarca,IMPORT,
"070320 Ajos,  frescos o refrigerados",,009 Grecia,IMPORT,
"070320 Ajos,  frescos o refrigerados",,010 Portugal (d.01/01/86),IMPORT,"525,09"
"070320 Ajos,  frescos o refrigerados",,011 España (excp.Ceuta y Melilla)(d.01/01/86),IMPORT,
"070320 Ajos,  frescos o refrigerados",,017 Bélgica (d.01/01/99),IMPORT,"294,36"
"070320 Ajos,  frescos o refrigerados",,018 Luxemburgo (d.01/01/99),IMPORT,
"070320 Ajos,  frescos o refrigerados",,021 Ceuta (d.01/01/99); Islas Canarias (h.31/12/96),IMPORT,
"070320 Ajos,  frescos o refrigerados",,022 Ceuta y Melilla (h. 1998),IMPORT,
"070320 Ajos,  frescos o refrigerados",,023 Melilla (d.01/01/99),IMPORT,
"070320 Ajos,  frescos o refrigerados",,024 Islandia,IMPORT,
"070320 Ajos,  frescos o refrigerados",,025 Islas Feroe (h.31/12/92),IMPORT,
"070320 Ajos,  frescos o refrigerados",,027 Svalbard (archipiélago) (h.31/12/00),IMPORT,
"070320 Ajos,  frescos o refrigerados",,028 Noruega,IMPORT,
"070320 Ajos,  frescos o refrigerados",,030 Suecia,IMPORT,
"070320 Ajos,  frescos o refrigerados",,032 Finlandia,IMPORT,
"070320 Ajos,  frescos o refrigerados",,036 Suiza (h.31/12/94),IMPORT,
"070320 Ajos,  frescos o refrigerados",,037 Liechtenstein,IMPORT,
"070320 Ajos,  frescos o refrigerados",,038 Austria,IMPORT,
"070320 Ajos,  frescos o refrigerados",,039 Suiza (d.01/01/95),IMPORT,
"070320 Ajos,  frescos o refrigerados",,040 Portugal (h. 1985),IMPORT,
"070320 Ajos,  frescos o refrigerados",,041 Islas Feroe (d.01/01/93),IMPORT,
"070320 Ajos,  frescos o refrigerados",,043 Andorra,IMPORT,
"070320 Ajos,  frescos o refrigerados",,044 Gibraltar,IMPORT,
"070320 Ajos,  frescos o refrigerados",,045 Ciudad del Vaticano,IMPORT,
"070320 Ajos,  frescos o refrigerados",,046 Malta,IMPORT,
"070320 Ajos,  frescos o refrigerados",,047 San Marino,IMPORT,
"070320 Ajos,  frescos o refrigerados",,048 Yugoslavia (h.31/12/91),IMPORT,
"070320 Ajos,  frescos o refrigerados",,052 Turquía,IMPORT,
"070320 Ajos,  frescos o refrigerados",,053 Estonia (d.01/01/92),IMPORT,
"070320 Ajos,  frescos o refrigerados",,054 Letonia (d.01/01/92),IMPORT,
"070320 Ajos,  frescos o refrigerados",,055 Lituania (d.01/01/92),IMPORT,
"070320 Ajos,  frescos o refrigerados",,056 Unión Soviética (h.31/05/92),IMPORT,
"070320 Ajos,  frescos o refrigerados",,058 R.D. Alemania (h.31/12/90),IMPORT,
"070320 Ajos,  frescos o refrigerados",,060 Polonia,IMPORT,
"070320 Ajos,  frescos o refrigerados",,061 República Checa (d.01/01/93),IMPORT,
"070320 Ajos,  frescos o refrigerados",,062 Checoslovaquia (h.31/12/92),IMPORT,
"070320 Ajos,  frescos o refrigerados",,063 Eslovaquia (d.01/01/93),IMPORT,
"070320 Ajos,  frescos o refrigerados",,064 Hungría,IMPORT,
"070320 Ajos,  frescos o refrigerados",,066 Rumanía,IMPORT,
"070320 Ajos,  frescos o refrigerados",,068 Bulgaria,IMPORT,
"070320 Ajos,  frescos o refrigerados",,070 Albania,IMPORT,
"070320 Ajos,  frescos o refrigerados",,072 Ucrania (d.01/01/92),IMPORT,
"070320 Ajos,  frescos o refrigerados",,073 Bielorrusia (d.01/01/92),IMPORT,
"070320 Ajos,  frescos o refrigerados",,074 Moldavia (d.01/01/92),IMPORT,
"070320 Ajos,  frescos o refrigerados",,075 Rusia (d.01/01/92),IMPORT,
"070320 Ajos,  frescos o refrigerados",,076 Georgia (d.01/01/92),IMPORT,
"070320 Ajos,  frescos o refrigerados",,077 Armenia (d.01/01/92),IMPORT,
"070320 Ajos,  frescos o refrigerados",,078 Azerbaiján (d.01/01/92),IMPORT,
"070320 Ajos,  frescos o refrigerados",,079 Kazajstán (d.01/01/92),IMPORT,
"070320 Ajos,  frescos o refrigerados",,080 Turkmenistán (d.01/01/92),IMPORT,
"070320 Ajos,  frescos o refrigerados",,081 Uzbekistán (d.01/01/92),IMPORT,
"070320 Ajos,  frescos o refrigerados",,082 Tajikistán (d.01/01/92),IMPORT,
"070320 Ajos,  frescos o refrigerados",,083 Kirguizistán (d.01/01/92),IMPORT,
"070320 Ajos,  frescos o refrigerados",,090 Yugoslavia (h.31/12/92),IMPORT,
"070320 Ajos,  frescos o refrigerados",,091 Eslovenia (d.01/01/92),IMPORT,
"070320 Ajos,  frescos o refrigerados",,092 Croacia (d.01/01/92),IMPORT,
"070320 Ajos,  frescos o refrigerados",,093 Bosnia-Herzegovina (d.01/01/92),IMPORT,
"070320 Ajos,  frescos o refrigerados",,094 Serbia y Montenegro(h.31/05/05);Yug.(h.31/12/98),IMPORT,
"070320 Ajos,  frescos o refrigerados",,095 Kosovo (d.01/06/05),IMPORT,
"070320 Ajos,  frescos o refrigerados",,096 Macedonia (d.01/01/00); R.Yug.Macedonia (h.31/12/99),IMPORT,
"070320 Ajos,  frescos o refrigerados",,097 Montenegro (d.01/06/05),IMPORT,
"070320 Ajos,  frescos o refrigerados",,098 Serbia (d.01/06/05),IMPORT,
"070320 Ajos,  frescos o refrigerados",,099 Kosovo (sólo Noviembre-2000),IMPORT,
"070320 Ajos,  frescos o refrigerados",,204 Marruecos,IMPORT,"104,08"
"070320 Ajos,  frescos o refrigerados",,208 Argelia,IMPORT,
"070320 Ajos,  frescos o refrigerados",,212 Túnez,IMPORT,
"070320 Ajos,  frescos o refrigerados",,216 Libia,IMPORT,
"070320 Ajos,  frescos o refrigerados",,220 Egipto,IMPORT,
"070320 Ajos,  frescos o refrigerados",,224 Sudán,IMPORT,
"070320 Ajos,  frescos o refrigerados",,225 Sudán del Sur,IMPORT,
"070320 Ajos,  frescos o refrigerados",,228 Mauritania,IMPORT,
"070320 Ajos,  frescos o refrigerados",,229 Sáhara Occidental,IMPORT,
"070320 Ajos,  frescos o refrigerados",,232 Mali,IMPORT,
"070320 Ajos,  frescos o refrigerados",,236 Burkina Faso (ant. Alto Volta),IMPORT,
"070320 Ajos,  frescos o refrigerados",,240 Níger,IMPORT,
"070320 Ajos,  frescos o refrigerados",,244 Chad,IMPORT,
"070320 Ajos,  frescos o refrigerados",,247 Cabo Verde,IMPORT,
"070320 Ajos,  frescos o refrigerados",,248 Senegal,IMPORT,
"070320 Ajos,  frescos o refrigerados",,252 Gambia,IMPORT,
"070320 Ajos,  frescos o refrigerados",,257 Guinea Bissau,IMPORT,
"070320 Ajos,  frescos o refrigerados",,260 Guinea,IMPORT,
"070320 Ajos,  frescos o refrigerados",,264 Sierra Leona,IMPORT,
"070320 Ajos,  frescos o refrigerados",,268 Liberia,IMPORT,
"070320 Ajos,  frescos o refrigerados",,272 Costa de Marfil,IMPORT,
"070320 Ajos,  frescos o refrigerados",,276 Ghana,IMPORT,
"070320 Ajos,  frescos o refrigerados",,280 Togo,IMPORT,
"070320 Ajos,  frescos o refrigerados",,284 Benin,IMPORT,
"070320 Ajos,  frescos o refrigerados",,288 Nigeria,IMPORT,
"070320 Ajos,  frescos o refrigerados",,302 Camerún,IMPORT,"13,20"
"070320 Ajos,  frescos o refrigerados",,306 República Centroafricana,IMPORT,
"070320 Ajos,  frescos o refrigerados",,310 Guinea Ecuatorial,IMPORT,
"070320 Ajos,  frescos o refrigerados",,311 Santo Tomé y Príncipe,IMPORT,
"070320 Ajos,  frescos o refrigerados",,314 Gabón,IMPORT,
"070320 Ajos,  frescos o refrigerados",,318 Congo,IMPORT,
"070320 Ajos,  frescos o refrigerados",,322 Rep.Democrática Congo; (Zaire h.31/12/97),IMPORT,
"070320 Ajos,  frescos o refrigerados",,324 Ruanda,IMPORT,
"070320 Ajos,  frescos o refrigerados",,328 Burundi,IMPORT,
"070320 Ajos,  frescos o refrigerados",,329 Santa Elena,IMPORT,
"070320 Ajos,  frescos o refrigerados",,330 Angola,IMPORT,
"070320 Ajos,  frescos o refrigerados",,334 Etiopía,IMPORT,
"070320 Ajos,  frescos o refrigerados",,336 Eritrea,IMPORT,
"070320 Ajos,  frescos o refrigerados",,338 Djibouti,IMPORT,
"070320 Ajos,  frescos o refrigerados",,342 Somalia,IMPORT,
"070320 Ajos,  frescos o refrigerados",,346 Kenia,IMPORT,
"070320 Ajos,  frescos o refrigerados",,350 Uganda,IMPORT,
"070320 Ajos,  frescos o refrigerados",,352 Tanzania,IMPORT,
"070320 Ajos,  frescos o refrigerados",,355 Seychelles,IMPORT,
"070320 Ajos,  frescos o refrigerados",,357 Territorio Británico Indico,IMPORT,
"070320 Ajos,  frescos o refrigerados",,366 Mozambique,IMPORT,
"070320 Ajos,  frescos o refrigerados",,370 Madagascar,IMPORT,
"070320 Ajos,  frescos o refrigerados",,372 Reunión (h.31/12/96),IMPORT,
"070320 Ajos,  frescos o refrigerados",,373 Mauricio,IMPORT,
"070320 Ajos,  frescos o refrigerados",,375 Comoras,IMPORT,
"070320 Ajos,  frescos o refrigerados",,377 Mayotte (h.31/12/94),IMPORT,
"070320 Ajos,  frescos o refrigerados",,378 Zambia,IMPORT,
"070320 Ajos,  frescos o refrigerados",,382 Zimbabwe,IMPORT,
