,Provincia,P-t,INE
45,Albacete,54274,2
47,Cuenca,25598,16
46,Ciudad Real,19649,13
65,Córdoba,19431,14
39,Valladolid,9449,47
66,Granada,9036,18
70,Sevilla,7800,41
43,Madrid,6630,28
69,Málaga,6180,29
68,Jaén,4180,23
59,Badajoz,3742,6
37,Segovia,3000,40
49,Toledo,1678,45
40,Zamora,1557,49
64,Cádiz,750,11
48,Guadalajara,484,19
25,Girona,475,17
24,Barcelona,461,8
57,Murcia,450,30
35,Palencia,400,34
34,León,300,24
63,Almería,263,4
30,Islas Baleares,226,7
33,Burgos,212,9
12,Vizcaya,174,48
21,Zaragoza,129,50
27,Tarragona,124,43
52,Alicante,112,3
6,Asturias,96,33
19,Huesca,95,22
11,Gipuzkoa,83,20
2,Ourense,80,32
0,A Coruña,79,15
32,Ávila,78,5
10,Álava,76,1
67,Huelva,76,21
36,Salamanca,60,37
1,Lugo,59,27
26,Lleida,57,25
15,Navarra,52,31
17,La Rioja,45,26
8,Cantabria,41,39
3,Pontevedra,38,36
38,Soria,14,42
53,Castellón,0,12
54,Valencia,0,46
60,Cáceres,0,10
20,Teruel,0,44
