,Provincia,P-t,INE
57,Murcia,90029,30
52,Alicante,27426,3
15,Navarra,14898,31
53,Castellón,14803,12
54,Valencia,14799,46
66,Granada,9173,18
27,Tarragona,7320,43
69,Málaga,4467,29
64,Cádiz,3087,11
63,Almería,2963,4
24,Barcelona,2768,8
45,Albacete,2592,2
70,Sevilla,2550,41
17,La Rioja,2313,26
65,Córdoba,1161,14
30,Islas Baleares,995,7
21,Zaragoza,675,50
68,Jaén,616,23
43,Madrid,336,28
49,Toledo,252,45
67,Huelva,188,21
25,Girona,163,17
46,Ciudad Real,140,13
26,Lleida,128,25
19,Huesca,54,22
48,Guadalajara,51,19
37,Segovia,50,40
8,Cantabria,30,39
33,Burgos,15,9
10,Álava,11,1
6,Asturias,10,33
40,Zamora,0,49
59,Badajoz,0,6
2,Ourense,0,32
3,Pontevedra,0,36
11,Gipuzkoa,0,20
12,Vizcaya,0,48
60,Cáceres,0,10
20,Teruel,0,44
39,Valladolid,0,47
32,Ávila,0,5
34,León,0,24
35,Palencia,0,34
36,Salamanca,0,37
47,Cuenca,0,16
1,Lugo,0,27
38,Soria,0,42
0,A Coruña,0,15
