fila,subfila,columna,subcolumna,valor
"070940 - Apio, excepto el apionabo:",,001 Francia,IMPORT,"54,78"
"070940 - Apio, excepto el apionabo:",,002 Bélgica y Luxemburgo (h.31/12/98),IMPORT,
"070940 - Apio, excepto el apionabo:",,003 Países Bajos,IMPORT,"52,89"
"070940 - Apio, excepto el apionabo:",,004 Alemania,IMPORT,"5,12"
"070940 - Apio, excepto el apionabo:",,005 Italia,IMPORT,"0,16"
"070940 - Apio, excepto el apionabo:",,006 Reino Unido,IMPORT,"156,56"
"070940 - Apio, excepto el apionabo:",,007 Irlanda,IMPORT,
"070940 - Apio, excepto el apionabo:",,008 Dinamarca,IMPORT,
"070940 - Apio, excepto el apionabo:",,009 Grecia,IMPORT,
"070940 - Apio, excepto el apionabo:",,010 Portugal (d.01/01/86),IMPORT,"30,37"
"070940 - Apio, excepto el apionabo:",,011 España (excp.Ceuta y Melilla)(d.01/01/86),IMPORT,
"070940 - Apio, excepto el apionabo:",,017 Bélgica (d.01/01/99),IMPORT,"97,48"
"070940 - Apio, excepto el apionabo:",,018 Luxemburgo (d.01/01/99),IMPORT,
"070940 - Apio, excepto el apionabo:",,021 Ceuta (d.01/01/99); Islas Canarias (h.31/12/96),IMPORT,
"070940 - Apio, excepto el apionabo:",,022 Ceuta y Melilla (h. 1998),IMPORT,
"070940 - Apio, excepto el apionabo:",,023 Melilla (d.01/01/99),IMPORT,
"070940 - Apio, excepto el apionabo:",,024 Islandia,IMPORT,
"070940 - Apio, excepto el apionabo:",,025 Islas Feroe (h.31/12/92),IMPORT,
"070940 - Apio, excepto el apionabo:",,027 Svalbard (archipiélago) (h.31/12/00),IMPORT,
"070940 - Apio, excepto el apionabo:",,028 Noruega,IMPORT,
"070940 - Apio, excepto el apionabo:",,030 Suecia,IMPORT,
"070940 - Apio, excepto el apionabo:",,032 Finlandia,IMPORT,
"070940 - Apio, excepto el apionabo:",,036 Suiza (h.31/12/94),IMPORT,
"070940 - Apio, excepto el apionabo:",,037 Liechtenstein,IMPORT,
"070940 - Apio, excepto el apionabo:",,038 Austria,IMPORT,
"070940 - Apio, excepto el apionabo:",,039 Suiza (d.01/01/95),IMPORT,
"070940 - Apio, excepto el apionabo:",,040 Portugal (h. 1985),IMPORT,
"070940 - Apio, excepto el apionabo:",,041 Islas Feroe (d.01/01/93),IMPORT,
"070940 - Apio, excepto el apionabo:",,043 Andorra,IMPORT,
"070940 - Apio, excepto el apionabo:",,044 Gibraltar,IMPORT,
"070940 - Apio, excepto el apionabo:",,045 Ciudad del Vaticano,IMPORT,
"070940 - Apio, excepto el apionabo:",,046 Malta,IMPORT,
"070940 - Apio, excepto el apionabo:",,047 San Marino,IMPORT,
"070940 - Apio, excepto el apionabo:",,048 Yugoslavia (h.31/12/91),IMPORT,
"070940 - Apio, excepto el apionabo:",,052 Turquía,IMPORT,
"070940 - Apio, excepto el apionabo:",,053 Estonia (d.01/01/92),IMPORT,
"070940 - Apio, excepto el apionabo:",,054 Letonia (d.01/01/92),IMPORT,
"070940 - Apio, excepto el apionabo:",,055 Lituania (d.01/01/92),IMPORT,
"070940 - Apio, excepto el apionabo:",,056 Unión Soviética (h.31/05/92),IMPORT,
"070940 - Apio, excepto el apionabo:",,058 R.D. Alemania (h.31/12/90),IMPORT,
"070940 - Apio, excepto el apionabo:",,060 Polonia,IMPORT,
"070940 - Apio, excepto el apionabo:",,061 República Checa (d.01/01/93),IMPORT,
"070940 - Apio, excepto el apionabo:",,062 Checoslovaquia (h.31/12/92),IMPORT,
"070940 - Apio, excepto el apionabo:",,063 Eslovaquia (d.01/01/93),IMPORT,
"070940 - Apio, excepto el apionabo:",,064 Hungría,IMPORT,
"070940 - Apio, excepto el apionabo:",,066 Rumanía,IMPORT,
"070940 - Apio, excepto el apionabo:",,068 Bulgaria,IMPORT,
"070940 - Apio, excepto el apionabo:",,070 Albania,IMPORT,
"070940 - Apio, excepto el apionabo:",,072 Ucrania (d.01/01/92),IMPORT,
"070940 - Apio, excepto el apionabo:",,073 Bielorrusia (d.01/01/92),IMPORT,
"070940 - Apio, excepto el apionabo:",,074 Moldavia (d.01/01/92),IMPORT,
"070940 - Apio, excepto el apionabo:",,075 Rusia (d.01/01/92),IMPORT,
"070940 - Apio, excepto el apionabo:",,076 Georgia (d.01/01/92),IMPORT,
"070940 - Apio, excepto el apionabo:",,077 Armenia (d.01/01/92),IMPORT,
"070940 - Apio, excepto el apionabo:",,078 Azerbaiján (d.01/01/92),IMPORT,
"070940 - Apio, excepto el apionabo:",,079 Kazajstán (d.01/01/92),IMPORT,
"070940 - Apio, excepto el apionabo:",,080 Turkmenistán (d.01/01/92),IMPORT,
"070940 - Apio, excepto el apionabo:",,081 Uzbekistán (d.01/01/92),IMPORT,
"070940 - Apio, excepto el apionabo:",,082 Tajikistán (d.01/01/92),IMPORT,
"070940 - Apio, excepto el apionabo:",,083 Kirguizistán (d.01/01/92),IMPORT,
"070940 - Apio, excepto el apionabo:",,090 Yugoslavia (h.31/12/92),IMPORT,
"070940 - Apio, excepto el apionabo:",,091 Eslovenia (d.01/01/92),IMPORT,
"070940 - Apio, excepto el apionabo:",,092 Croacia (d.01/01/92),IMPORT,
"070940 - Apio, excepto el apionabo:",,093 Bosnia-Herzegovina (d.01/01/92),IMPORT,
"070940 - Apio, excepto el apionabo:",,094 Serbia y Montenegro(h.31/05/05);Yug.(h.31/12/98),IMPORT,
"070940 - Apio, excepto el apionabo:",,095 Kosovo (d.01/06/05),IMPORT,
"070940 - Apio, excepto el apionabo:",,096 Macedonia (d.01/01/00); R.Yug.Macedonia (h.31/12/99),IMPORT,
"070940 - Apio, excepto el apionabo:",,097 Montenegro (d.01/06/05),IMPORT,
"070940 - Apio, excepto el apionabo:",,098 Serbia (d.01/06/05),IMPORT,
"070940 - Apio, excepto el apionabo:",,099 Kosovo (sólo Noviembre-2000),IMPORT,
"070940 - Apio, excepto el apionabo:",,204 Marruecos,IMPORT,"52,88"
"070940 - Apio, excepto el apionabo:",,208 Argelia,IMPORT,
"070940 - Apio, excepto el apionabo:",,212 Túnez,IMPORT,
"070940 - Apio, excepto el apionabo:",,216 Libia,IMPORT,
"070940 - Apio, excepto el apionabo:",,220 Egipto,IMPORT,
"070940 - Apio, excepto el apionabo:",,224 Sudán,IMPORT,
"070940 - Apio, excepto el apionabo:",,225 Sudán del Sur,IMPORT,
"070940 - Apio, excepto el apionabo:",,228 Mauritania,IMPORT,
"070940 - Apio, excepto el apionabo:",,229 Sáhara Occidental,IMPORT,
"070940 - Apio, excepto el apionabo:",,232 Mali,IMPORT,
"070940 - Apio, excepto el apionabo:",,236 Burkina Faso (ant. Alto Volta),IMPORT,
"070940 - Apio, excepto el apionabo:",,240 Níger,IMPORT,
"070940 - Apio, excepto el apionabo:",,244 Chad,IMPORT,
"070940 - Apio, excepto el apionabo:",,247 Cabo Verde,IMPORT,
"070940 - Apio, excepto el apionabo:",,248 Senegal,IMPORT,
"070940 - Apio, excepto el apionabo:",,252 Gambia,IMPORT,
"070940 - Apio, excepto el apionabo:",,257 Guinea Bissau,IMPORT,
"070940 - Apio, excepto el apionabo:",,260 Guinea,IMPORT,
"070940 - Apio, excepto el apionabo:",,264 Sierra Leona,IMPORT,
"070940 - Apio, excepto el apionabo:",,268 Liberia,IMPORT,
"070940 - Apio, excepto el apionabo:",,272 Costa de Marfil,IMPORT,
"070940 - Apio, excepto el apionabo:",,276 Ghana,IMPORT,
"070940 - Apio, excepto el apionabo:",,280 Togo,IMPORT,
"070940 - Apio, excepto el apionabo:",,284 Benin,IMPORT,
"070940 - Apio, excepto el apionabo:",,288 Nigeria,IMPORT,
"070940 - Apio, excepto el apionabo:",,302 Camerún,IMPORT,
"070940 - Apio, excepto el apionabo:",,306 República Centroafricana,IMPORT,
"070940 - Apio, excepto el apionabo:",,310 Guinea Ecuatorial,IMPORT,
"070940 - Apio, excepto el apionabo:",,311 Santo Tomé y Príncipe,IMPORT,
"070940 - Apio, excepto el apionabo:",,314 Gabón,IMPORT,
"070940 - Apio, excepto el apionabo:",,318 Congo,IMPORT,
"070940 - Apio, excepto el apionabo:",,322 Rep.Democrática Congo; (Zaire h.31/12/97),IMPORT,
"070940 - Apio, excepto el apionabo:",,324 Ruanda,IMPORT,
"070940 - Apio, excepto el apionabo:",,328 Burundi,IMPORT,
"070940 - Apio, excepto el apionabo:",,329 Santa Elena,IMPORT,
"070940 - Apio, excepto el apionabo:",,330 Angola,IMPORT,
"070940 - Apio, excepto el apionabo:",,334 Etiopía,IMPORT,
"070940 - Apio, excepto el apionabo:",,336 Eritrea,IMPORT,
"070940 - Apio, excepto el apionabo:",,338 Djibouti,IMPORT,
"070940 - Apio, excepto el apionabo:",,342 Somalia,IMPORT,
"070940 - Apio, excepto el apionabo:",,346 Kenia,IMPORT,
"070940 - Apio, excepto el apionabo:",,350 Uganda,IMPORT,
"070940 - Apio, excepto el apionabo:",,352 Tanzania,IMPORT,
"070940 - Apio, excepto el apionabo:",,355 Seychelles,IMPORT,
"070940 - Apio, excepto el apionabo:",,357 Territorio Británico Indico,IMPORT,
"070940 - Apio, excepto el apionabo:",,366 Mozambique,IMPORT,
"070940 - Apio, excepto el apionabo:",,370 Madagascar,IMPORT,
"070940 - Apio, excepto el apionabo:",,372 Reunión (h.31/12/96),IMPORT,
"070940 - Apio, excepto el apionabo:",,373 Mauricio,IMPORT,
"070940 - Apio, excepto el apionabo:",,375 Comoras,IMPORT,
"070940 - Apio, excepto el apionabo:",,377 Mayotte (h.31/12/94),IMPORT,
"070940 - Apio, excepto el apionabo:",,378 Zambia,IMPORT,
"070940 - Apio, excepto el apionabo:",,382 Zimbabwe,IMPORT,
"070940 - Apio, excepto el apionabo:",,386 Malawi,IMPORT,
"070940 - Apio, excepto el apionabo:",,388 Sudáfrica (d.01/01/90),IMPORT,
"070940 - Apio, excepto el apionabo:",,389 Namibia (d.01/01/90),IMPORT,
"070940 - Apio, excepto el apionabo:",,390 Sudáfrica (incl.Namibia)(h.31/12/89),IMPORT,
"070940 - Apio, excepto el apionabo:",,391 Botswana,IMPORT,
"070940 - Apio, excepto el apionabo:",,393 Swazilandia,IMPORT,
